Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,74,3,2024-03-31,KCR,,MIN,W 11-0,CG,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.22,-0.026,0.19,-0.01%,-0.41,0.00,0.00,8,C
2,75,5,2024-04-02,KCR,@,BAL,W 4-1,CG,4,4,1,1,0,0,0,0,0,0,0,1,.125,.125,.125,.250,1,0,0,0,0,0,.333,0.53,0.017,0.45,0.01%,-0.01,5.00,6.20,8,C
3,76,6,2024-04-03,KCR,@,BAL,L 3-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.083,.083,.083,.167,0,0,0,0,0,0,.000,0.45,-0.044,0.41,-0.02%,-0.60,0.00,0.00,8,C
4,77,8,2024-04-05,KCR,,CHW,W 2-1,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.083,.083,.083,.167,0,,0,0,,,,,,,,,0.00,0.00,5,C
5,78,10,2024-04-07,KCR,,CHW,W 5-3,CG,3,3,1,2,1,0,0,0,0,0,0,0,.200,.200,.267,.467,3,0,0,0,0,0,.667,0.75,0.081,0.73,0.05%,0.67,10.00,12.20,8,C
6,79,12,2024-04-10,KCR,,HOU,W 11-2,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.188,.188,.250,.438,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.36,0.00,0.00,2,PH C
7,80,13,2024-04-11,KCR,,HOU,W 13-3,CG,4,4,1,1,0,0,0,0,0,0,0,0,.200,.200,.250,.450,1,0,0,0,0,0,.250,0.10,0.008,0.10,0.01%,-0.30,5.00,6.20,8,C
8,81,15,2024-04-13,KCR,@,NYM,W 11-7,CG,5,4,1,1,0,0,0,1,0,0,1,0,.208,.240,.250,.490,1,0,0,0,0,0,.250,0.64,0.010,0.65,0.01%,0.56,9.00,12.70,7,C
9,82,16,2024-04-14,KCR,@,NYM,L 1-2,5-GF,2,2,0,0,0,0,0,0,0,0,0,0,.192,.222,.231,.453,0,0,0,0,0,0,.000,1.46,-0.074,1.59,-0.05%,-0.33,0.00,0.00,4,C
10,83,17,2024-04-15,KCR,@,CHW,W 2-0,CG,4,4,0,1,0,0,0,0,0,0,0,0,.200,.226,.233,.459,1,0,0,0,0,0,.250,0.81,-0.069,0.89,-0.05%,-0.65,3.00,3.00,8,C
