Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,183,1,2021-04-01,COL,,LAD,W 8-5,CG,4,3,2,1,0,0,0,1,0,0,1,0,.333,.500,.333,.833,1,0,0,0,0,0,.333,1.08,0.062,1.11,0.04%,0.11,8,CF
2,184,2,2021-04-02,COL,,LAD,L 6-11,7-GF,2,2,0,0,0,0,0,0,0,0,0,1,.200,.333,.200,.533,0,0,0,0,0,0,.000,0.39,-0.027,0.43,-0.02%,-0.86,7,PH 2B
3,185,3,2021-04-03,COL,,LAD,L 5-6,CG,4,4,1,1,1,0,0,0,0,0,0,0,.222,.300,.333,.633,2,0,0,0,0,0,.250,0.97,0.006,1.00,0.00%,-0.15,2,CF
4,186,4,2021-04-04,COL,,LAD,L 2-4,GS-9,4,3,0,1,1,0,0,2,0,0,1,1,.250,.357,.417,.774,2,0,0,0,0,0,.500,0.97,0.071,1.03,0.05%,1.54,2,CF
5,187,5,2021-04-06,COL,,ARI,L 8-10 (13),CG(13),6,5,0,1,0,0,0,1,0,0,0,1,.235,.300,.353,.653,1,0,0,0,1,0,.200,2.57,0.025,2.31,0.01%,-0.71,2,2B
6,188,6,2021-04-07,COL,,ARI,W 8-0,CG,5,3,3,2,0,0,0,1,3,0,2,0,.300,.400,.400,.800,2,0,0,0,0,0,.667,0.54,0.117,0.45,0.06%,2.31,1,CF
7,189,7,2021-04-08,COL,,ARI,W 7-3,CG,4,4,2,1,0,0,0,0,1,0,0,0,.292,.379,.375,.754,1,0,0,0,0,0,.250,0.46,0.016,0.44,0.01%,-0.14,1,2B
8,190,8,2021-04-09,COL,@,SFG,L 1-3,CG,4,3,0,0,0,0,0,1,0,0,0,2,.259,.333,.333,.667,0,0,0,0,1,0,.000,1.32,-0.138,1.32,-0.08%,-0.93,1,CF
9,191,9,2021-04-10,COL,@,SFG,L 3-4,CG,4,3,0,0,0,0,0,0,0,1,1,2,.233,.324,.300,.624,0,0,0,0,0,0,.000,1.17,-0.109,1.09,-0.06%,-0.85,1,CF
10,192,10,2021-04-11,COL,@,SFG,L 0-4,CG,5,4,0,0,0,0,0,0,0,0,1,0,.206,.310,.265,.574,0,0,0,0,0,0,.000,0.63,-0.085,0.55,-0.04%,-0.63,1,2B
11,193,11,2021-04-13,COL,@,LAD,L 0-7,CG,4,4,0,2,0,0,0,0,0,0,0,1,.237,.326,.289,.616,2,0,0,0,0,0,.667,0.61,0.004,0.48,0.00%,0.20,1,CF
