Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,125,2022-08-27,MIL,,CHC,W 7-0,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,,,,,6,CF
2,2,126,2022-08-28,MIL,,CHC,W 9-7,CG,4,4,1,1,0,0,0,2,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,0.89,0.127,0.81,0.07%,0.58,9,CF
3,3,127,2022-08-29,MIL,,PIT,W 7-5,CG,4,3,2,1,0,0,1,2,1,0,1,1,.286,.375,.714,1.089,4,0,0,0,0,0,.000,1.00,0.421,1.03,0.26%,1.84,9,CF
4,4,128,2022-08-30,MIL,,PIT,L 2-4,GS-7,2,2,0,0,0,0,0,0,0,0,0,2,.222,.300,.556,.856,0,0,0,0,0,0,,1.33,-0.068,1.37,-0.04%,-0.67,9,CF
5,5,129,2022-08-31,MIL,,PIT,W 6-1,7-GF,1,0,0,0,0,0,0,1,0,0,1,0,.222,.364,.556,.919,0,0,0,0,0,0,,0.55,0.018,0.54,0.01%,1.00,9,PH CF
6,6,130,2022-09-01,MIL,@,ARI,L 0-5,GS-8,2,2,0,0,0,0,0,0,0,0,0,1,.182,.308,.455,.762,0,0,0,0,0,0,.000,0.90,-0.049,0.91,-0.03%,-0.55,9,CF
7,7,131,2022-09-02,MIL,@,ARI,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.133,.235,.333,.569,0,0,0,0,0,0,.000,1.75,-0.174,1.66,-0.10%,-0.98,9,CF
8,8,132,2022-09-03,MIL,@,ARI,W 8-6 (10),10-GF(10),0,0,0,0,0,0,0,0,0,0,0,0,.133,.235,.333,.569,0,,0,0,,,,,,,,,6,CF
9,9,134,2022-09-05,MIL,@,COL,W 6-4,CG,4,4,0,0,0,0,0,0,1,0,0,2,.105,.190,.263,.454,0,0,0,0,0,0,.000,0.78,-0.078,0.77,-0.05%,-0.98,9,CF
10,10,135,2022-09-06,MIL,@,COL,L 7-10 (10),CG(10),4,3,1,1,0,0,0,0,1,0,1,2,.136,.240,.273,.513,1,0,0,0,0,0,1.000,0.62,0.047,0.66,0.03%,0.18,9,CF
11,11,137,2022-09-08 (1),MIL,,SFG,W 2-1,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.136,.240,.273,.513,0,,0,0,,,,,,,,,5,CF
12,12,138,2022-09-08 (2),MIL,,SFG,W 4-2,CG,4,4,0,1,1,0,0,1,0,0,0,3,.154,.241,.308,.549,2,0,0,0,0,0,1.000,0.49,0.001,0.44,0.00%,0.00,9,CF
13,13,141,2022-09-11,MIL,,CIN,W 7-6,CG,4,3,0,0,0,0,0,0,0,0,1,1,.138,.242,.276,.518,0,0,0,0,0,0,.000,0.55,-0.037,0.54,-0.02%,-0.70,9,CF
14,14,144,2022-09-16,MIL,,NYY,W 7-6,CG,5,4,1,2,0,0,0,1,0,0,1,1,.182,.289,.303,.593,2,0,0,0,0,0,.667,2.56,0.334,2.97,0.23%,0.63,9,CF
15,15,145,2022-09-17,MIL,,NYY,W 4-1,GS-7,2,2,1,1,0,0,0,0,0,0,0,1,.200,.300,.314,.614,1,0,0,0,0,0,1.000,1.02,-0.022,1.25,-0.02%,-0.10,9,CF
16,16,147,2022-09-19,MIL,,NYM,L 2-7,CG,3,3,0,0,0,0,0,0,0,0,0,3,.184,.279,.289,.569,0,0,0,0,0,0,,0.27,-0.021,0.32,-0.02%,-0.43,9,CF
