Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,117,1,2025-03-27,MIL,@,NYY,L 2-4,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.16,-0.065,1.03,-0.04%,-0.55,0.00,0.00,7,CF
2,118,2,2025-03-29,MIL,@,NYY,L 9-20,CG,5,4,2,2,0,0,0,0,0,0,0,1,.333,.429,.333,.762,2,0,1,0,0,0,.667,0.29,0.044,0.25,0.02%,0.64,12.00,15.40,7,CF
3,119,3,2025-03-30,MIL,@,NYY,L 3-12,CG,4,4,0,0,0,0,0,0,0,0,0,2,.200,.273,.200,.473,0,0,0,0,0,0,.000,0.57,-0.057,0.45,-0.03%,-0.91,0.00,0.00,7,CF
4,120,4,2025-03-31,MIL,,KCR,L 1-11,GS-7,2,2,0,1,0,0,0,0,0,0,0,1,.250,.308,.250,.558,1,0,0,0,0,0,1.000,0.57,0.004,0.44,0.00%,0.04,3.00,3.00,7,CF
5,121,6,2025-04-02,MIL,,KCR,W 3-2 (11),CG(11),5,3,0,0,0,0,0,0,0,0,2,0,.200,.333,.200,.533,0,0,0,0,0,0,.000,1.71,0.012,1.30,0.01%,-0.11,4.00,6.00,8,CF
6,122,7,2025-04-03,MIL,,CIN,W 1-0,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.200,.333,.200,.533,0,,0,0,,,,,,,,,0.00,0.00,7,CF
7,123,8,2025-04-04,MIL,,CIN,W 3-2,CG,3,3,1,2,1,0,0,1,0,0,0,1,.278,.381,.333,.714,3,0,0,0,0,0,1.000,0.93,0.163,0.83,0.09%,1.39,12.00,15.70,8,CF
8,124,9,2025-04-05,MIL,,CIN,L 7-11,GS-6,2,2,0,1,0,0,0,0,0,0,0,1,.300,.391,.350,.741,1,0,0,0,0,0,1.000,0.38,0.013,0.36,0.01%,0.10,3.00,3.00,8,CF
9,125,10,2025-04-06,MIL,,CIN,W 8-2,CG,4,3,0,0,0,0,0,0,0,0,1,1,.261,.370,.304,.675,0,0,0,0,0,0,.000,0.40,0.018,0.37,0.01%,-0.26,2.00,3.00,4,CF
10,126,11,2025-04-08,MIL,@,COL,W 7-1,6-GF,1,1,0,0,0,0,0,0,0,0,0,0,.250,.357,.292,.649,0,0,0,0,0,0,.000,0.02,-0.001,0.02,0.00%,-0.12,0.00,0.00,7,CF
11,127,12,2025-04-09,MIL,@,COL,W 17-2,CG,5,5,0,2,1,0,0,1,1,0,0,1,.276,.364,.345,.708,3,0,0,0,0,0,.500,0.26,0.069,0.25,0.04%,0.74,15.00,18.50,7,CF
12,128,13,2025-04-10,MIL,@,COL,L 2-7,GS-8,3,2,0,0,0,0,0,0,0,0,1,1,.258,.361,.323,.684,0,0,0,0,0,0,.000,1.04,-0.008,1.05,-0.01%,0.03,2.00,3.00,5,CF
13,129,14,2025-04-11,MIL,@,ARI,W 7-0,6-GF,1,1,1,1,0,0,0,0,0,0,0,0,.281,.378,.344,.722,1,0,0,0,0,0,1.000,0.22,0.007,0.22,0.00%,0.61,5.00,6.20,7,CF
14,130,15,2025-04-12,MIL,@,ARI,L 4-5,CG,3,2,0,0,0,0,0,0,0,0,1,2,.265,.375,.324,.699,0,0,0,0,0,0,,0.86,0.041,0.91,0.03%,0.50,2.00,3.00,7,CF
15,131,16,2025-04-13,MIL,@,ARI,L 2-5,GS-9,3,3,0,0,0,0,0,0,0,0,0,2,.243,.349,.297,.646,0,0,0,0,0,0,.000,0.71,-0.054,0.73,-0.03%,-0.65,0.00,0.00,7,CF
16,132,17,2025-04-14,MIL,,DET,L 1-9,CG,4,4,0,0,0,0,0,0,0,0,0,1,.220,.319,.268,.587,0,0,0,0,0,0,.000,0.22,-0.022,0.19,-0.01%,-1.17,0.00,0.00,7,CF
17,133,18,2025-04-15,MIL,,DET,W 5-0,CG,4,3,1,1,1,0,0,1,0,0,0,0,.227,.314,.295,.609,2,0,0,0,1,0,.250,0.45,-0.007,0.38,0.00%,-1.09,9.00,12.70,7,CF
18,134,19,2025-04-16,MIL,,DET,W 5-1,CG,4,3,1,1,0,1,0,0,0,0,0,1,.234,.315,.340,.655,3,0,0,1,0,0,.500,0.28,0.066,0.25,0.04%,0.21,10.00,12.20,7,CF
19,135,20,2025-04-18,MIL,,ATH,W 5-3,CG,4,4,0,0,0,0,0,0,0,0,0,3,.216,.293,.314,.607,0,0,0,0,0,0,.000,0.58,-0.060,0.55,-0.03%,-0.94,0.00,0.00,8,CF
20,136,21,2025-04-19,MIL,,ATH,L 1-3,CG,3,3,1,1,1,0,0,0,0,0,0,0,.222,.295,.333,.628,2,0,0,0,0,0,.333,1.68,-0.035,1.63,-0.02%,0.08,7.00,9.20,7,CF
21,137,23,2025-04-21,MIL,@,SFG,L 2-5,7-GF,2,2,0,0,0,0,0,0,0,0,0,2,.214,.286,.321,.607,0,0,0,0,0,0,,1.05,-0.053,1.08,-0.03%,-0.37,0.00,0.00,8,PH CF
22,138,24,2025-04-22,MIL,@,SFG,W 11-3,CG,5,4,1,0,0,0,0,0,0,0,1,2,.200,.279,.300,.579,0,0,0,0,0,0,.000,0.37,-0.026,0.37,-0.02%,-0.42,4.00,6.20,8,CF
23,139,25,2025-04-23,MIL,@,SFG,L 2-4,CG,4,4,0,1,0,0,0,0,0,0,0,2,.203,.278,.297,.575,1,0,0,0,0,0,.500,0.90,-0.044,0.96,-0.03%,-0.47,3.00,3.00,7,CF
24,140,26,2025-04-24,MIL,@,SFG,L 5-6,CG,4,3,1,1,0,0,0,0,2,0,1,1,.209,.289,.299,.588,1,0,0,0,0,0,.500,1.13,0.125,1.14,0.08%,1.08,17.00,21.20,7,CF
25,141,27,2025-04-25,MIL,@,STL,L 2-3,GS-4,1,1,0,0,0,0,0,0,0,0,0,0,.206,.286,.294,.580,0,0,0,0,0,0,.000,1.23,-0.030,1.23,-0.02%,-0.30,0.00,0.00,7,CF
,,,,,,,11-14,,78,68,9,14,4,1,0,3,3,0,7,25,.206,.286,.294,.580,20,0,1,1,1,0,.318,0.71,0.100,0.67,0.05%,-1.90,110.00,141.30,,
