Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,52,3,2022-04-10,PHI,,OAK,L 1-4,GS-8,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,1,0,0,0,0,0,.500,1.37,0.029,1.32,0.02%,0.38,8,C
2,53,8,2022-04-15,PHI,@,MIA,L 1-7,GS-9,3,3,0,1,1,0,0,0,0,0,0,0,.400,.400,.600,1.000,2,0,0,0,0,0,.333,0.39,-0.017,0.37,-0.01%,0.54,8,C
3,54,10,2022-04-17,PHI,@,MIA,L 3-11,8-GF,1,0,0,0,0,0,0,0,0,0,1,0,.400,.500,.600,1.100,0,0,0,0,0,0,,0.02,0.001,0.02,0.00%,0.39,1,C
4,55,18,2022-04-26,PHI,,COL,W 10-3,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.333,.429,.500,.929,0,0,0,0,0,0,,0.00,0.000,0.00,0.00%,-0.23,2,C
5,56,19,2022-04-27,PHI,,COL,W 7-3,CG,4,4,0,2,0,1,0,1,0,0,0,1,.400,.455,.700,1.155,4,0,0,0,0,0,.667,0.62,0.167,0.48,0.08%,1.33,9,C
6,57,28,2022-05-08 (2),PHI,,NYM,L 1-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.286,.333,.500,.833,0,0,0,0,0,0,.000,0.43,-0.043,0.34,-0.02%,-0.81,8,C
7,58,31,2022-05-11,PHI,@,SEA,W 4-2,CG,3,3,0,1,0,0,0,0,0,0,0,1,.294,.333,.471,.804,1,0,0,0,0,0,.500,0.45,-0.019,0.30,-0.01%,-0.11,9,C
8,59,35,2022-05-15,PHI,@,LAD,L 4-5,CG,4,3,1,2,1,0,0,1,1,0,1,1,.350,.409,.550,.959,3,0,0,0,0,0,1.000,0.75,0.113,0.73,0.07%,1.39,9,C
9,60,38,2022-05-19,PHI,,SDP,L 0-2,GS-9,3,3,0,1,0,0,0,0,0,0,0,0,.348,.400,.522,.922,1,1,0,0,0,0,.333,1.33,-0.069,1.15,-0.04%,-0.36,8,C
10,61,41,2022-05-22,PHI,,LAD,W 4-3 (10),CG(10),4,2,2,2,0,0,1,1,0,0,1,0,.400,.464,.680,1.144,5,0,0,1,0,0,1.000,2.62,-0.107,1.73,-0.04%,0.46,8,C
11,62,46,2022-05-27,PHI,@,NYM,L 6-8,CG,4,4,1,1,0,0,1,3,0,0,0,1,.379,.438,.724,1.162,4,0,0,0,0,0,.000,1.58,0.022,1.35,0.01%,1.02,8,C
12,63,49,2022-05-30,PHI,,SFG,L 4-5 (10),CG(10),3,3,0,0,0,0,0,0,0,0,0,1,.344,.400,.656,1.056,0,0,0,0,0,0,.000,0.86,-0.065,0.49,-0.02%,-0.54,8,C
13,64,58,2022-06-10,PHI,,ARI,W 7-5,CG,3,3,1,0,0,0,0,0,0,0,0,0,.314,.368,.600,.968,0,0,0,0,0,0,.000,0.60,0.105,0.49,0.05%,1.02,9,C
14,65,60,2022-06-12,PHI,,ARI,L 1-13,,,,,,,,,,,,,,.314,.368,.600,.968,,,,,,,,,,,,,,P
15,66,63,2022-06-15,PHI,,MIA,W 3-1,CG,4,3,1,2,1,0,1,3,0,0,1,0,.342,.405,.711,1.115,6,0,0,0,0,0,.500,2.60,0.918,1.95,0.41%,3.34,9,C
16,67,64,2022-06-16,PHI,@,WSN,W 10-1,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.333,.395,.692,1.088,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.35,6,C
17,68,65,2022-06-17 (1),PHI,@,WSN,W 5-3,CG,4,2,0,0,0,0,0,0,0,0,2,0,.317,.404,.659,1.063,0,0,0,0,0,0,.000,0.55,0.012,0.43,0.01%,0.14,9,C
18,69,74,2022-06-26,PHI,@,SDP,W 8-5,CG,4,4,0,1,0,0,0,1,0,0,0,3,.311,.392,.622,1.014,1,0,0,0,0,0,1.000,0.97,0.034,0.94,0.02%,0.25,7,C
19,70,77,2022-06-30,PHI,,ATL,W 14-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.304,.385,.609,.993,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.16,5,C
20,71,78,2022-07-01,PHI,,STL,W 5-3,CG,4,4,1,0,0,0,0,0,0,0,0,1,.280,.357,.560,.917,0,0,0,0,0,0,.000,0.74,0.007,0.75,0.01%,-0.13,7,C
21,72,81,2022-07-05,PHI,,WSN,W 11-0,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.275,.351,.549,.900,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.29,5,C
22,73,85,2022-07-09,PHI,@,STL,W 1-0,CG,3,3,0,1,0,0,0,0,0,0,0,1,.278,.350,.537,.887,1,0,0,0,0,0,.500,1.30,0.018,1.43,0.01%,0.00,9,C
23,74,88,2022-07-12,PHI,@,TOR,L 3-4,CG,3,3,1,1,0,0,0,0,1,0,0,0,.281,.349,.526,.876,1,0,0,0,0,0,.333,1.51,0.000,1.47,0.00%,-0.04,9,C
24,75,89,2022-07-13,PHI,@,TOR,L 2-8,CG,3,3,0,0,0,0,0,0,0,0,0,1,.267,.333,.500,.833,0,0,0,0,0,0,.000,0.23,-0.018,0.21,-0.01%,-0.34,9,C
25,76,90,2022-07-15,PHI,@,MIA,W 2-1,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.267,.333,.500,.833,0,,0,0,,,,,,,,,4,PR DH
26,77,91,2022-07-16,PHI,@,MIA,W 10-0,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.262,.328,.492,.820,0,0,0,0,0,0,,0.00,0.000,0.00,0.00%,-0.23,5,PH C
27,78,93,2022-07-22,PHI,,CHC,L 2-15,,,,,,,,,,,,,,.262,.328,.492,.820,,,,,,,,,,,,,,P
28,79,95,2022-07-24,PHI,,CHC,L 3-4,CG,4,4,2,2,0,0,1,1,0,0,0,1,.277,.338,.538,.876,5,0,0,0,0,0,.500,2.45,0.007,2.14,0.00%,0.85,9,C
29,80,99,2022-07-28,PHI,@,PIT,W 8-7,CG,4,4,1,1,0,0,0,0,0,0,0,2,.275,.333,.522,.855,1,0,0,0,0,0,.500,0.34,-0.019,0.31,-0.01%,-0.48,9,C
30,81,100,2022-07-29,PHI,@,PIT,W 4-2 (10),10-GF(10),0,0,1,0,0,0,0,0,0,0,0,0,.275,.333,.522,.855,0,,0,0,,,,,0.000,,0.00%,0.00,1,PR DH
31,82,103,2022-08-02,PHI,@,ATL,L 1-13,7-GF,1,0,0,0,0,0,0,0,0,0,1,0,.275,.342,.522,.864,0,0,0,0,0,0,,0.02,0.001,0.02,0.00%,0.34,4,C
32,83,108,2022-08-07,PHI,,WSN,W 13-1,CG,5,5,1,1,0,0,0,0,0,0,0,3,.270,.333,.500,.833,1,0,0,0,0,0,.500,0.35,-0.044,0.30,-0.02%,-1.50,8,C
33,84,111,2022-08-11,PHI,,MIA,L 0-3,GS-9,3,3,0,1,0,0,0,0,0,0,0,0,.273,.333,.494,.827,1,0,0,0,0,0,.333,0.88,-0.044,0.67,-0.02%,-0.33,8,C
34,85,113,2022-08-13,PHI,@,NYM,L 0-1,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.273,.333,.494,.827,0,,0,0,,,,,,,,,9,LF
35,86,116,2022-08-16,PHI,@,CIN,W 11-4,CG,5,3,2,2,0,0,1,3,0,0,2,0,.288,.360,.538,.897,5,0,0,0,0,0,.500,1.13,0.104,0.88,0.05%,3.81,8,C
36,87,119,2022-08-20 (1),PHI,,NYM,L 2-8,CG,4,3,1,1,0,0,0,0,0,0,1,1,.289,.366,.530,.896,1,0,0,0,0,0,.500,1.06,-0.090,0.83,-0.04%,-0.66,7,C
37,88,120,2022-08-20 (2),PHI,,NYM,W 4-1,8-GF,0,0,1,0,0,0,0,0,0,0,0,0,.289,.366,.530,.896,0,,0,0,,,,,0.000,,0.00%,0.00,1,PR DH
38,89,121,2022-08-21,PHI,,NYM,L 9-10,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.289,.366,.530,.896,0,,0,0,,,,,,,,,1,PR DH
39,90,125,2022-08-25,PHI,,CIN,W 4-0,CG,3,3,1,1,0,0,0,0,0,0,0,1,.291,.365,.523,.888,1,0,0,0,0,0,.500,0.63,0.006,0.39,0.00%,-0.01,6,C
40,91,130,2022-08-30,PHI,@,ARI,L 3-12,CG,3,2,1,0,0,0,0,0,0,0,1,1,.284,.364,.511,.875,0,1,0,0,0,0,.000,0.24,-0.018,0.16,-0.01%,-0.62,7,C
41,92,131,2022-08-31,PHI,@,ARI,W 18-2,8-GF,1,1,0,1,1,0,0,2,0,0,0,0,.292,.370,.528,.898,2,0,0,0,0,0,1.000,0.00,0.000,0.00,0.00%,1.83,5,PH C
42,93,132,2022-09-02,PHI,@,SFG,L 1-13,,,,,,,,,,,,,,.292,.370,.528,.898,,,,,,,,,,,,,,P
43,94,139,2022-09-10,PHI,,WSN,W 8-5,CG,4,3,0,1,0,0,0,0,0,0,1,0,.293,.375,.522,.897,1,0,0,0,0,0,.333,0.75,-0.035,0.52,-0.02%,-0.21,7,C
44,95,146,2022-09-18,PHI,@,ATL,L 2-5,GS-7,2,2,0,0,0,0,0,0,0,0,0,1,.287,.368,.511,.879,0,0,0,0,0,0,.000,0.95,-0.048,0.79,-0.02%,-0.41,9,C
45,96,147,2022-09-20,PHI,,TOR,L 11-18,,,,,,,,,,,,,,.287,.368,.511,.879,,,,,,,,,,,,,,P
46,97,150,2022-09-23,PHI,,ATL,W 9-1,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.284,.364,.505,.870,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.36,4,C
47,98,152,2022-09-25,PHI,,ATL,L 7-8 (11),GS-9,3,3,0,0,0,0,0,0,0,0,0,1,.276,.355,.490,.844,0,0,0,0,0,0,.000,0.64,-0.052,0.84,-0.04%,-0.43,9,C
48,99,158,2022-10-01 (2),PHI,@,WSN,W 8-2,CG,4,3,0,0,0,0,0,0,0,0,1,1,.267,.351,.475,.826,0,0,0,0,0,0,.000,0.29,0.006,0.66,0.01%,-0.53,9,C
