Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,143,5,2024-04-02,PHI,,CIN,W 9-4,CG,4,3,0,1,0,0,0,0,0,0,1,1,.333,.500,.333,.833,1,0,0,0,0,0,.500,0.53,-0.035,0.47,-0.02%,-0.43,5.00,6.00,9,C
2,144,10,2024-04-08,PHI,@,STL,W 5-3 (10),CG(10),4,4,1,1,0,0,0,0,1,0,0,1,.286,.375,.286,.661,1,0,0,0,0,0,.333,0.67,0.101,0.62,0.06%,0.84,10.00,12.20,8,C
3,145,11,2024-04-09,PHI,@,STL,L 0-3,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.250,.333,.250,.583,0,0,0,0,0,0,,1.15,-0.029,1.15,-0.02%,-0.30,0.00,0.00,4,C
4,146,15,2024-04-13,PHI,,PIT,W 4-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.167,.231,.167,.397,0,0,0,0,0,0,.000,1.14,-0.115,1.14,-0.07%,-0.87,0.00,0.00,7,C
5,147,25,2024-04-24,PHI,@,CIN,L 4-7,CG,4,4,0,0,0,0,0,0,0,0,0,1,.125,.176,.125,.301,0,0,0,0,0,0,.000,1.30,-0.123,1.48,-0.08%,-1.29,0.00,0.00,9,C
6,148,30,2024-04-29,PHI,@,LAA,L 5-6,CG,4,3,0,1,0,0,0,0,0,0,1,0,.158,.238,.158,.396,1,0,0,0,0,0,.333,1.01,0.010,1.16,0.01%,0.05,5.00,6.00,9,C
7,149,34,2024-05-04,PHI,,SFG,W 14-3,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.150,.227,.150,.377,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.16,0.00,0.00,2,C
8,150,37,2024-05-07,PHI,,TOR,W 10-1,CG,4,2,1,0,0,0,0,0,0,0,2,2,.136,.269,.136,.406,0,0,0,0,0,0,,0.17,-0.002,0.20,0.00%,0.24,6.00,9.20,9,C
9,151,40,2024-05-11,PHI,@,MIA,W 8-3,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.136,.269,.136,.406,0,,0,0,,,,,,,,,0.00,0.00,2,C
10,152,41,2024-05-12,PHI,@,MIA,L 6-7 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,2,.115,.233,.115,.349,0,0,0,0,0,0,.000,1.19,-0.123,1.25,-0.08%,-0.86,0.00,0.00,9,C
11,153,42,2024-05-13,PHI,@,NYM,W 5-4 (10),CG(10),4,4,0,1,0,0,0,1,1,0,0,0,.133,.235,.133,.369,1,0,0,0,0,0,.250,2.75,-0.175,3.24,-0.12%,-0.26,10.00,12.50,9,C
12,154,43,2024-05-14,PHI,@,NYM,W 4-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.118,.211,.118,.328,0,0,0,0,0,0,.000,0.71,-0.068,0.80,-0.05%,-0.91,0.00,0.00,9,C
13,155,44,2024-05-15,PHI,,NYM,W 10-5,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.114,.205,.114,.319,0,0,0,0,0,0,.000,0.02,-0.001,0.02,0.00%,-0.24,0.00,0.00,2,C
14,156,48,2024-05-19,PHI,,WSN,W 11-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.103,.186,.103,.289,0,0,0,0,0,0,.000,0.73,-0.064,0.72,-0.04%,-1.06,0.00,0.00,8,C
15,157,53,2024-05-25,PHI,@,COL,W 8-4,CG,4,4,1,2,0,0,0,1,1,0,0,0,.140,.213,.140,.352,2,0,0,0,0,0,.500,1.33,0.107,1.07,0.05%,0.83,15.00,18.70,8,C
16,158,57,2024-05-29,PHI,@,SFG,W 6-1,CG,5,4,1,2,0,0,0,0,0,0,1,0,.170,.250,.170,.420,2,0,0,0,0,0,.500,0.56,-0.003,0.54,0.00%,0.54,10.00,12.20,8,C
17,159,60,2024-06-02,PHI,,STL,L 4-5 (10),CG(10),4,4,1,1,1,0,0,1,0,0,0,1,.176,.250,.196,.446,2,0,0,0,0,0,.333,2.20,0.087,1.65,0.04%,1.11,9.00,12.70,8,C
18,160,63,2024-06-05,PHI,,MIL,W 2-0,CG,3,1,1,0,0,0,0,0,0,0,2,0,.173,.271,.192,.464,0,0,0,0,0,0,.000,0.71,0.059,0.58,0.03%,0.37,6.00,9.20,8,C
