Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,422,1,2021-04-01,NYY,,TOR,L 2-3 (10),GS-9,4,3,1,2,0,0,1,2,0,0,1,0,.667,.750,1.667,2.417,5,0,0,0,0,0,.500,1.33,0.320,1.46,0.21%,2.48,7,C
2,423,2,2021-04-03,NYY,,TOR,W 5-3,CG,4,4,1,1,0,0,1,1,0,0,0,0,.429,.500,1.286,1.786,4,0,0,0,0,0,.000,0.76,0.073,0.74,0.04%,0.15,7,C
3,424,3,2021-04-04,NYY,,TOR,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.273,.333,.818,1.152,0,0,0,0,0,0,.000,1.11,-0.120,1.13,-0.07%,-1.02,6,C
4,425,4,2021-04-05,NYY,,BAL,W 7-0,CG,4,4,0,0,0,0,0,0,0,0,0,3,.200,.250,.600,.850,0,0,0,0,0,0,.000,0.39,-0.041,0.40,-0.03%,-0.76,6,C
5,426,6,2021-04-07,NYY,,BAL,L 3-4 (11),GS-8,4,3,0,2,1,0,0,0,0,0,1,0,.278,.350,.667,1.017,3,0,0,0,0,0,.667,0.91,0.109,1.01,0.07%,0.51,7,C
6,427,7,2021-04-09,NYY,@,TBR,L 5-10,CG,4,3,0,1,0,0,0,0,0,0,1,1,.286,.375,.619,.994,1,0,0,0,0,0,.500,0.39,-0.020,0.42,-0.01%,0.12,6,C
7,428,8,2021-04-10,NYY,@,TBR,L 0-4,CG,3,3,0,1,0,0,0,0,0,0,0,0,.292,.370,.583,.954,1,0,0,0,0,0,.333,0.64,-0.026,0.63,-0.02%,-0.46,7,C
8,429,9,2021-04-11,NYY,@,TBR,W 8-4 (10),CG(10),5,3,2,1,0,0,0,1,0,0,1,0,.296,.406,.556,.962,1,0,1,0,0,0,.333,2.05,0.134,1.94,0.08%,0.79,7,C
9,430,11,2021-04-13,NYY,@,TOR,L 3-7,CG,4,3,1,0,0,0,0,0,0,0,1,1,.267,.389,.500,.889,0,0,0,0,0,0,.000,0.76,-0.050,0.79,-0.03%,-0.48,4,C
10,431,12,2021-04-14,NYY,@,TOR,L 4-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.265,.375,.471,.846,1,0,0,0,0,0,.333,1.20,-0.078,1.24,-0.05%,-0.46,4,DH
11,432,13,2021-04-16,NYY,,TBR,L 2-8,GS-9,3,3,0,0,0,0,0,0,0,0,0,2,.243,.349,.432,.781,0,0,0,0,0,0,.000,0.39,-0.032,0.38,-0.02%,-0.52,7,C
12,433,14,2021-04-17,NYY,,TBR,L 3-6,GS-5,2,1,1,0,0,0,0,0,0,0,1,0,.237,.356,.421,.777,0,0,0,0,0,0,.000,1.06,0.011,0.96,0.01%,0.14,7,C
13,434,16,2021-04-20,NYY,,ATL,W 3-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.214,.327,.381,.707,0,0,0,0,0,0,.000,1.09,-0.111,0.72,-0.04%,-1.44,7,C
