Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,831,3,2025-03-29,BAL,@,TOR,W 9-5,CG,4,3,0,0,0,0,0,1,0,0,0,2,.000,.000,.000,.000,0,0,0,0,1,0,.000,1.15,-0.047,1.15,-0.03%,-0.79,2.00,3.50,7,C
2,832,4,2025-03-30,BAL,@,TOR,L 1-3,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0.44,-0.012,0.46,-0.01%,-0.10,0.00,0.00,1,PH
3,833,6,2025-04-02,BAL,,BOS,L 0-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.93,-0.071,0.95,-0.04%,-0.59,0.00,0.00,6,C
4,834,9,2025-04-05,BAL,@,KCR,W 8-1,CG,4,3,0,1,0,0,0,2,0,0,1,1,.100,.167,.100,.267,1,0,0,0,0,0,.500,0.79,0.162,0.69,0.09%,1.50,9.00,13.00,8,C
5,835,10,2025-04-06,BAL,@,KCR,L 1-4,CG,3,3,0,0,0,0,0,0,0,0,0,2,.077,.133,.077,.210,0,0,0,0,0,0,.000,0.77,-0.058,0.68,-0.03%,-0.69,0.00,0.00,7,DH
6,836,12,2025-04-08,BAL,@,ARI,L 3-4,CG,3,2,0,0,0,0,0,0,0,0,0,0,.067,.167,.067,.233,0,0,1,0,0,0,.000,1.54,0.061,1.43,0.03%,0.34,2.00,3.00,8,C
7,837,15,2025-04-13,BAL,,TOR,L 6-7 (10),10-GF(10),0,0,0,0,0,0,0,0,0,0,0,0,.067,.167,.067,.233,0,,0,0,,,,,,,,,0.00,0.00,2,C
8,838,16,2025-04-15,BAL,,CLE,L 3-6,CG,4,4,0,1,0,0,0,1,0,0,0,0,.105,.182,.105,.287,1,0,0,0,0,0,.250,0.65,-0.035,0.59,-0.02%,0.30,5.00,6.50,6,C
9,839,19,2025-04-18,BAL,,CIN,L 3-8,CG,3,3,1,1,0,0,0,0,0,0,0,2,.136,.200,.136,.336,1,0,0,0,0,0,1.000,0.27,-0.015,0.24,-0.01%,0.08,5.00,6.20,7,C
10,840,21,2025-04-20,BAL,,CIN,L 2-24,,,,,,,,,,,,,,.136,.200,.136,.336,,,,,,,,,,,,,,,,P
11,841,22,2025-04-22,BAL,@,WSN,L 0-7,CG,3,3,0,0,0,0,0,0,0,0,0,0,.120,.179,.120,.299,0,0,0,0,0,0,.000,0.49,-0.037,0.38,-0.02%,-0.54,0.00,0.00,8,C
12,842,25,2025-04-26 (1),BAL,@,DET,L 3-4,GS-8,3,3,0,0,0,0,0,0,0,0,0,1,.107,.161,.107,.268,0,0,0,0,0,0,.000,1.74,-0.132,1.47,-0.07%,-1.08,0.00,0.00,8,C
13,843,27,2025-04-27,BAL,@,DET,L 0-7,CG,4,2,0,0,0,0,0,0,0,0,0,2,.100,.200,.100,.300,0,0,2,0,0,0,,0.67,0.015,0.48,0.01%,0.28,4.00,6.00,5,C
14,844,69,2025-06-14,BAL,,LAA,W 6-5,GS-8,4,3,1,1,0,0,1,1,0,0,0,1,.121,.231,.212,.443,4,1,1,0,0,0,.000,0.86,0.022,0.19,0.00%,0.36,16.00,21.70,7,DH
