Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,43,1,2021-04-01,LAD,@,COL,L 5-8,GS-7,4,4,0,2,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,2,1,0,0,0,0,.667,1.46,0.031,1.53,0.02%,-0.19,7,2B
2,44,2,2021-04-02,LAD,@,COL,W 11-6,CG,5,5,1,2,0,1,0,1,0,0,0,1,.444,.444,.667,1.111,4,0,0,0,0,0,.500,0.37,0.027,0.39,0.02%,0.96,8,2B
3,45,3,2021-04-03,LAD,@,COL,W 6-5,CG,5,4,2,1,0,1,0,0,1,0,1,2,.385,.429,.692,1.121,3,0,0,0,0,0,.500,1.11,0.016,1.16,0.01%,0.05,1,2B
4,46,4,2021-04-04,LAD,@,COL,W 4-2,CG,4,3,0,1,0,0,0,1,0,0,0,0,.375,.389,.625,1.014,1,0,0,0,1,0,.250,0.91,-0.074,1.06,-0.05%,-1.39,7,SS
5,47,5,2021-04-05,LAD,@,OAK,W 10-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.375,.389,.625,1.014,0,,0,0,,,,,,,,,4,PR 2B
6,48,6,2021-04-06,LAD,@,OAK,W 5-1,CG,4,3,0,1,0,0,0,0,0,0,1,0,.368,.409,.579,.988,1,1,0,0,0,0,.333,0.68,0.029,0.74,0.02%,0.06,7,2B
7,49,7,2021-04-07,LAD,@,OAK,L 3-4 (10),CG(10),5,5,0,1,0,0,0,0,0,0,0,1,.333,.370,.500,.870,1,0,0,0,0,0,.250,1.84,-0.154,2.02,-0.10%,-0.76,8,2B
8,50,8,2021-04-09,LAD,,WSN,W 1-0,CG,3,3,0,0,0,0,0,0,0,0,0,0,.296,.333,.444,.778,0,0,0,0,0,0,.000,0.81,-0.062,0.92,-0.04%,-0.59,6,2B
9,51,9,2021-04-10,LAD,,WSN,W 9-5,CG,4,4,1,0,0,0,0,0,0,0,0,2,.258,.294,.387,.681,0,0,0,0,0,0,.000,0.75,-0.090,0.85,-0.06%,-1.60,7,2B
10,52,10,2021-04-11,LAD,,WSN,W 3-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.229,.263,.343,.606,0,0,0,0,0,0,.000,0.72,-0.110,0.84,-0.08%,-1.39,1,2B
11,53,11,2021-04-13,LAD,,COL,W 7-0,CG,4,4,0,1,0,0,0,1,0,0,0,2,.231,.262,.333,.595,1,0,0,0,0,0,.500,0.42,0.034,0.53,0.03%,0.09,6,SS 2B
12,54,12,2021-04-14,LAD,,COL,W 4-2,GS-6,3,2,0,0,0,0,0,1,0,0,0,1,.220,.244,.317,.562,0,0,0,0,1,0,.000,0.80,-0.030,1.02,-0.02%,-0.51,5,2B
13,55,13,2021-04-15,LAD,,COL,W 7-5,7-8,0,0,0,0,0,0,0,0,0,0,0,0,.220,.244,.317,.562,0,,0,0,,,,,,,,,5,PR
14,56,23,2021-04-26,LAD,,CIN,L 3-5 (10),CG(10),4,4,0,1,0,0,0,1,0,0,0,2,.222,.245,.311,.556,1,0,0,0,0,0,.500,1.29,0.040,1.57,0.03%,0.55,7,2B
15,57,24,2021-04-27,LAD,,CIN,L 5-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.204,.226,.286,.512,0,0,0,0,0,0,.000,1.35,-0.162,1.61,-0.12%,-1.17,7,2B
16,58,25,2021-04-28,LAD,,CIN,W 8-0,CG,5,4,0,0,0,0,0,0,0,0,1,2,.189,.224,.264,.488,0,0,0,0,0,0,.000,0.46,-0.071,0.55,-0.05%,-0.86,2,SS
17,59,27,2021-04-30,LAD,@,MIL,L 1-3,CG,3,3,0,0,0,0,0,0,0,0,0,2,.179,.213,.250,.463,0,0,0,0,0,0,.000,1.16,-0.089,1.43,-0.07%,-0.51,8,2B
18,60,28,2021-05-01,LAD,@,MIL,L 5-6 (11),GS-6,3,3,0,0,0,0,0,0,0,0,0,1,.169,.203,.237,.440,0,0,0,0,0,0,.000,1.18,-0.098,1.46,-0.07%,-0.70,7,2B
19,61,29,2021-05-02,LAD,@,MIL,W 16-4,CG,5,4,0,2,0,0,0,1,0,0,1,0,.190,.232,.254,.486,2,0,0,0,0,0,.500,0.04,0.005,0.04,0.00%,0.90,8,SS 2B
20,62,30,2021-05-04 (1),LAD,@,CHC,L 1-7 (7),CG(7),3,3,0,2,0,0,0,0,0,0,0,0,.212,.250,.273,.523,2,0,0,0,0,0,.667,0.23,0.017,0.29,0.01%,0.10,7,2B
21,63,31,2021-05-04 (2),LAD,@,CHC,L 3-4 (9),CG,3,3,0,0,0,0,0,0,0,0,0,0,.203,.240,.261,.501,0,0,0,0,0,0,.000,1.98,-0.069,2.36,-0.05%,-0.53,8,2B
22,64,32,2021-05-05,LAD,@,CHC,L 5-6 (11),CG(11),5,5,1,2,1,0,0,1,0,0,0,0,.216,.250,.284,.534,3,0,0,0,0,0,.400,1.26,0.064,1.47,0.05%,0.73,8,2B
23,65,33,2021-05-07,LAD,@,LAA,L 2-9,CG,4,4,0,1,0,0,0,0,0,0,0,2,.218,.250,.282,.532,1,0,0,0,0,0,.500,0.50,-0.011,0.54,-0.01%,-0.61,9,2B
24,66,34,2021-05-08,LAD,@,LAA,W 14-11,CG,5,4,1,1,0,0,0,0,0,0,1,1,.220,.258,.280,.539,1,0,0,0,0,1,.333,0.53,-0.027,0.56,-0.02%,-0.58,8,SS 2B
25,67,35,2021-05-09,LAD,@,LAA,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.209,.247,.267,.515,0,0,0,0,0,0,.000,1.83,-0.146,2.03,-0.10%,-0.72,9,2B
26,68,36,2021-05-11,LAD,,SEA,W 6-4,CG,4,4,2,2,0,0,1,3,0,0,0,1,.222,.258,.311,.569,5,0,0,0,0,0,.500,2.32,0.607,2.50,0.39%,2.35,8,2B
27,69,37,2021-05-12,LAD,,SEA,W 7-1,CG,4,4,0,2,0,0,0,1,0,0,0,0,.234,.267,.319,.586,2,0,0,0,0,0,.500,0.63,-0.055,0.67,-0.04%,-0.02,8,2B
28,70,38,2021-05-14,LAD,,MIA,W 9-6,CG,4,4,1,1,1,0,0,0,0,0,0,0,.235,.267,.327,.593,2,0,0,0,0,0,.250,0.56,0.096,0.65,0.07%,0.59,6,2B
29,71,39,2021-05-15,LAD,,MIA,W 7-0,CG,4,3,1,0,0,0,0,1,0,0,1,2,.228,.266,.317,.583,0,0,0,0,0,0,.000,0.73,0.006,0.84,0.00%,0.50,8,SS 2B
30,72,40,2021-05-16,LAD,,MIA,L 2-3,CG,4,3,0,1,0,0,0,0,0,0,1,0,.231,.274,.317,.592,1,0,0,0,0,0,.333,1.52,-0.006,1.90,-0.01%,-0.36,5,SS
31,73,41,2021-05-17,LAD,,ARI,W 3-1,CG,4,3,0,2,1,0,0,1,0,0,1,0,.243,.291,.336,.627,3,0,0,0,0,0,.667,0.63,0.093,0.79,0.07%,1.34,7,SS
32,74,42,2021-05-18,LAD,,ARI,W 9-1,CG,4,4,1,2,0,0,1,4,0,0,0,1,.252,.298,.369,.667,5,0,0,0,0,0,.500,0.81,0.000,0.99,0.00%,2.90,8,SS
33,75,43,2021-05-19,LAD,,ARI,W 4-2,CG,4,3,1,1,0,0,0,0,0,0,1,0,.254,.304,.368,.672,1,0,0,0,0,0,.333,1.23,0.155,1.55,0.12%,1.03,6,SS
