Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,413,1,2025-03-27,CIN,,SFG,L 4-6,GS-9,4,3,0,1,0,0,0,0,0,0,1,0,.333,.500,.333,.833,1,0,0,0,0,0,.333,0.85,0.048,0.83,0.03%,0.59,5.00,6.00,4,LF
2,414,2,2025-03-29,CIN,,SFG,W 3-2,GS-9,4,4,0,0,0,0,0,0,0,0,0,2,.143,.250,.143,.393,0,0,0,0,0,0,.000,0.96,-0.104,0.87,-0.06%,-1.01,0.00,0.00,4,LF
3,415,3,2025-03-30,CIN,,SFG,L 3-6,CG,3,3,1,1,0,0,0,0,0,0,0,0,.200,.273,.200,.473,1,0,0,0,0,0,.333,0.92,-0.016,0.89,-0.01%,0.03,5.00,6.20,7,LF
4,416,4,2025-03-31,CIN,,TEX,W 14-3,GS-7,4,3,0,1,1,0,0,1,0,0,1,0,.231,.333,.308,.641,2,0,0,0,0,0,.333,0.24,0.038,0.20,0.02%,-0.09,9.00,12.50,4,LF
5,417,5,2025-04-01,CIN,,TEX,L 0-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,.250,.333,.313,.646,1,0,0,0,0,0,.333,1.66,-0.038,1.52,-0.02%,-0.19,3.00,3.00,4,DH
6,418,6,2025-04-02,CIN,,TEX,L 0-1,CG,3,3,0,0,0,0,0,0,0,0,0,2,.211,.286,.263,.549,0,0,0,0,0,0,.000,1.76,-0.149,1.54,-0.08%,-1.02,0.00,0.00,4,LF
7,419,7,2025-04-03,CIN,@,MIL,L 0-1,7-GF,2,1,0,0,0,0,0,0,0,0,1,1,.200,.304,.250,.554,0,0,0,0,0,0,,1.87,0.031,1.64,0.02%,0.28,2.00,3.00,6,PH LF
8,420,8,2025-04-04,CIN,@,MIL,L 2-3,CG,4,4,0,1,0,0,0,0,0,0,0,2,.208,.296,.250,.546,1,0,0,0,0,0,.500,1.63,-0.132,1.36,-0.07%,-0.75,3.00,3.00,7,LF
9,421,9,2025-04-05,CIN,@,MIL,W 11-7,GS-9,5,5,0,2,1,0,0,2,0,0,0,1,.241,.313,.310,.623,3,0,0,0,0,0,.500,0.36,0.103,0.28,0.05%,1.02,12.00,16.00,4,LF
10,422,10,2025-04-06,CIN,@,MIL,L 2-8,CG,4,3,0,0,0,0,0,0,0,0,1,2,.219,.306,.281,.587,0,0,0,0,0,0,.000,0.38,-0.013,0.32,-0.01%,-0.46,2.00,3.00,4,LF
11,423,11,2025-04-07,CIN,@,SFG,W 2-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.194,.275,.250,.525,0,0,0,0,0,0,.000,1.09,-0.116,0.81,-0.05%,-1.38,0.00,0.00,4,2B
12,424,12,2025-04-08,CIN,@,SFG,W 1-0,GS-9,4,4,0,2,1,0,0,0,0,0,0,1,.225,.295,.300,.595,3,0,0,0,0,0,.667,0.86,0.038,0.71,0.02%,0.56,8.00,9.00,4,2B
13,425,13,2025-04-09,CIN,@,SFG,L 6-8 (10),CG(10),5,4,1,1,0,0,0,2,0,0,1,2,.227,.306,.295,.602,1,0,0,0,0,0,.500,1.34,-0.059,1.13,-0.03%,0.70,11.00,16.20,4,2B
14,426,14,2025-04-11,CIN,,PIT,W 5-3,GS-9,3,3,0,0,0,0,0,0,0,0,0,2,.213,.288,.277,.565,0,0,0,0,0,0,.000,0.39,-0.032,0.32,-0.02%,-0.68,0.00,0.00,7,LF
15,427,15,2025-04-12,CIN,,PIT,W 5-2,GS-7,3,1,0,0,0,0,0,0,0,0,2,1,.208,.309,.271,.580,0,0,0,0,0,0,,0.68,0.008,0.56,0.00%,0.76,4.00,6.00,7,LF
16,428,16,2025-04-13,CIN,,PIT,W 4-0,GS-9,4,3,0,1,1,0,0,0,0,0,1,0,.216,.322,.294,.616,2,0,0,0,0,0,.333,0.52,0.057,0.46,0.03%,0.80,7.00,9.00,4,LF
17,429,17,2025-04-15,CIN,,SEA,W 8-4,GS-7,4,4,1,4,0,0,0,2,0,0,0,0,.273,.365,.345,.711,4,0,0,0,0,0,1.000,1.50,0.362,1.28,0.19%,3.22,18.00,22.20,4,LF
18,430,18,2025-04-16,CIN,,SEA,L 3-5,GS-8,3,3,1,1,0,0,0,0,0,0,0,1,.276,.364,.345,.708,1,0,0,0,0,0,.500,0.67,-0.021,0.61,-0.01%,-0.03,5.00,6.20,5,3B
19,431,19,2025-04-17,CIN,,SEA,L 7-11 (10),GS-9,4,4,1,2,0,0,0,0,0,0,0,0,.290,.371,.355,.726,2,0,0,0,0,0,.500,1.16,-0.006,1.01,0.00%,-0.17,8.00,9.20,5,2B 3B
20,432,21,2025-04-19,CIN,@,BAL,L 5-9,CG,5,3,0,2,1,0,0,1,1,0,2,0,.308,.400,.385,.785,3,0,0,0,0,0,.667,1.89,0.205,1.67,0.11%,2.07,19.00,24.50,5,DH
21,433,22,2025-04-20,CIN,@,BAL,W 24-2,CG,7,4,4,2,0,0,0,1,0,0,3,0,.319,.427,.391,.818,2,0,0,0,0,0,.500,0.45,0.015,0.39,0.01%,2.51,22.00,31.30,5,LF
22,434,23,2025-04-21,CIN,@,MIA,L 3-6,CG,4,4,1,1,0,0,1,2,0,0,0,3,.315,.419,.425,.843,4,0,0,0,0,0,,0.75,-0.054,0.73,-0.03%,1.03,16.00,22.20,5,DH
23,435,24,2025-04-22,CIN,@,MIA,L 3-4,CG,4,3,0,1,0,0,0,0,0,0,1,1,.316,.422,.421,.843,1,0,0,0,0,0,.500,1.04,0.007,0.89,0.00%,-0.36,5.00,6.00,5,LF
24,436,25,2025-04-23,CIN,@,MIA,W 5-2,GS-8,3,3,0,1,0,0,0,1,0,0,0,1,.316,.419,.418,.837,1,0,0,0,0,0,.500,1.79,-0.019,1.51,-0.01%,-0.16,5.00,6.50,4,LF
