Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,1,2019-10-03,LAD,,WSN,W 6-0,NLDS G1,8-GF,1,1,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,,0.05,0.008,0.78,0.07%,1.00,,,9,PH 2B
2,2,2,2019-10-04,LAD,,WSN,L 2-4,NLDS G2,CG,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,1.14,-0.088,18.28,-0.91%,-0.65,,,8,2B
3,3,3,2019-10-06,LAD,@,WSN,W 10-4,NLDS G3,GS-6,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.000,0.69,-0.009,14.44,-0.11%,-0.12,,,7,2B
4,4,4,2019-10-07,LAD,@,WSN,L 1-6,NLDS G4,CG,4,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,.000,0.81,-0.060,15.69,-0.70%,-0.63,,,7,2B
5,5,5,2020-10-08,LAD,@,SDP,W 12-3,NLDS G3,9-9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0.00,0.000,0.00,0.00%,-0.37,,,7,PH
6,6,1,2021-10-06,LAD,,STL,W 3-1,NLWC G1,9-9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,6,PH
7,7,2,2021-10-08,LAD,@,SFG,L 0-4,NLDS G1,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.54,-0.014,8.46,-0.12%,-0.16,,,9,PH
8,8,3,2021-10-09,LAD,@,SFG,W 9-2,NLDS G2,6-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.22,-0.005,3.52,-0.05%,-0.32,,,9,PH
9,9,4,2021-10-11,LAD,,SFG,L 0-1,NLDS G3,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,1.88,-0.049,39.32,-0.66%,-0.11,,,7,PH
10,10,5,2021-10-12,LAD,,SFG,W 7-2,NLDS G4,GS-7,4,2,1,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1.000,0.65,0.089,12.60,0.97%,1.66,,,6,CF
11,11,6,2021-10-14,LAD,@,SFG,W 2-1,NLDS G5,GS-9,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,1.45,0.011,60.42,0.50%,-0.11,,,6,CF
12,12,8,2021-10-17,LAD,@,ATL,L 4-5,NLCS G2,GS-7,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,1.31,-0.107,34.60,-1.69%,-1.16,,,5,CF
13,13,9,2021-10-19,LAD,,ATL,W 6-5,NLCS G3,GS-6,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0.58,0.015,11.98,0.19%,0.25,,,6,CF
14,14,10,2021-10-20,LAD,,ATL,L 2-9,NLCS G4,GS-6,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.62,-0.032,18.99,-0.63%,-0.42,,,5,CF
15,15,1,2022-10-11,LAD,,SDP,W 5-3,NLDS G1,CG,4,4,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,.333,0.65,0.016,10.11,0.14%,0.40,,,7,2B
16,16,2,2022-10-12,LAD,,SDP,L 3-5,NLDS G2,CG,4,4,0,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,.667,1.65,-0.167,26.33,-1.70%,-1.04,,,7,2B
17,17,3,2022-10-14,LAD,@,SDP,L 1-2,NLDS G3,7-7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.23,-0.030,25.73,-0.36%,-0.15,,,9,PH
18,18,4,2022-10-15,LAD,@,SDP,L 3-5,NLDS G4,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.75,-0.075,16.50,-1.02%,-0.83,,,9,2B
19,19,1,2024-10-05,LAD,,SDP,W 7-5,NLDS G1,CG,4,4,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,.500,1.03,0.079,16.10,0.74%,0.88,8.00,9.20,7,2B
20,20,2,2024-10-06,LAD,,SDP,L 2-10,NLDS G2,CG,4,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,.333,1.16,-0.042,18.52,-0.44%,-0.84,5.00,6.50,7,2B
21,21,3,2024-10-08,LAD,@,SDP,L 5-6,NLDS G3,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,1.22,-0.125,25.52,-1.49%,-0.74,0.00,0.00,7,2B
22,22,4,2024-10-09,LAD,@,SDP,W 8-0,NLDS G4,CG,5,4,2,2,0,0,1,2,0,0,1,0,5,0,0,0,0,0,.333,0.20,0.036,4.42,0.50%,2.03,23.00,31.40,7,2B
23,23,5,2024-10-11,LAD,,SDP,W 2-0,NLDS G5,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.33,-0.025,13.89,-0.59%,-0.43,0.00,0.00,8,2B
24,24,6,2024-10-13,LAD,,NYM,W 9-0,NLCS G1,GS-7,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.000,0.44,0.016,11.40,0.25%,-0.04,4.00,6.20,8,2B
