Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,796,23,2021-04-28,TOR,,WSN,L 2-8,CG,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.62,-0.063,0.61,-0.04%,-1.20,1,DH
2,797,24,2021-04-30,TOR,,ATL,W 13-5,CG,6,3,1,1,0,0,0,0,1,0,2,2,.143,.333,.143,.476,1,0,0,0,0,0,1.000,0.43,0.073,0.41,0.04%,1.46,1,DH
3,798,25,2021-05-01,TOR,,ATL,W 6-5 (10),GS-10,5,5,2,2,0,0,2,3,0,0,0,0,.250,.357,.750,1.107,8,0,0,0,0,0,.000,1.34,0.249,1.26,0.14%,1.93,1,DH
4,799,26,2021-05-02,TOR,,ATL,W 7-2,GS-6,3,3,0,0,0,0,0,0,0,0,0,2,.200,.294,.600,.894,0,0,0,0,0,0,.000,1.14,-0.092,1.16,-0.06%,-1.09,1,DH
5,800,71,2021-06-22,TOR,@,MIA,W 2-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.158,.238,.474,.712,0,0,0,0,0,0,.000,1.42,-0.153,1.00,-0.07%,-0.96,5,CF
6,801,72,2021-06-23,TOR,@,MIA,W 3-1,CG,4,3,0,0,0,0,0,1,0,0,1,1,.136,.240,.409,.649,0,0,0,0,0,0,.000,0.76,-0.012,0.62,-0.01%,-0.19,5,CF
7,802,74,2021-06-25,TOR,,BAL,L 5-6 (10),CG(10),4,3,1,1,0,0,1,1,0,0,1,1,.160,.276,.520,.796,4,0,0,0,0,0,.000,1.00,0.046,0.89,0.03%,0.76,5,CF
8,803,75,2021-06-26,TOR,,BAL,W 12-4,CG,5,5,1,2,0,0,0,2,0,0,0,1,.200,.294,.500,.794,2,0,0,0,0,0,.500,0.26,0.011,0.21,0.01%,1.67,5,CF
9,804,76,2021-06-27,TOR,,BAL,W 5-2,CG,4,2,0,0,0,0,0,0,0,0,2,2,.188,.316,.469,.785,0,0,0,0,0,0,,1.02,-0.012,0.88,-0.01%,-0.26,5,DH
10,805,77,2021-06-29,TOR,,SEA,W 9-3,CG,5,4,0,1,0,0,0,0,0,0,1,2,.194,.326,.444,.770,1,0,0,0,0,0,.500,0.85,-0.002,0.83,0.00%,0.02,5,CF RF
11,806,78,2021-06-30,TOR,,SEA,L 7-9 (10),CG(10),5,4,2,2,1,0,0,0,0,0,1,0,.225,.354,.475,.829,3,0,0,0,0,0,.500,1.54,0.054,1.62,0.03%,0.41,5,CF
12,807,79,2021-07-01,TOR,,SEA,L 2-7,CG,4,3,0,1,0,0,0,0,0,0,1,1,.233,.365,.465,.831,1,0,0,0,0,0,.500,0.75,-0.029,0.73,-0.02%,0.04,5,DH
13,808,80,2021-07-02,TOR,,TBR,W 11-1,GS-7,4,3,1,1,0,0,1,2,0,0,1,0,.239,.375,.522,.897,4,0,0,0,0,0,.000,0.26,0.171,0.26,0.10%,1.90,4,DH
14,809,81,2021-07-03,TOR,,TBR,W 6-3,CG,4,3,2,1,0,0,1,1,0,0,1,1,.245,.383,.571,.955,4,0,0,0,0,0,.000,0.88,0.101,0.93,0.06%,0.74,4,CF RF
15,810,82,2021-07-04,TOR,,TBR,L 1-5,CG,4,4,0,0,0,0,0,0,0,0,0,3,.226,.359,.528,.888,0,0,0,0,0,0,.000,0.84,-0.090,0.97,-0.06%,-1.30,4,DH
16,811,83,2021-07-06,TOR,@,BAL,L 5-7,CG,4,4,0,1,0,0,0,0,0,0,0,2,.228,.353,.509,.862,1,0,0,0,0,0,.500,0.61,-0.049,0.53,-0.03%,-0.46,4,CF
17,812,84,2021-07-07,TOR,@,BAL,W 10-2,GS-7,4,4,0,0,0,0,0,0,0,0,0,0,.213,.333,.475,.809,0,0,0,0,0,0,.000,0.70,-0.101,0.54,-0.05%,-2.03,4,CF
18,813,85,2021-07-09,TOR,@,TBR,L 1-7,CG,4,3,0,1,0,0,0,1,0,0,1,2,.219,.342,.469,.811,1,0,0,0,0,0,1.000,0.75,0.132,0.78,0.08%,1.06,4,CF
19,814,86,2021-07-10,TOR,@,TBR,L 2-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.206,.325,.441,.766,0,0,0,0,0,0,.000,1.02,-0.094,0.95,-0.05%,-0.89,4,DH
20,815,87,2021-07-11,TOR,@,TBR,W 3-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.194,.310,.417,.726,0,0,0,0,0,0,.000,0.59,-0.060,0.48,-0.03%,-0.80,4,CF RF
21,816,88,2021-07-16,TOR,,TEX,W 10-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.184,.295,.395,.690,0,0,0,0,0,0,.000,0.34,-0.034,0.26,-0.02%,-0.85,4,CF
22,817,89,2021-07-18 (1),TOR,,TEX,W 5-0 (7),CG(7),3,2,1,1,0,0,0,0,1,0,1,0,.192,.308,.397,.705,1,0,0,0,0,0,.500,0.56,0.004,0.48,0.00%,0.63,4,CF
23,818,90,2021-07-18 (2),TOR,,TEX,W 10-0 (7),GS-6,3,3,2,2,0,0,1,1,0,0,0,1,.210,.319,.444,.764,5,0,0,0,0,0,1.000,0.33,0.039,0.30,0.02%,1.17,4,CF
24,819,91,2021-07-19,TOR,,BOS,L 4-13,GS-9,4,4,1,3,1,0,0,0,0,0,0,0,.235,.337,.471,.807,4,1,0,0,0,0,.750,0.24,-0.009,0.29,-0.01%,1.18,4,CF
25,820,92,2021-07-21,TOR,,BOS,L 4-7,CG,4,4,1,1,0,0,1,2,0,0,0,0,.236,.333,.494,.828,4,1,0,0,0,0,.000,1.03,0.012,1.05,0.01%,0.80,4,CF
26,821,93,2021-07-23,TOR,@,NYM,L 0-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.226,.321,.473,.794,0,0,0,0,0,0,.000,0.83,-0.087,0.56,-0.04%,-0.81,4,CF
27,822,94,2021-07-24,TOR,@,NYM,W 10-3,GS-9,6,6,2,2,0,0,1,1,0,0,0,0,.232,.321,.495,.816,5,0,0,0,0,0,.200,0.46,0.101,0.27,0.04%,0.24,1,CF
28,823,95,2021-07-25,TOR,@,NYM,L 4-5,CG,5,4,1,1,1,0,0,0,0,1,0,2,.233,.325,.495,.820,2,0,1,0,0,0,.500,1.46,-0.072,0.96,-0.03%,-0.31,1,CF
29,824,96,2021-07-26,TOR,@,BOS,L 4-5,CG,5,3,2,1,1,0,0,0,0,0,2,0,.236,.336,.500,.836,2,0,0,0,0,0,.333,1.26,0.110,0.93,0.05%,1.25,1,DH
30,825,97,2021-07-28 (1),TOR,@,BOS,W 4-1 (7),CG(7),4,4,1,2,1,0,1,1,0,0,0,1,.245,.341,.536,.878,6,0,0,0,0,0,.500,0.74,0.111,0.45,0.04%,1.19,1,CF
31,826,98,2021-07-28 (2),TOR,@,BOS,L 1-4 (7),CG(7),3,3,0,0,0,0,0,0,0,0,0,2,.239,.333,.522,.855,0,0,0,0,0,0,.000,1.09,-0.090,0.77,-0.04%,-0.87,1,CF
32,827,99,2021-07-29,TOR,@,BOS,W 13-1,CG,6,4,2,1,0,0,0,1,0,0,2,3,.239,.341,.513,.854,1,0,0,0,0,0,1.000,0.37,0.038,0.23,0.01%,-0.09,1,DH
33,828,100,2021-07-30,TOR,,KCR,W 6-4,CG,4,4,1,3,2,0,0,1,0,0,0,0,.256,.353,.537,.890,5,0,0,0,0,0,.750,0.93,0.167,0.57,0.06%,2.15,1,CF
34,829,101,2021-07-31,TOR,,KCR,W 4-0,CG,4,4,2,2,0,0,2,3,0,0,0,1,.264,.357,.584,.941,8,0,0,0,0,0,.000,0.56,0.241,0.38,0.10%,2.36,1,CF
35,830,102,2021-08-01,TOR,,KCR,W 5-1,CG,5,3,0,1,1,0,0,1,0,0,2,2,.266,.365,.586,.951,2,0,0,0,0,0,1.000,0.54,0.034,0.40,0.02%,0.31,1,DH
36,831,103,2021-08-02,TOR,,CLE,L 2-5 (10),CG(10),5,5,1,2,0,0,0,0,0,0,0,1,.271,.366,.579,.945,2,0,0,0,0,0,.500,1.10,-0.028,0.93,-0.01%,-0.35,1,CF
37,832,104,2021-08-03,TOR,,CLE,W 7-2,CG,5,4,2,2,1,0,1,2,0,0,0,1,.277,.367,.606,.973,6,1,0,0,1,0,.333,0.52,0.077,0.42,0.04%,0.25,1,CF
38,833,105,2021-08-04,TOR,,CLE,W 8-6,CG,5,5,2,4,1,0,1,3,0,0,0,0,.296,.380,.641,1.021,8,0,0,0,0,0,.750,0.29,0.121,0.24,0.06%,3.03,1,DH
39,834,106,2021-08-05,TOR,,CLE,W 3-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.288,.371,.623,.995,0,0,0,0,0,0,.000,0.64,-0.067,0.58,-0.04%,-0.94,1,CF
40,835,107,2021-08-06,TOR,,BOS,W 12-4,CG,5,5,0,2,1,1,0,3,0,0,0,1,.291,.372,.636,1.008,5,0,0,0,0,0,.500,0.72,-0.025,0.88,-0.02%,2.62,1,DH
41,836,108,2021-08-07 (1),TOR,,BOS,W 1-0 (7),CG(7),3,2,0,0,0,0,0,0,0,0,1,0,.288,.371,.627,.999,0,0,0,0,0,0,.000,1.12,-0.036,1.44,-0.03%,-0.38,1,CF
42,837,109,2021-08-07 (2),TOR,,BOS,L 1-2 (8),CG(8),4,4,0,0,0,0,0,0,0,0,0,3,.280,.363,.611,.975,0,0,0,0,0,0,.000,1.21,-0.125,1.77,-0.11%,-0.94,1,DH
43,838,110,2021-08-08,TOR,,BOS,W 9-8,CG,5,4,4,2,0,0,1,3,0,0,1,0,.286,.370,.627,.997,5,0,0,0,0,0,.333,1.35,0.799,1.65,0.59%,4.23,1,CF
44,839,111,2021-08-10 (1),TOR,@,LAA,L 3-6 (7),CG(7),4,3,1,0,0,0,0,0,0,0,1,0,.280,.367,.616,.983,0,2,0,0,0,0,.000,1.97,-0.286,2.22,-0.19%,-2.03,1,CF
45,840,112,2021-08-10 (2),TOR,@,LAA,W 4-0 (7),CG(7),4,4,1,1,1,0,0,0,0,0,0,1,.280,.365,.613,.978,2,0,0,0,0,0,.333,0.66,0.025,0.73,0.02%,-0.18,1,DH
46,841,113,2021-08-11,TOR,@,LAA,W 10-2,CG,5,4,3,2,0,0,2,2,0,0,1,2,.285,.371,.645,1.016,8,0,0,0,0,0,,0.54,0.099,0.62,0.07%,1.82,1,CF
47,842,114,2021-08-12,TOR,@,LAA,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.278,.363,.631,.994,0,1,0,0,0,0,.000,0.61,-0.079,0.73,-0.06%,-1.09,1,DH
48,843,115,2021-08-13,TOR,@,SEA,L 2-3,CG,5,3,0,0,0,0,0,0,0,0,2,0,.274,.364,.620,.984,0,0,0,0,0,1,.000,1.85,-0.070,2.15,-0.05%,-0.41,1,CF
49,844,116,2021-08-14,TOR,@,SEA,L 3-9,GS-7,4,3,0,0,0,0,0,0,0,0,0,1,.269,.362,.610,.972,0,0,1,0,0,0,.000,1.38,-0.090,1.44,-0.06%,-0.90,1,CF
50,845,130,2021-08-30,TOR,,BAL,W 7-3,CG,4,2,2,1,0,0,0,0,1,0,1,0,.272,.369,.609,.978,1,0,1,0,0,0,.500,1.11,0.057,0.40,0.01%,0.50,1,DH
51,846,131,2021-08-31,TOR,,BAL,L 2-4,GS-7,4,4,0,0,0,0,0,0,0,0,0,2,.266,.362,.596,.958,0,0,0,0,0,0,.000,1.24,-0.124,0.62,-0.04%,-1.14,1,DH
52,847,132,2021-09-01,TOR,,BAL,W 5-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.266,.360,.589,.949,1,0,0,0,0,0,.333,1.25,-0.001,0.48,0.00%,-0.37,1,DH
53,848,133,2021-09-03,TOR,,OAK,W 11-10,CG,5,5,1,2,2,0,0,0,0,0,0,2,.269,.361,.594,.955,4,0,0,0,0,0,.667,1.23,0.237,0.54,0.06%,0.53,1,DH
54,849,134,2021-09-04,TOR,,OAK,W 10-8,GS-8,5,4,0,1,0,0,0,0,0,0,0,0,.269,.362,.587,.949,1,0,1,0,0,0,.250,0.48,-0.021,0.23,-0.01%,-0.22,1,DH
55,850,135,2021-09-05,TOR,,OAK,W 8-0,GS-8,4,4,0,0,0,0,0,0,0,0,0,0,.263,.356,.576,.932,0,0,0,0,0,0,.000,0.46,-0.049,0.27,-0.02%,-1.35,1,DH
56,851,136,2021-09-06,TOR,@,NYY,W 8-0,GS-9,4,3,0,0,0,0,0,0,0,0,1,1,.260,.354,.567,.921,0,0,0,0,0,0,.000,0.55,-0.011,0.50,-0.01%,-0.21,1,DH
57,852,140,2021-09-10,TOR,@,BAL,L 3-6,CG,5,5,0,1,0,0,0,0,0,0,0,1,.258,.351,.559,.910,1,0,0,0,0,0,.250,1.08,-0.099,1.56,-0.09%,-0.78,1,DH
58,853,141,2021-09-11 (1),TOR,@,BAL,W 11-10 (7),CG(7),5,5,1,2,0,0,1,2,0,0,0,0,.261,.352,.569,.921,5,0,0,0,0,0,.250,1.40,0.674,2.01,0.58%,1.51,1,DH
59,854,142,2021-09-11 (2),TOR,@,BAL,W 11-2 (7),CG(7),4,3,1,1,0,0,0,0,0,0,1,1,.262,.354,.566,.920,1,0,0,0,0,0,.500,1.17,-0.056,1.83,-0.05%,0.58,1,DH
60,855,144,2021-09-13,TOR,,TBR,W 8-1,CG,5,4,0,0,0,0,0,0,0,0,1,0,.258,.351,.556,.907,0,0,0,0,0,0,.000,0.69,0.028,1.07,0.03%,-0.79,1,DH
61,856,145,2021-09-14,TOR,,TBR,L 0-2,CG,4,4,0,1,1,0,0,0,0,0,0,0,.258,.350,.555,.904,2,0,0,0,0,0,.250,1.62,-0.054,2.53,-0.05%,-0.25,1,DH
62,857,146,2021-09-15,TOR,,TBR,W 6-3,CG,4,4,1,1,0,0,0,0,0,0,0,2,.258,.348,.549,.898,1,0,0,0,0,0,.500,0.42,-0.022,0.67,-0.02%,-0.42,1,DH
63,858,147,2021-09-17,TOR,,MIN,L 3-7,CG,4,4,0,0,0,0,0,0,0,0,0,1,.253,.343,.540,.883,0,0,0,0,0,0,.000,0.76,-0.082,1.21,-0.08%,-0.92,1,DH
64,859,148,2021-09-18,TOR,,MIN,W 6-2,CG,5,3,1,0,0,0,0,0,0,0,2,1,.250,.344,.533,.878,0,0,0,0,0,0,.000,0.62,-0.043,1.05,-0.04%,-0.02,1,DH
65,860,149,2021-09-19,TOR,,MIN,W 5-3,CG,5,4,0,0,0,0,0,0,0,0,1,3,.246,.342,.525,.866,0,0,0,0,0,0,.000,0.47,-0.055,0.81,-0.06%,-1.20,1,DH
