Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,304,1,2024-03-28,ARI,,COL,W 16-1,GS-9,4,4,2,2,0,0,0,1,0,0,0,0,.500,.500,.500,1.000,2,0,0,0,0,0,.500,0.24,0.038,0.23,0.02%,0.51,12.00,15.90,9,SS
2,305,2,2024-03-29,ARI,,COL,W 7-3,CG,4,4,0,1,1,0,0,0,0,0,0,0,.375,.375,.500,.875,2,0,0,0,0,0,.250,0.37,-0.031,0.37,-0.02%,-0.02,5.00,6.00,9,SS
3,306,3,2024-03-30,ARI,,COL,L 4-9,CG,4,3,0,1,0,0,0,0,0,0,1,0,.364,.417,.455,.871,1,0,0,0,0,0,.333,0.61,-0.004,0.65,0.00%,0.00,5.00,6.00,9,SS
4,307,4,2024-03-31,ARI,,COL,W 5-1,CG,3,3,0,0,0,0,0,0,0,0,0,1,.286,.333,.357,.690,0,1,0,0,0,0,.000,0.58,-0.062,0.58,-0.04%,-1.32,0.00,0.00,9,SS
5,308,5,2024-04-01,ARI,,NYY,L 2-5,CG,4,2,0,0,0,0,0,0,0,0,1,0,.250,.368,.313,.681,0,0,1,0,0,0,.000,1.24,0.066,1.20,0.04%,0.58,4.00,6.00,9,SS
6,309,6,2024-04-02,ARI,,NYY,W 7-0,CG,4,4,1,2,0,0,0,0,0,0,0,0,.300,.391,.350,.741,2,0,0,0,0,0,.500,0.30,-0.006,0.28,0.00%,0.82,8.00,9.20,9,SS
7,310,7,2024-04-03,ARI,,NYY,L 5-6 (11),GS-10,4,4,0,0,0,0,0,1,0,0,0,2,.250,.333,.292,.625,0,0,0,0,0,0,.000,1.41,0.088,1.38,0.05%,0.18,2.00,3.50,9,SS
8,311,67,2024-06-11,ARI,,LAA,W 9-4,CG,5,4,1,2,0,0,0,1,0,0,1,0,.286,.375,.321,.696,2,0,0,0,0,0,.500,0.65,0.064,0.46,0.03%,0.88,12.00,15.70,9,SS
9,312,68,2024-06-12,ARI,,LAA,L 3-8,GS-9,3,3,0,1,0,0,0,0,0,0,0,1,.290,.371,.323,.694,1,1,0,0,0,0,.500,0.43,-0.051,0.32,-0.02%,-0.25,3.00,3.00,9,SS
10,313,70,2024-06-14,ARI,,CHW,W 7-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,.286,.359,.314,.673,1,0,0,0,0,0,.250,0.59,-0.052,0.45,-0.02%,-0.99,3.00,3.00,9,SS
11,314,71,2024-06-15,ARI,,CHW,L 2-9,CG,4,4,0,2,0,0,0,0,0,0,0,0,.308,.372,.333,.705,2,0,0,0,0,0,.500,0.91,-0.004,0.71,0.00%,0.31,6.00,6.00,9,SS
12,315,72,2024-06-16,ARI,,CHW,W 12-5,CG,4,3,1,1,0,0,0,0,0,0,1,2,.310,.383,.333,.716,1,0,0,0,0,0,1.000,0.25,0.036,0.19,0.02%,0.47,7.00,9.20,9,SS
13,316,73,2024-06-18,ARI,@,WSN,W 5-0,CG,4,4,1,1,1,0,0,0,0,0,0,0,.304,.373,.348,.720,2,1,0,0,0,0,.250,0.47,0.004,0.39,0.00%,-0.43,7.00,9.20,9,SS
14,317,74,2024-06-19,ARI,@,WSN,L 1-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.286,.352,.327,.678,0,0,0,0,0,0,.000,1.55,-0.117,1.36,-0.06%,-1.09,0.00,0.00,9,SS
15,318,76,2024-06-21,ARI,@,PHI,W 5-4,CG,4,3,0,1,0,0,0,1,0,0,0,1,.288,.362,.327,.689,1,0,1,0,0,0,.500,0.95,0.114,0.78,0.06%,0.99,7.00,9.50,9,SS
16,319,77,2024-06-22,ARI,@,PHI,L 1-12,CG,3,3,0,0,0,0,0,0,0,0,0,0,.273,.344,.309,.653,0,0,0,0,0,0,.000,0.41,-0.033,0.39,-0.02%,-0.71,0.00,0.00,9,SS
17,320,78,2024-06-23,ARI,@,PHI,L 1-4,9-GF,1,1,1,1,1,0,0,0,0,0,0,0,.286,.355,.339,.694,2,0,0,0,0,0,1.000,0.34,0.021,0.30,0.01%,0.62,7.00,9.20,8,PH
18,321,79,2024-06-25,ARI,,MIN,W 5-4,CG,3,2,1,0,0,0,0,0,0,0,1,0,.276,.354,.328,.681,0,0,0,0,0,0,.000,0.57,-0.001,0.43,0.00%,-0.48,4.00,6.20,9,SS
19,322,80,2024-06-26,ARI,,MIN,L 3-8,CG,3,3,0,0,0,0,0,0,0,0,0,2,.262,.338,.311,.650,0,0,0,0,0,0,.000,0.26,-0.020,0.20,-0.01%,-0.44,0.00,0.00,9,SS
20,323,81,2024-06-27,ARI,,MIN,L 6-13,CG,4,4,0,2,0,0,0,1,0,0,0,0,.277,.347,.323,.670,2,0,0,0,0,0,.500,0.14,0.002,0.10,0.00%,0.76,8.00,9.50,8,SS
21,324,82,2024-06-28,ARI,,OAK,L 4-9,CG,4,3,0,0,0,0,0,0,0,0,0,1,.265,.333,.309,.642,0,0,0,1,0,0,.000,1.17,-0.086,0.76,-0.03%,-1.02,0.00,0.00,8,SS
22,325,84,2024-06-30,ARI,,OAK,W 5-1,CG,4,4,1,1,1,0,0,1,0,0,0,0,.264,.329,.319,.649,2,0,0,0,0,0,.250,1.25,-0.110,0.68,-0.04%,-0.19,9.00,12.70,9,SS
23,326,85,2024-07-02,ARI,@,LAD,L 5-6,CG,4,4,1,1,0,0,0,0,0,0,0,1,.263,.325,.316,.641,1,0,0,0,0,0,.333,2.26,-0.143,1.70,-0.07%,-1.12,5.00,6.20,9,SS
24,327,86,2024-07-03,ARI,@,LAD,W 12-4,CG,5,4,0,2,0,0,0,1,1,0,0,0,.275,.333,.325,.658,2,0,0,1,0,0,.500,0.81,0.092,0.56,0.04%,0.06,13.00,15.50,9,SS
25,328,87,2024-07-04,ARI,@,LAD,W 9-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.262,.319,.310,.628,0,0,0,0,0,0,.000,0.84,-0.089,0.62,-0.04%,-1.16,0.00,0.00,9,SS
26,329,88,2024-07-05,ARI,@,SDP,L 8-10,CG,4,4,0,1,0,0,0,0,0,0,0,2,.261,.316,.307,.623,1,0,0,0,0,0,.500,0.87,-0.025,0.76,-0.01%,0.01,3.00,3.00,9,SS
27,330,89,2024-07-06,ARI,@,SDP,W 7-5 (10),CG(10),5,5,1,2,0,1,0,1,0,0,0,2,.269,.320,.333,.653,4,0,0,0,0,0,.667,1.45,0.155,1.12,0.07%,1.16,15.00,18.70,2,SS
28,331,90,2024-07-07,ARI,@,SDP,W 9-1,CG,4,3,2,1,0,0,0,0,0,0,1,1,.271,.327,.333,.660,1,1,0,0,0,0,.500,0.99,-0.088,0.88,-0.05%,-0.14,9.00,12.40,6,SS
29,332,91,2024-07-08,ARI,,ATL,L 4-5 (11),CG(11),4,3,1,1,0,0,0,1,0,0,0,1,.273,.324,.333,.657,1,0,0,0,1,0,.333,2.38,0.179,2.22,0.10%,0.25,7.00,9.70,9,SS
30,333,93,2024-07-10,ARI,,ATL,W 7-5,CG,4,3,2,3,2,0,0,1,0,0,0,0,.294,.339,.373,.712,5,0,0,0,1,0,.750,0.87,0.109,0.69,0.05%,0.56,19.00,24.90,6,SS
31,334,94,2024-07-11,ARI,,ATL,W 1-0,CG,3,3,0,0,0,0,0,0,0,0,0,0,.286,.330,.362,.692,0,0,0,0,0,0,.000,0.90,-0.067,0.80,-0.04%,-0.70,0.00,0.00,9,SS
32,335,95,2024-07-12,ARI,,TOR,W 5-4,CG,5,3,1,1,0,0,0,1,0,0,1,1,.287,.333,.361,.694,1,0,0,0,1,0,.333,2.46,0.189,2.21,0.10%,-0.56,9.00,12.70,5,SS
33,336,96,2024-07-13,ARI,,TOR,W 12-1,CG,5,3,2,0,0,0,0,0,0,0,2,0,.279,.336,.351,.687,0,0,0,0,0,0,.000,0.68,-0.018,0.65,-0.01%,-0.99,8.00,12.40,6,SS
34,337,97,2024-07-14,ARI,,TOR,L 7-8,CG,4,3,1,0,0,0,0,0,0,0,1,0,.272,.333,.342,.675,0,0,0,0,0,0,.000,1.53,-0.128,1.56,-0.08%,-0.56,4.00,6.20,9,SS
35,338,98,2024-07-19,ARI,@,CHC,W 5-2,CG,4,3,0,1,0,0,0,0,0,0,0,0,.274,.333,.342,.675,1,0,0,1,0,0,.333,0.60,0.017,0.63,0.01%,-0.66,3.00,3.00,8,SS
36,339,99,2024-07-20,ARI,@,CHC,W 3-0,CG,4,3,1,0,0,0,0,0,0,0,1,1,.267,.331,.333,.664,0,0,0,0,0,0,.000,0.56,-0.016,0.62,-0.01%,-0.82,4.00,6.20,9,SS
37,340,100,2024-07-21,ARI,@,CHC,L 1-2 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,0,.258,.321,.323,.644,0,0,0,0,0,0,.000,1.83,-0.190,2.09,-0.13%,-1.00,0.00,0.00,8,SS
38,341,102,2024-07-23,ARI,@,KCR,W 6-2,CG,4,4,1,1,1,0,0,0,0,0,0,1,.258,.319,.328,.648,2,0,0,0,0,0,.333,0.35,0.030,0.33,0.02%,-0.28,7.00,9.20,9,SS
39,342,103,2024-07-24,ARI,@,KCR,W 8-6,CG,4,3,1,1,1,0,0,0,0,0,1,0,.260,.324,.336,.660,2,0,0,0,0,0,.333,1.85,0.139,1.83,0.08%,0.61,9.00,12.20,8,SS
40,343,104,2024-07-26,ARI,,PIT,W 4-3,CG,3,3,0,0,0,0,0,0,0,0,0,0,.254,.318,.328,.646,0,0,0,0,0,0,.000,1.64,-0.126,1.87,-0.09%,-1.26,0.00,0.00,9,SS
