Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,1,2018-10-03,NYY,,OAK,W 7-2,ALWC G1,CG,4,3,2,1,0,0,1,1,1,0,1,1,4,0,0,0,0,0,.000,0.36,-0.010,7.46,-0.12%,1.16,,,4,DH
2,2,2,2018-10-05,NYY,@,BOS,L 4-5,ALDS G1,CG,5,5,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1.000,1.61,-0.172,25.26,-1.52%,-1.16,,,4,DH
3,3,3,2018-10-06,NYY,@,BOS,W 6-2,ALDS G2,CG,5,5,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,.250,0.73,-0.048,11.75,-0.49%,-1.86,,,4,DH
4,4,4,2018-10-08,NYY,,BOS,L 1-16,ALDS G3,CG,4,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,.500,0.31,0.047,6.54,0.62%,0.88,,,4,DH
5,5,5,2018-10-09,NYY,,BOS,L 3-4,ALDS G4,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,1.47,-0.142,28.51,-1.73%,-1.26,,,4,DH
6,6,1,2019-10-04,NYY,,MIN,W 10-4,ALDS G1,GS-7,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.000,1.62,0.034,25.35,0.23%,0.60,,,5,LF
7,7,2,2019-10-05,NYY,,MIN,W 8-2,ALDS G2,GS-6,4,2,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,.000,0.83,-0.074,13.23,-0.67%,-1.10,,,5,LF
8,8,3,2019-10-07,NYY,@,MIN,W 5-1,ALDS G3,GS-7,3,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.500,0.67,-0.006,6.95,-0.03%,0.03,,,5,LF
9,9,4,2019-10-12,NYY,@,HOU,W 7-0,ALCS G1,GS-8,4,4,1,2,0,0,1,1,0,0,0,1,5,0,0,0,0,0,.500,0.59,0.083,15.40,1.34%,0.66,,,5,LF
10,10,8,2019-10-18,NYY,,HOU,W 4-1,ALCS G5,CG,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.60,-0.062,10.88,-0.64%,-0.88,,,4,DH
11,11,1,2020-09-29,NYY,@,CLE,W 12-3,ALWC G1,CG,5,5,1,1,0,0,1,1,0,0,0,2,4,0,0,0,0,0,.000,0.33,-0.039,3.44,-0.27%,0.28,,,5,DH
12,12,2,2020-09-30,NYY,@,CLE,W 10-9,ALWC G2,GS-9,5,2,2,1,0,0,1,2,0,0,2,1,4,0,0,0,1,0,.000,1.53,0.218,16.99,1.35%,1.45,,,5,DH
13,13,3,2020-10-05,NYY,@,TBR,W 9-3,ALDS G1,CG,5,4,1,1,0,0,1,4,0,0,1,1,4,0,0,0,0,0,.000,1.03,-0.006,16.08,-0.02%,2.27,,,5,DH
14,14,4,2020-10-06,NYY,@,TBR,L 5-7,ALDS G2,CG,4,4,2,2,0,0,2,4,0,0,0,1,8,0,0,0,0,0,.000,1.17,0.232,17.87,1.99%,2.60,,,5,DH
15,15,5,2020-10-07,NYY,,TBR,L 4-8,ALDS G3,CG,4,4,1,2,0,0,1,2,0,0,0,2,5,0,0,0,0,0,1.000,0.58,-0.005,12.19,-0.06%,1.36,,,5,DH
16,16,6,2020-10-08,NYY,,TBR,W 5-1,ALDS G4,CG,4,4,0,1,1,0,0,0,0,0,0,2,2,1,0,0,0,0,.500,0.83,-0.116,16.17,-1.27%,-1.13,,,4,DH
17,17,7,2020-10-09,NYY,@,TBR,L 1-2,ALDS G5,CG,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,1.44,-0.085,59.79,-2.04%,-0.43,,,4,DH
18,18,1,2021-10-05,NYY,@,BOS,L 2-6,ALWC G1,CG,4,4,1,3,0,0,1,1,0,0,0,1,6,0,0,0,0,0,1.000,0.75,-0.039,15.58,-0.45%,0.65,,,3,DH
19,19,1,2022-10-11,NYY,,CLE,W 4-1,ALDS G1,CG,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,0.63,0.013,9.92,0.12%,0.07,,,4,DH
20,20,2,2022-10-14,NYY,,CLE,L 2-4 (10),ALDS G2,GS-8,4,3,1,1,0,0,1,2,0,0,1,2,4,0,0,0,0,0,,1.14,0.151,18.14,1.36%,1.11,,,4,DH
21,21,3,2022-10-15,NYY,@,CLE,L 5-6,ALDS G3,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.64,-0.065,13.39,-0.79%,-0.68,,,4,DH
22,22,4,2022-10-16,NYY,@,CLE,W 4-2,ALDS G4,CG,4,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,.000,0.67,-0.040,14.73,-0.55%,-0.82,,,4,DH
23,23,5,2022-10-18,NYY,,CLE,W 5-1,ALDS G5,CG,4,4,1,1,0,0,1,3,0,0,0,1,4,0,0,0,0,0,.000,0.70,0.195,28.96,4.58%,1.56,,,4,DH
24,24,6,2022-10-19,NYY,@,HOU,L 2-4,ALCS G1,CG,4,4,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,.500,0.99,0.104,25.78,1.73%,0.97,,,4,LF
25,25,7,2022-10-20,NYY,@,HOU,L 2-3,ALCS G2,CG,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,1.57,-0.019,41.34,-0.27%,0.47,,,3,DH
26,26,8,2022-10-22,NYY,,HOU,L 0-5,ALCS G3,CG,4,4,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,.333,0.43,0.027,8.86,0.37%,-0.14,,,3,LF
27,27,9,2022-10-23,NYY,,HOU,L 5-6,ALCS G4,CG,4,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.333,1.34,0.029,13.00,0.15%,0.31,,,4,DH
28,28,1,2024-10-05,NYY,,KCR,W 6-5,ALDS G1,CG,5,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,.000,1.71,-0.168,26.75,-1.43%,-1.60,2.00,3.00,5,DH
29,29,2,2024-10-07,NYY,,KCR,L 2-4,ALDS G2,CG,4,4,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,.250,1.47,-0.005,23.52,-0.14%,-0.19,5.00,6.50,5,DH
30,30,3,2024-10-09,NYY,@,KCR,W 3-2,ALDS G3,CG,5,5,1,3,1,0,1,2,1,0,0,0,7,0,0,0,0,0,.500,1.09,0.417,22.80,5.37%,1.85,29.00,37.20,5,DH
31,31,4,2024-10-10,NYY,@,KCR,W 3-1,ALDS G4,GS-8,4,3,0,2,1,0,0,1,0,0,1,0,3,0,0,0,0,1,.667,0.81,0.095,15.79,1.17%,1.24,12.00,15.50,5,DH
32,32,5,2024-10-14,NYY,,CLE,W 5-2,ALCS G1,CG,4,3,2,1,0,0,1,1,0,0,1,0,4,0,0,0,0,0,.000,1.09,0.065,28.35,0.94%,1.39,18.00,24.90,5,DH
33,33,6,2024-10-15,NYY,,CLE,W 6-3,ALCS G2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.64,-0.060,16.96,-0.89%,-0.91,0.00,0.00,5,DH
34,34,7,2024-10-17,NYY,@,CLE,L 5-7 (10),ALCS G3,GS-10,5,3,1,1,0,0,1,1,0,0,2,0,4,0,0,0,0,0,.000,0.92,0.345,19.25,4.36%,1.26,18.00,24.70,4,DH
35,35,8,2024-10-18,NYY,@,CLE,W 8-6,ALCS G4,CG,4,4,1,1,0,0,1,3,0,0,0,2,4,0,0,0,0,0,.000,0.77,0.122,23.60,2.38%,1.51,18.00,25.70,5,DH
36,36,9,2024-10-19,NYY,@,CLE,W 5-2 (10),ALCS G5,CG(10),4,4,1,1,0,0,1,2,0,0,0,3,4,0,0,0,0,0,,1.62,0.132,29.72,1.31%,0.89,16.00,22.20,4,DH
37,37,10,2024-10-25,NYY,@,LAD,L 3-6 (10),WS G1,CG(10),5,5,1,1,0,0,1,2,0,0,0,2,4,0,0,0,0,0,.000,1.40,0.216,73.19,6.79%,1.28,16.00,22.20,4,DH
38,38,11,2024-10-26,NYY,@,LAD,L 2-4,WS G2,CG,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.250,0.96,-0.032,50.57,-0.95%,0.08,5.00,6.50,4,DH
39,39,12,2024-10-28,NYY,,LAD,L 2-4,WS G3,CG,4,4,0,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0,.667,0.69,0.018,28.65,0.48%,0.10,8.00,9.00,4,DH
40,40,13,2024-10-29,NYY,,LAD,W 11-4,WS G4,CG,5,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,1.15,-0.098,22.36,-1.18%,-1.43,4.00,6.20,5,DH
41,41,14,2024-10-30,NYY,,LAD,L 6-7,WS G5,CG,5,4,1,1,0,0,1,2,0,0,0,0,4,0,0,0,1,0,.000,1.98,-0.067,72.66,-1.70%,0.28,16.00,22.20,5,DH
,,,,,,,22-19,,,172,151,25,40,6,0,18,40,2,0,17,43,100,4,0,0,4,1,.234,1.01,1.185,22.87,19.43%,12.70,167.00,225.80,,
