Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,793,1,2025-03-27,ATH,@,SEA,L 2-4,CG,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.82,-0.060,0.82,-0.04%,-0.57,0.00,0.00,7,3B
2,794,2,2025-03-28,ATH,@,SEA,W 7-0,GS-9,4,4,0,1,0,0,0,0,0,0,0,1,.143,.143,.143,.286,1,0,0,0,0,0,.333,0.62,-0.023,0.58,-0.01%,-0.89,3.00,3.00,7,3B
3,795,3,2025-03-29,ATH,@,SEA,W 4-2,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.143,.143,.143,.286,0,,0,0,,,,,,,,,0.00,0.00,7,3B
4,796,4,2025-03-30,ATH,@,SEA,L 1-2,CG,4,3,0,0,0,0,0,0,0,0,0,1,.100,.100,.100,.200,0,0,0,1,0,0,.000,1.67,-0.119,1.74,-0.07%,-0.55,0.00,0.00,7,3B
5,797,5,2025-03-31,ATH,,CHC,L 3-18,CG,4,4,1,1,0,0,0,0,0,0,0,0,.143,.143,.143,.286,1,1,0,0,0,0,.250,0.48,0.011,0.43,0.01%,-0.54,5.00,6.20,7,3B
6,798,6,2025-04-01,ATH,,CHC,L 4-7,CG,4,4,0,0,0,0,0,0,0,0,0,1,.111,.111,.111,.222,0,0,0,0,0,0,.000,1.40,-0.135,1.21,-0.07%,-1.13,0.00,0.00,7,3B
7,799,8,2025-04-04,ATH,@,COL,W 6-3 (11),CG(11),5,5,0,1,1,0,0,1,0,0,0,1,.130,.130,.174,.304,2,0,0,0,0,0,.250,1.03,-0.043,0.83,-0.02%,-0.03,7.00,9.50,8,3B
8,800,10,2025-04-06,ATH,@,COL,L 5-12,CG,4,3,0,0,0,0,0,0,0,0,1,1,.115,.148,.154,.302,0,0,0,0,0,0,.000,0.56,0.011,0.49,0.01%,-0.27,2.00,3.00,7,3B
9,801,11,2025-04-07,ATH,,SDP,L 4-5,GS-8,3,3,0,0,0,0,0,0,0,0,0,1,.103,.133,.138,.271,0,0,0,0,0,0,.000,1.87,-0.136,1.59,-0.07%,-1.17,0.00,0.00,8,3B
10,802,12,2025-04-08,ATH,,SDP,W 10-4,CG,4,4,1,3,2,0,0,3,0,0,0,0,.182,.206,.273,.479,5,0,0,0,0,0,.750,0.53,0.220,0.42,0.10%,2.44,21.00,28.70,8,3B
11,803,14,2025-04-11,ATH,,NYM,L 6-7,CG,4,3,0,1,0,0,0,0,0,0,1,1,.194,.237,.278,.515,1,0,0,0,0,0,.500,0.94,0.036,0.75,0.02%,0.27,5.00,6.00,8,3B
12,804,16,2025-04-13,ATH,,NYM,L 0-8,CG,3,3,0,0,0,0,0,0,0,0,0,1,.179,.220,.256,.476,0,0,0,0,0,0,.000,0.79,-0.062,0.61,-0.03%,-0.53,0.00,0.00,8,3B
13,805,17,2025-04-15,ATH,@,CHW,W 12-3,CG,4,3,0,1,1,0,0,1,0,0,1,0,.190,.244,.286,.530,2,0,0,0,0,0,.333,0.68,0.142,0.53,0.07%,1.24,9.00,12.50,8,3B
14,806,18,2025-04-16,ATH,@,CHW,W 3-1,CG,4,4,0,1,0,1,0,2,0,0,0,0,.196,.245,.326,.571,3,0,0,0,0,0,.250,1.24,0.254,1.04,0.13%,1.48,12.00,16.00,8,3B
15,807,20,2025-04-18,ATH,@,MIL,L 3-5,CG,4,4,0,0,0,0,0,1,0,0,0,1,.180,.226,.300,.526,0,1,0,0,0,0,.000,1.42,-0.155,1.26,-0.08%,-1.31,2.00,3.50,8,3B
16,808,21,2025-04-19,ATH,@,MIL,W 3-1,CG,3,2,0,0,0,0,0,0,0,0,1,2,.173,.232,.288,.521,0,0,0,0,0,0,,1.09,-0.078,0.94,-0.04%,-0.70,2.00,3.00,8,3B
17,809,23,2025-04-22,ATH,,TEX,L 5-8,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,.167,.224,.278,.502,0,0,0,0,0,0,.000,1.46,-0.078,1.40,-0.05%,-0.57,0.00,0.00,8,3B
18,810,24,2025-04-23,ATH,,TEX,W 5-2,CG,4,3,0,2,2,0,0,1,0,0,1,0,.193,.258,.333,.591,4,0,0,0,0,0,.667,0.34,0.073,0.31,0.04%,1.51,14.00,18.50,8,3B
19,811,25,2025-04-24,ATH,,TEX,W 4-3,GS-7,3,3,0,3,0,0,0,0,0,0,0,0,.233,.292,.367,.659,3,0,0,0,0,0,1.000,1.42,0.172,1.38,0.10%,1.15,9.00,9.00,8,3B
20,812,26,2025-04-25,ATH,,CHW,W 6-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,.219,.275,.344,.619,0,0,0,0,0,0,.000,0.83,-0.085,0.75,-0.05%,-0.86,0.00,0.00,8,3B
21,813,27,2025-04-26,ATH,,CHW,L 3-10,CG,4,4,0,1,0,0,0,0,0,0,0,0,.221,.274,.338,.612,1,0,0,0,0,0,.250,0.16,-0.005,0.16,0.00%,-0.50,3.00,3.00,8,3B
22,814,29,2025-04-28,ATH,@,TEX,W 2-1,GS-7,2,2,1,1,1,0,0,0,0,0,0,1,.229,.280,.357,.637,2,0,0,0,0,0,1.000,1.21,0.049,1.31,0.03%,0.30,7.00,9.20,8,3B
