Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,118,1,2022-04-07,SDP,@,ARI,L 2-4,CG,4,3,2,0,0,0,0,0,1,0,1,1,.000,.250,.000,.250,0,0,0,0,0,0,.000,0.84,0.013,0.82,0.01%,-0.14,8,SS
2,119,4,2022-04-10,SDP,@,ARI,W 10-5,CG,4,2,2,1,0,1,0,0,0,0,1,0,.200,.500,.600,1.100,3,0,1,0,0,0,.500,0.13,0.036,0.14,0.02%,1.58,9,SS 3B
3,120,5,2022-04-11,SDP,@,SFG,W 4-2,CG,4,4,1,1,0,0,0,0,0,0,0,1,.222,.417,.444,.861,1,0,0,0,0,0,.333,1.68,-0.071,1.93,-0.05%,-0.84,9,SS
4,121,6,2022-04-12,SDP,@,SFG,L 2-13,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.200,.385,.400,.785,0,0,0,0,0,0,.000,0.01,0.000,0.01,0.00%,-0.35,6,3B
5,122,9,2022-04-15,SDP,,ATL,L 2-5,CG,3,3,1,1,0,0,0,1,0,0,0,1,.231,.375,.385,.760,1,0,0,0,0,0,.500,1.21,0.064,1.18,0.04%,0.53,9,SS
6,123,10,2022-04-16,SDP,,ATL,L 2-5,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.214,.353,.357,.710,0,0,0,0,0,0,.000,0.54,-0.014,0.53,-0.01%,-0.22,8,PH SS
7,124,11,2022-04-17,SDP,,ATL,W 2-1,CG,4,3,1,1,0,0,0,0,0,0,1,1,.235,.381,.353,.734,1,0,0,0,0,0,.500,0.56,0.024,0.52,0.01%,0.20,8,SS
8,125,12,2022-04-18,SDP,,CIN,W 4-1,CG,4,4,0,1,0,0,0,1,0,0,0,1,.238,.360,.333,.693,1,0,0,0,0,0,.333,0.66,0.080,0.62,0.05%,0.48,8,SS
9,126,13,2022-04-19,SDP,,CIN,W 6-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.208,.321,.292,.613,0,0,0,0,0,0,.000,0.42,-0.033,0.41,-0.02%,-0.66,8,SS
10,127,14,2022-04-20,SDP,,CIN,W 6-0,CG,4,4,1,1,0,0,1,1,0,0,0,0,.214,.313,.393,.705,4,0,0,0,0,0,.000,0.41,-0.005,0.41,0.00%,0.00,9,3B
11,128,15,2022-04-22,SDP,,LAD,L 1-6,CG,4,2,0,0,0,0,0,0,0,0,2,1,.200,.333,.367,.700,0,0,0,0,0,0,.000,0.63,0.062,0.72,0.04%,0.08,8,SS
12,129,17,2022-04-24,SDP,,LAD,L 2-10,CG,3,3,0,0,0,0,0,0,0,0,0,0,.182,.308,.333,.641,0,0,0,0,0,0,.000,0.25,-0.019,0.30,-0.01%,-0.64,9,SS 3B
13,130,18,2022-04-26,SDP,@,CIN,W 9-6,CG,4,3,2,1,0,0,1,2,0,0,1,1,.194,.326,.417,.742,4,0,0,0,0,0,.000,0.41,0.124,0.40,0.07%,1.38,9,SS
14,131,20,2022-04-28,SDP,@,CIN,W 7-5,CG,4,4,1,3,2,0,0,3,0,0,0,1,.250,.362,.500,.862,5,0,0,0,0,0,1.000,1.52,0.374,1.63,0.24%,3.49,9,3B
15,132,21,2022-04-29,SDP,@,PIT,W 7-3,CG,4,4,2,2,0,0,1,2,0,0,0,1,.273,.373,.568,.941,5,0,0,0,0,0,.500,0.81,0.228,0.90,0.15%,1.80,9,SS
16,133,22,2022-04-30,SDP,@,PIT,L 6-7 (10),CG(10),4,4,0,1,1,0,0,0,0,0,0,0,.271,.364,.563,.926,2,0,0,0,0,0,.250,0.97,-0.029,1.06,-0.02%,0.20,6,SS
17,134,23,2022-05-01,SDP,@,PIT,W 5-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.250,.339,.519,.858,0,0,0,0,0,0,.000,0.89,-0.092,1.00,-0.06%,-0.97,6,SS
18,135,24,2022-05-04 (1),SDP,@,CLE,W 5-4,CG,4,4,1,1,1,0,0,0,0,0,0,1,.250,.333,.518,.851,2,0,0,0,0,0,.333,0.97,0.029,1.06,0.02%,-0.18,6,SS
19,136,25,2022-05-04 (2),SDP,@,CLE,L 5-6 (10),CG(10),5,2,0,1,0,0,0,1,0,0,3,0,.259,.368,.517,.885,1,0,0,0,0,0,.500,1.56,0.263,1.72,0.17%,2.54,6,SS
20,137,26,2022-05-05,SDP,,MIA,W 2-1,CG,3,3,0,0,0,0,0,0,0,0,0,2,.246,.352,.492,.844,0,0,0,0,0,0,.000,1.07,-0.075,1.21,-0.05%,-0.91,6,SS
21,138,27,2022-05-06,SDP,,MIA,W 3-2,CG,4,3,0,0,0,0,0,0,0,0,1,1,.234,.347,.469,.815,0,0,0,0,0,0,.000,0.72,-0.051,0.83,-0.04%,-0.72,2,SS
22,139,28,2022-05-07,SDP,,MIA,L 0-8,CG,4,4,0,0,0,0,0,0,0,0,0,1,.221,.329,.441,.770,0,0,0,0,0,0,.000,0.96,-0.092,1.12,-0.06%,-0.86,2,3B
23,140,29,2022-05-08,SDP,,MIA,W 3-2,CG,4,3,0,0,0,0,0,0,0,0,1,1,.211,.325,.423,.748,0,0,0,0,0,0,.000,1.35,-0.102,1.52,-0.07%,-0.72,2,SS
24,141,30,2022-05-09,SDP,,CHC,L 0-6,CG,3,3,0,0,0,0,0,0,0,0,0,1,.203,.314,.405,.719,0,1,0,0,0,0,.000,1.04,-0.120,1.21,-0.08%,-1.18,5,SS
25,142,31,2022-05-10,SDP,,CHC,W 5-4,CG,4,2,0,0,0,0,0,1,0,0,2,1,.197,.322,.395,.717,0,0,0,0,0,0,.000,1.06,0.088,1.18,0.06%,0.96,7,SS
26,143,32,2022-05-11,SDP,,CHC,L 5-7,CG,5,4,0,1,0,0,0,0,0,0,0,0,.200,.326,.388,.714,1,0,1,0,0,0,.250,1.00,-0.007,1.12,-0.01%,-0.08,7,SS
27,144,33,2022-05-13,SDP,@,ATL,W 11-6,CG,5,5,3,3,0,0,1,3,0,0,0,0,.224,.340,.435,.775,6,0,0,0,0,0,.500,1.45,0.404,1.63,0.27%,2.56,7,SS
28,145,34,2022-05-14,SDP,@,ATL,L 5-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,.213,.327,.416,.743,0,0,0,0,0,0,.000,1.71,-0.172,1.98,-0.12%,-0.95,7,SS
29,146,35,2022-05-15,SDP,@,ATL,W 7-3 (11),CG(11),5,5,1,2,2,0,0,1,0,1,0,2,.223,.330,.436,.766,4,0,0,0,0,0,.667,1.76,0.129,2.08,0.09%,0.26,2,3B
30,147,36,2022-05-17,SDP,@,PHI,W 3-0,CG,4,3,0,0,0,0,0,0,0,0,1,0,.216,.327,.423,.750,0,0,0,0,0,0,.000,0.94,-0.075,1.13,-0.05%,-0.63,2,SS
31,148,37,2022-05-18,SDP,@,PHI,L 0-3,CG,4,4,0,1,0,0,0,0,0,0,0,2,.218,.325,.416,.741,1,0,0,0,0,0,.500,0.75,-0.079,0.87,-0.06%,-0.86,2,SS
32,149,38,2022-05-19,SDP,@,PHI,W 2-0,CG,4,3,0,1,0,0,0,1,0,0,0,1,.221,.322,.413,.736,1,0,0,0,1,0,.333,0.86,0.010,1.02,0.01%,-0.07,8,SS
33,150,39,2022-05-20,SDP,@,SFG,W 8-7 (10),CG(10),4,4,0,1,0,0,0,0,1,0,0,1,.222,.320,.407,.727,1,0,0,0,0,0,.333,0.97,-0.020,1.25,-0.02%,-0.27,7,SS
34,151,40,2022-05-21,SDP,@,SFG,W 2-1,CG,4,4,0,0,0,0,0,0,1,0,0,1,.214,.310,.393,.703,0,0,0,0,0,0,.000,0.98,-0.112,1.23,-0.08%,-1.25,7,SS
35,152,41,2022-05-22,SDP,@,SFG,W 10-1,CG,5,5,1,2,1,0,0,1,0,0,0,0,.222,.313,.402,.715,3,0,0,0,0,0,.400,0.34,0.017,0.42,0.01%,1.03,7,SS 3B
36,153,42,2022-05-23,SDP,,MIL,W 3-2 (10),8-GF(10),2,2,0,0,0,0,0,0,0,0,0,0,.218,.309,.395,.704,0,0,0,0,0,0,.000,3.78,-0.224,4.47,-0.16%,-1.00,6,SS
37,154,43,2022-05-24,SDP,,MIL,L 1-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.220,.307,.390,.697,1,0,0,0,0,0,.333,1.05,0.028,1.19,0.02%,-0.04,7,SS
38,155,44,2022-05-25,SDP,,MIL,L 1-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,.220,.306,.386,.691,1,0,0,0,0,0,.250,1.58,-0.125,1.86,-0.09%,-0.59,7,SS
39,156,45,2022-05-27,SDP,,PIT,W 4-3,CG,4,3,0,0,0,0,0,0,0,0,1,0,.215,.304,.377,.681,0,1,0,0,0,0,.000,1.34,-0.029,1.46,-0.02%,-0.64,7,SS
40,157,46,2022-05-28,SDP,,PIT,L 2-4,CG,5,5,0,2,1,0,0,0,0,0,0,1,.222,.307,.385,.692,3,0,0,0,0,0,.500,1.74,-0.162,1.95,-0.11%,-1.18,2,3B
41,158,47,2022-05-29,SDP,,PIT,W 4-2 (10),CG(10),4,4,0,1,0,0,0,0,0,0,0,1,.223,.306,.381,.687,1,1,0,0,0,0,.333,1.06,-0.031,1.16,-0.02%,-0.61,2,3B
42,159,48,2022-05-30,SDP,@,STL,L 3-6,CG,4,3,0,1,0,0,0,0,0,0,1,2,.225,.311,.380,.691,1,0,0,0,0,0,1.000,0.95,-0.065,1.06,-0.04%,-0.39,6,SS
43,160,49,2022-05-31,SDP,@,STL,L 2-3 (10),CG(10),4,3,0,0,0,0,0,0,0,0,1,1,.221,.309,.372,.682,0,0,0,0,0,0,.000,1.75,-0.140,1.98,-0.10%,-0.61,7,SS 3B
44,161,50,2022-06-01,SDP,@,STL,L 2-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.221,.308,.369,.677,1,0,0,0,0,0,.333,0.91,-0.096,1.04,-0.07%,-0.76,6,SS
45,162,52,2022-06-03,SDP,@,MIL,W 7-0,CG,5,5,0,1,0,0,0,1,0,0,0,1,.221,.305,.364,.668,1,0,0,0,0,0,.250,0.35,-0.045,0.40,-0.03%,-0.34,7,SS
46,163,53,2022-06-04,SDP,@,MIL,W 4-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.215,.298,.354,.652,0,0,0,0,0,0,.000,0.31,-0.032,0.37,-0.02%,-0.47,6,SS
47,164,54,2022-06-05,SDP,@,MIL,W 6-4 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,2,.209,.290,.344,.633,0,0,0,0,0,0,.000,0.75,-0.092,0.90,-0.07%,-1.30,6,SS
48,165,55,2022-06-06,SDP,,NYM,L 5-11,CG,4,4,1,1,0,0,0,0,0,0,0,2,.210,.289,.341,.630,1,0,0,0,0,0,.500,0.39,-0.026,0.47,-0.02%,-0.47,6,SS
49,166,56,2022-06-07,SDP,,NYM,W 7-0,CG,4,4,0,0,0,0,0,0,0,0,0,0,.205,.283,.333,.616,0,0,0,0,0,0,.000,0.50,-0.010,0.59,-0.01%,-0.86,7,SS
50,167,57,2022-06-08,SDP,,NYM,W 13-2,CG,5,4,3,2,0,0,0,0,0,0,1,0,.211,.291,.337,.628,2,0,0,0,0,0,.500,0.34,0.030,0.40,0.02%,1.31,8,SS
51,168,58,2022-06-10,SDP,,COL,W 9-0,CG,5,4,0,3,1,0,0,1,0,0,1,1,.223,.303,.352,.655,4,0,0,0,0,0,1.000,0.37,-0.028,0.42,-0.02%,1.10,7,SS
52,169,59,2022-06-11 (1),SDP,,COL,W 2-1 (10),CG(10),3,3,0,0,0,0,0,0,0,0,0,2,.220,.299,.346,.645,0,0,0,0,0,0,.000,0.85,-0.062,0.99,-0.04%,-0.39,9,SS
53,170,60,2022-06-11 (2),SDP,,COL,L 2-6,CG,4,2,0,0,0,0,0,0,1,0,1,1,.217,.303,.342,.645,0,0,1,0,0,0,.000,0.66,0.025,0.74,0.02%,0.00,5,SS
54,171,61,2022-06-12,SDP,,COL,L 2-4,CG,3,2,0,0,0,0,0,0,0,0,1,0,.215,.303,.339,.642,0,0,0,0,0,0,.000,1.04,0.000,1.23,0.00%,-0.07,9,SS
55,172,62,2022-06-13,SDP,@,CHC,W 4-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,.216,.302,.337,.639,1,1,0,0,0,0,.250,1.15,-0.056,1.33,-0.04%,-1.28,7,SS
56,173,63,2022-06-14,SDP,@,CHC,W 12-5,CG,5,4,1,2,1,0,0,2,0,0,0,0,.222,.305,.345,.650,3,0,0,0,1,0,.400,0.82,0.070,0.94,0.05%,0.76,8,SS
