Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,636,1,2024-03-29,NYM,,MIL,L 1-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.16,-0.087,1.09,-0.05%,-0.53,0.00,0.00,9,CF
2,637,2,2024-03-30,NYM,,MIL,L 6-7,CG,4,4,0,1,0,0,0,0,0,0,0,1,.143,.143,.143,.286,1,0,0,0,0,0,.333,1.10,-0.106,0.99,-0.06%,-0.96,3.00,3.00,9,CF
3,638,4,2024-04-01,NYM,,DET,L 0-5 (10),GS-9,3,3,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,1,0,0,0,0,0,1.000,1.24,-0.039,0.95,-0.02%,-0.25,3.00,3.00,8,CF
4,639,5,2024-04-04 (1),NYM,,DET,L 3-6 (11),8-GF(11),2,2,0,0,0,0,0,0,0,0,0,1,.167,.167,.167,.333,0,0,0,0,0,0,.000,1.38,-0.068,1.03,-0.03%,-0.53,0.00,0.00,9,PH DH
5,640,6,2024-04-04 (2),NYM,,DET,W 2-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,1,0,0,0,0,0,.333,1.45,0.049,1.01,0.02%,0.00,3.00,3.00,8,CF
6,641,7,2024-04-05,NYM,@,CIN,W 3-2,CG,4,3,1,1,0,0,0,0,1,0,1,2,.222,.263,.222,.485,1,0,0,0,0,0,1.000,1.12,0.105,0.88,0.05%,0.59,12.00,15.20,8,CF
7,642,8,2024-04-06,NYM,@,CIN,L 6-9,CG,4,4,0,1,0,0,0,0,0,0,0,2,.227,.261,.227,.488,1,0,0,0,0,0,.500,1.29,-0.113,1.07,-0.06%,-1.19,3.00,3.00,8,CF
8,643,9,2024-04-07,NYM,@,CIN,W 3-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.192,.222,.192,.415,0,0,0,0,0,0,.000,0.94,-0.109,0.75,-0.05%,-1.60,0.00,0.00,9,CF
9,644,11,2024-04-09,NYM,@,ATL,L 5-6,CG,4,4,1,2,0,0,0,0,0,0,0,0,.233,.258,.233,.491,2,0,0,0,0,0,.500,0.60,-0.004,0.60,0.00%,-0.33,8.00,9.20,8,CF
10,645,12,2024-04-11,NYM,@,ATL,W 16-4,CG,5,5,3,2,0,0,0,0,0,0,0,0,.257,.278,.257,.535,2,0,0,0,0,0,.400,0.28,-0.033,0.26,-0.02%,0.42,12.00,15.60,9,CF
11,646,13,2024-04-12,NYM,,KCR,W 6-1,CG,4,4,1,2,0,0,0,0,1,0,0,1,.282,.300,.282,.582,2,0,0,0,0,0,.667,0.53,-0.003,0.44,0.00%,0.02,13.00,15.20,9,CF
12,647,15,2024-04-14,NYM,,KCR,W 2-1,CG,4,4,0,2,0,0,0,1,0,0,0,0,.302,.318,.302,.621,2,0,0,0,0,0,.500,2.30,0.210,1.87,0.10%,0.77,8.00,9.50,9,CF
13,648,16,2024-04-15,NYM,,PIT,W 6-3,CG,4,3,1,1,1,0,0,2,1,0,0,0,.304,.333,.326,.659,2,1,1,0,0,0,.333,1.88,0.077,1.72,0.04%,0.73,18.00,25.20,9,CF
14,649,17,2024-04-16,NYM,,PIT,W 3-1,CG,3,2,0,0,0,0,0,0,0,0,1,1,.292,.333,.313,.646,0,0,0,0,0,1,.000,1.05,-0.062,1.00,-0.04%,-0.34,2.00,3.00,8,CF
15,650,18,2024-04-17,NYM,,PIT,W 9-1,CG,4,4,1,1,0,0,1,2,0,0,0,2,.288,.327,.365,.693,4,0,0,0,0,0,.000,0.67,-0.003,0.66,0.00%,0.49,16.00,22.20,8,CF
