Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,35,38,2024-05-08,SFG,@,COL,W 8-6,CG,4,4,1,1,0,0,0,1,0,0,0,2,.250,.250,.250,.500,1,0,0,0,0,0,.500,0.54,0.084,0.38,0.04%,0.47,7.00,9.70,7,DH
2,36,39,2024-05-09,SFG,@,COL,L 1-9,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,.400,0,0,0,0,0,0,.000,0.12,-0.003,0.08,0.00%,-0.63,0.00,0.00,5,PH RF
3,37,40,2024-05-10,SFG,,CIN,L 2-4,CG,4,4,1,2,1,0,0,0,0,0,0,2,.333,.333,.444,.778,3,0,0,0,0,0,1.000,1.25,0.043,0.83,0.02%,0.62,10.00,12.20,6,RF
4,38,41,2024-05-11,SFG,,CIN,W 5-1,CG,4,3,1,0,0,0,0,0,0,0,1,2,.250,.308,.333,.641,0,0,0,0,0,0,.000,0.62,0.009,0.38,0.00%,-0.47,4.00,6.20,5,RF LF
5,39,42,2024-05-12,SFG,,CIN,W 6-5 (10),CG(10),5,5,1,2,0,0,0,1,0,0,0,1,.294,.333,.353,.686,2,0,0,0,0,0,.500,1.71,0.006,1.09,0.00%,0.28,10.00,12.70,6,LF
6,40,43,2024-05-13,SFG,,LAD,L 4-6 (10),CG(10),4,4,0,2,0,0,0,1,1,0,0,1,.333,.364,.381,.745,2,0,0,0,0,0,.667,1.72,0.227,1.37,0.11%,0.84,13.00,15.50,6,LF
7,41,44,2024-05-14,SFG,,LAD,L 2-10,CG,4,4,0,1,0,0,0,1,0,0,0,1,.320,.346,.360,.706,1,0,0,0,0,0,.333,0.45,-0.007,0.34,0.00%,0.20,5.00,6.50,6,LF
8,42,45,2024-05-15,SFG,,LAD,W 4-1,CG,4,4,0,1,1,0,0,1,0,0,0,2,.310,.333,.379,.713,2,0,0,0,0,0,.500,0.57,0.028,0.38,0.01%,0.30,7.00,9.50,5,LF
9,43,46,2024-05-17,SFG,,COL,W 10-5,CG,5,3,0,0,0,0,0,0,0,0,2,1,.281,.343,.344,.687,0,0,0,0,0,0,.000,1.02,-0.075,0.65,-0.03%,-0.85,4.00,6.00,6,LF
10,44,47,2024-05-18,SFG,,COL,W 14-4,CG,5,5,1,2,1,0,0,2,0,0,0,1,.297,.350,.378,.728,3,0,0,0,0,0,.500,0.33,-0.025,0.24,-0.01%,1.23,14.00,19.20,6,LF
11,45,48,2024-05-19,SFG,,COL,W 4-1,CG,4,4,1,1,0,0,1,1,0,0,0,0,.293,.341,.439,.780,4,0,0,0,0,0,.000,1.32,-0.035,0.98,-0.02%,0.07,14.00,18.70,7,LF
12,46,49,2024-05-21,SFG,@,PIT,L 6-7 (10),CG(10),5,4,0,1,0,0,0,0,0,0,1,0,.289,.347,.422,.769,1,0,0,0,0,0,.250,0.65,-0.035,0.54,-0.02%,-0.19,5.00,6.00,6,LF
