Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,130,2023-08-27,COL,@,BAL,W 4-3,CG,4,4,1,2,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,2,0,0,0,0,0,.667,1.37,0.261,0.00,0.00%,1.29,6,1B
2,2,131,2023-08-28,COL,,ATL,L 4-14,CG,4,4,0,2,1,0,0,1,0,0,0,2,.500,.500,.625,1.125,3,0,0,0,0,0,1.000,0.77,0.120,0.00,0.00%,0.92,6,1B
3,3,132,2023-08-29,COL,,ATL,L 1-3,CG,4,3,1,1,0,1,0,0,0,0,1,1,.455,.500,.727,1.227,3,0,0,0,0,0,.500,0.92,0.036,0.00,0.00%,0.52,6,1B
4,4,133,2023-08-30,COL,,ATL,L 3-7,CG,4,3,0,0,0,0,0,1,0,0,0,1,.357,.375,.571,.946,0,0,0,0,1,0,.000,1.11,-0.146,0.00,0.00%,-1.59,6,1B
5,5,134,2023-09-01,COL,,TOR,L 9-13,CG,4,4,0,1,0,0,0,0,0,0,0,2,.333,.350,.500,.850,1,0,0,0,0,0,.500,1.07,-0.065,0.00,0.00%,-0.48,6,DH
6,6,136,2023-09-03,COL,,TOR,L 5-7,GS-8,4,3,0,2,2,0,0,3,1,0,1,0,.381,.417,.619,1.036,4,0,0,0,0,0,.667,1.78,0.306,0.00,0.00%,2.78,7,RF
7,7,137,2023-09-04,COL,@,ARI,L 2-4,CG,3,3,0,1,0,0,0,1,0,0,0,1,.375,.407,.583,.991,1,1,0,0,0,0,.500,1.12,-0.082,0.00,0.00%,-0.43,8,RF
8,8,138,2023-09-05,COL,@,ARI,W 3-2,GS-9,4,4,0,0,0,0,0,0,0,0,0,0,.321,.355,.500,.855,0,0,0,0,0,0,.000,1.27,-0.131,0.00,0.00%,-1.46,8,RF
9,9,139,2023-09-06,COL,@,ARI,L 5-12,CG,4,3,0,1,0,0,0,1,0,0,1,0,.323,.371,.484,.855,1,0,0,0,0,0,.333,0.54,0.050,0.00,0.00%,0.64,7,1B
10,10,140,2023-09-08,COL,@,SFG,L 8-9,CG,4,4,1,1,0,1,0,2,0,0,0,2,.314,.359,.514,.873,3,0,0,0,0,0,.500,0.93,0.127,0.00,0.00%,1.19,7,RF
11,11,141,2023-09-09,COL,@,SFG,L 1-9,CG,3,3,0,0,0,0,0,0,0,0,0,1,.289,.333,.474,.807,0,0,0,0,0,0,.000,0.46,-0.033,0.00,0.00%,-0.54,7,RF
12,12,142,2023-09-10,COL,@,SFG,L 3-6,CG,4,4,1,1,0,1,0,2,0,0,0,0,.286,.326,.500,.826,3,0,0,0,0,0,.250,1.02,0.123,0.00,0.00%,1.17,6,DH
13,13,143,2023-09-11,COL,,CHC,L 4-5,7-8,1,1,1,1,1,0,0,1,0,0,0,0,.302,.340,.535,.875,2,0,0,0,0,0,1.000,2.90,0.173,0.00,0.00%,1.18,8,PH
14,14,144,2023-09-12,COL,,CHC,W 6-4,7-8,1,1,0,0,0,0,0,0,0,0,0,1,.295,.333,.523,.856,0,0,0,0,0,0,,1.60,-0.060,0.00,0.00%,-0.72,8,PH
15,15,145,2023-09-13,COL,,CHC,W 7-3,GS-9,5,5,0,0,0,0,0,0,0,0,0,2,.265,.302,.469,.771,0,1,0,0,0,0,.000,0.80,-0.159,0.00,0.00%,-2.45,2,RF
16,16,147,2023-09-16 (1),COL,,SFG,W 9-5,CG,4,3,0,0,0,0,0,1,0,0,1,1,.250,.298,.442,.741,0,0,0,0,0,0,.000,1.01,0.059,0.00,0.00%,0.49,6,RF
17,17,149,2023-09-17,COL,,SFG,L 10-11,CG,5,4,1,1,0,0,1,3,0,0,0,0,.250,.290,.482,.772,4,0,0,0,1,0,.000,0.84,-0.095,0.00,0.00%,0.33,5,RF
18,18,151,2023-09-19,COL,@,SDP,L 0-2,CG,3,3,0,0,0,0,0,0,0,0,0,3,.237,.277,.458,.735,0,0,0,0,0,0,,1.69,-0.130,0.00,0.00%,-0.98,7,RF
19,19,152,2023-09-20,COL,@,SDP,L 2-3,5-GF,1,1,0,0,0,0,0,0,0,0,0,0,.233,.273,.450,.723,0,0,0,0,0,0,.000,2.19,-0.065,0.00,0.00%,-0.61,4,1B
20,20,154,2023-09-23,COL,@,CHC,L 3-6,CG,4,3,0,0,0,0,0,0,0,0,1,0,.222,.271,.429,.700,0,0,0,0,0,0,.000,1.66,-0.066,0.00,0.00%,-0.65,8,1B
21,21,155,2023-09-24,COL,@,CHC,L 3-4,GS-9,3,3,0,0,0,0,0,0,0,0,0,2,.212,.260,.409,.669,0,0,0,0,0,0,.000,1.20,-0.090,0.00,0.00%,-0.71,6,RF
22,22,157,2023-09-26 (2),COL,,LAD,L 2-11,CG,3,3,0,0,0,0,0,0,0,0,0,3,.203,.250,.391,.641,0,0,0,0,0,0,,0.33,-0.027,0.00,0.00%,-0.73,8,DH
23,23,161,2023-09-30,COL,,MIN,L 6-14,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.200,.247,.386,.632,0,0,0,0,0,0,,0.05,-0.001,0.00,0.00%,-0.39,4,1B
,,,,,,,5-18,,77,70,6,14,4,3,1,17,1,0,5,24,.200,.247,.386,.632,27,2,0,0,2,0,.277,1.09,0.105,0.00,0.00%,-1.23,,
