Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,702,1,2023-03-30,LAA,@,OAK,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.70,-0.167,1.72,-0.10%,-1.08,5,RF
2,703,2,2023-04-01,LAA,@,OAK,W 13-1,CG,5,4,1,0,0,0,0,0,0,0,1,1,.000,.111,.000,.111,0,0,0,0,0,0,.000,0.29,0.007,0.27,0.00%,0.08,5,RF
3,704,3,2023-04-02,LAA,@,OAK,W 6-0,CG,5,5,1,1,0,0,0,0,0,0,0,0,.077,.143,.077,.220,1,0,0,0,0,0,.200,0.65,0.075,0.64,0.04%,0.01,4,RF
4,705,4,2023-04-03,LAA,@,SEA,W 7-3,CG,5,4,1,1,0,0,0,0,0,0,1,0,.118,.211,.118,.328,1,0,0,0,0,0,.250,0.73,-0.042,0.78,-0.03%,0.06,4,RF
5,706,5,2023-04-04,LAA,@,SEA,L 2-11,CG,4,4,0,2,0,0,0,1,0,0,0,0,.190,.261,.190,.451,2,0,0,0,0,0,.500,0.56,-0.052,0.58,-0.03%,0.76,4,RF
6,707,6,2023-04-05,LAA,@,SEA,W 4-3,CG,4,3,0,0,0,0,0,0,0,0,1,2,.167,.259,.167,.426,0,0,0,0,0,0,.000,1.10,-0.096,1.18,-0.06%,-0.81,4,RF
7,708,7,2023-04-07,LAA,,TOR,L 3-4,CG,4,3,0,0,0,0,0,0,0,0,1,0,.148,.258,.148,.406,0,0,0,0,0,0,.000,1.18,-0.110,1.23,-0.07%,-0.36,4,RF
8,709,8,2023-04-08,LAA,,TOR,W 9-5,CG,4,4,1,2,1,0,1,3,0,0,0,1,.194,.286,.323,.608,6,0,0,0,0,0,.500,0.94,0.087,0.97,0.05%,1.87,5,RF
9,710,9,2023-04-09,LAA,,TOR,L 11-12 (10),CG(10),5,5,1,3,1,0,1,4,0,0,0,0,.250,.325,.472,.797,7,0,0,0,0,0,.500,1.69,0.614,1.78,0.39%,3.62,5,RF
10,711,10,2023-04-10,LAA,,WSN,L 4-6,CG,4,3,2,2,0,0,1,1,0,0,1,1,.282,.364,.564,.928,5,0,0,0,0,0,1.000,0.92,0.132,0.89,0.08%,1.24,4,RF
11,712,11,2023-04-11,LAA,,WSN,W 2-0,CG,4,2,0,0,0,0,0,0,0,0,2,0,.268,.375,.537,.912,0,1,0,0,0,0,.000,0.99,-0.110,0.93,-0.06%,-0.87,5,RF
