Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,842,1,2024-03-28,KCR,,MIN,L 1-4,CG,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.92,-0.082,0.94,-0.05%,-0.65,0.00,0.00,6,RF
2,843,2,2024-03-30,KCR,,MIN,L 1-5,CG,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.92,-0.095,0.87,-0.05%,-1.08,0.00,0.00,6,RF
3,844,4,2024-04-01,KCR,@,BAL,L 4-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.77,-0.198,1.56,-0.11%,-1.31,0.00,0.00,6,RF
4,845,5,2024-04-02,KCR,@,BAL,W 4-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.45,-0.046,0.39,-0.02%,-0.74,0.00,0.00,6,RF
5,846,6,2024-04-03,KCR,@,BAL,L 3-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.053,.053,.053,.105,1,0,0,0,0,0,.333,0.88,-0.062,0.81,-0.03%,-0.83,3.00,3.00,6,RF
6,847,7,2024-04-04,KCR,,CHW,W 10-1,CG,4,3,1,1,0,0,0,0,0,0,1,0,.091,.130,.091,.221,1,0,0,0,0,0,.333,0.58,0.051,0.47,0.02%,0.44,7.00,9.20,7,RF
7,848,8,2024-04-05,KCR,,CHW,W 2-1,CG,4,4,0,1,0,0,0,0,0,0,0,3,.115,.148,.115,.264,1,0,0,0,0,0,1.000,1.39,-0.123,1.20,-0.06%,-1.17,3.00,3.00,8,RF
8,849,10,2024-04-07,KCR,,CHW,W 5-3,CG,3,3,1,1,0,0,1,2,0,0,0,1,.138,.167,.241,.408,4,0,0,0,0,0,.000,1.05,0.129,1.02,0.08%,1.11,16.00,22.20,7,RF
9,850,11,2024-04-09,KCR,,HOU,W 4-3 (10),CG(10),4,3,1,1,0,0,0,0,0,0,1,0,.156,.206,.250,.456,1,0,0,0,0,0,.333,2.54,-0.090,2.59,-0.06%,-0.61,7.00,9.20,8,RF
10,851,12,2024-04-10,KCR,,HOU,W 11-2,CG,4,3,1,1,1,0,0,2,0,0,1,0,.171,.237,.286,.523,2,0,0,0,0,0,.333,0.32,-0.003,0.34,0.00%,1.13,13.00,19.20,8,RF
11,852,14,2024-04-12,KCR,@,NYM,L 1-6,CG,3,3,0,0,0,0,0,0,0,0,0,2,.158,.220,.263,.483,0,0,0,0,0,0,.000,1.37,-0.075,1.42,-0.05%,-0.81,0.00,0.00,8,RF
12,853,15,2024-04-13,KCR,@,NYM,W 11-7,CG,5,4,1,2,1,0,0,2,0,0,1,0,.190,.261,.310,.570,3,0,0,0,0,0,.500,0.48,0.026,0.49,0.02%,1.57,16.00,22.20,8,RF
13,854,16,2024-04-14,KCR,@,NYM,L 1-2,CG,3,3,0,0,0,0,0,0,0,0,0,3,.178,.245,.289,.534,0,0,0,0,0,0,,1.23,-0.092,1.33,-0.06%,-0.68,0.00,0.00,8,RF
14,855,17,2024-04-15,KCR,@,CHW,W 2-0,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.178,.245,.289,.534,0,,0,0,,,,,,,,,0.00,0.00,4,RF
15,856,18,2024-04-17 (1),KCR,@,CHW,W 4-2,CG,4,3,1,1,0,0,1,1,0,0,1,0,.188,.264,.354,.618,4,0,0,0,0,0,.000,0.81,0.087,0.87,0.06%,0.88,16.00,21.70,8,RF
16,857,19,2024-04-17 (2),KCR,@,CHW,L 1-2,CG,3,3,0,0,0,0,0,1,0,0,0,0,.176,.250,.333,.583,0,0,0,0,0,0,.000,1.06,-0.033,1.14,-0.02%,-0.08,2.00,3.50,8,RF
17,858,20,2024-04-19,KCR,,BAL,W 9-4,CG,4,4,0,1,1,0,0,2,0,0,0,1,.182,.250,.345,.595,2,0,0,0,0,0,.333,0.57,-0.018,0.65,-0.01%,1.06,9.00,13.00,8,RF
18,859,21,2024-04-20,KCR,,BAL,L 7-9,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,.175,.242,.333,.575,0,0,0,0,0,0,.000,0.18,-0.009,0.21,-0.01%,-0.34,0.00,0.00,8,RF
19,860,22,2024-04-21,KCR,,BAL,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,.164,.227,.311,.539,0,0,0,0,0,0,.000,0.67,-0.073,0.76,-0.05%,-0.94,0.00,0.00,6,RF
20,861,23,2024-04-22,KCR,,TOR,L 3-5,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,.159,.221,.302,.522,0,0,0,0,0,0,.000,0.95,-0.047,1.05,-0.03%,-0.46,0.00,0.00,6,RF
21,862,25,2024-04-24,KCR,,TOR,W 3-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.149,.208,.284,.492,0,0,0,0,0,0,.000,0.72,-0.044,0.77,-0.03%,-0.68,0.00,0.00,8,RF
22,863,27,2024-04-26,KCR,@,DET,W 8-0,9-GF,1,1,1,1,0,0,0,0,0,0,0,0,.162,.219,.294,.513,1,0,0,0,0,0,1.000,0.98,0.034,1.19,0.03%,0.61,5.00,6.20,5,PH RF
