Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,119,1,2020-07-24,ARI,@,SDP,L 2-7,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0.14,-0.004,0.16,0.00%,-0.24,8,PH 1B
2,120,3,2020-07-26,ARI,@,SDP,W 4-3,7-GF,2,2,1,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,1,0,0,0,0,0,1.000,2.31,-0.005,2.68,0.00%,-0.10,7,PH 1B
3,121,4,2020-07-27,ARI,@,SDP,L 2-6,CG,4,4,0,1,0,0,0,0,0,0,0,1,.286,.286,.286,.571,1,0,0,0,0,0,.333,1.00,-0.066,1.22,-0.05%,-0.70,2,1B
4,122,7,2020-07-30,ARI,,LAD,L 3-6,6-GF,2,2,0,0,0,0,0,0,0,0,0,0,.222,.222,.222,.444,0,0,0,0,0,0,.000,1.02,-0.056,1.19,-0.04%,-0.63,6,PH 2B
5,123,8,2020-07-31,ARI,,LAD,W 5-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.154,.154,.154,.308,0,0,0,0,0,0,.000,1.34,-0.140,1.48,-0.09%,-1.63,9,2B 1B
6,124,9,2020-08-01,ARI,,LAD,L 2-11,CG,4,3,1,0,0,0,0,0,0,0,1,0,.125,.176,.125,.301,0,1,0,0,0,0,.000,0.44,-0.013,0.51,-0.01%,-0.58,2,1B
7,125,10,2020-08-02,ARI,,LAD,L 0-3,CG,3,3,0,1,0,0,0,0,0,0,0,1,.158,.200,.158,.358,1,0,0,0,0,0,.500,0.77,-0.034,0.84,-0.02%,-0.30,8,3B
8,126,11,2020-08-04,ARI,,HOU,L 2-8,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.150,.190,.150,.340,0,0,0,0,0,0,.000,0.99,-0.021,0.93,-0.01%,-0.82,7,2B
,,,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins,Player went from Arizona Diamondbacks to Minnesota Twins
9,127,22,2020-08-16,MIN,,KCR,W 4-2,7-GF,0,0,1,0,0,0,0,0,0,0,0,0,.150,.190,.150,.340,0,,0,0,,,,,0.000,,0.00%,0.00,9,PR 3B
