Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,169,1,2023-03-30,TBR,,DET,W 4-0,CG,4,4,1,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,.250,0.68,-0.008,0.64,-0.01%,-0.25,3,3B 1B
2,170,2,2023-04-01,TBR,,DET,W 12-2,4-GF,2,2,0,0,0,0,0,0,0,0,0,2,.167,.167,.167,.333,0,0,0,0,0,0,,0.01,0.000,0.01,0.00%,-0.40,2,PH 3B
3,171,3,2023-04-02,TBR,,DET,W 5-1,GS-6,3,3,0,1,0,0,0,1,0,0,0,0,.222,.222,.222,.444,1,0,0,0,0,0,.333,1.15,0.026,1.18,0.02%,0.25,3,3B
4,172,4,2023-04-03,TBR,@,WSN,W 6-2,CG,4,4,2,2,0,0,1,1,0,0,0,1,.308,.308,.538,.846,5,0,0,0,0,0,.500,0.36,0.043,0.37,0.03%,0.99,6,3B 1B
5,173,5,2023-04-04,TBR,@,WSN,W 10-6,9-9,1,0,0,0,0,0,0,0,0,0,1,0,.308,.357,.538,.896,0,0,0,0,0,0,,0.66,0.024,0.66,0.01%,0.39,7,PH
6,174,6,2023-04-05,TBR,@,WSN,W 7-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.235,.278,.412,.690,0,0,0,0,0,0,.000,0.62,-0.062,0.66,-0.04%,-1.06,3,3B
7,175,7,2023-04-07,TBR,,OAK,W 9-5,CG,5,5,1,3,0,0,1,4,0,0,0,0,.318,.348,.591,.939,6,0,0,0,0,0,.500,0.62,0.246,0.70,0.17%,3.32,3,3B
8,176,8,2023-04-08,TBR,,OAK,W 11-0,CG,4,3,0,1,0,0,0,3,0,0,0,1,.320,.370,.560,.930,1,0,1,0,0,0,.500,0.88,0.214,1.00,0.15%,2.28,6,3B
9,177,9,2023-04-09,TBR,,OAK,W 11-0,CG,5,3,2,0,0,0,0,0,0,0,1,0,.286,.375,.500,.875,0,0,1,0,0,0,.000,0.51,-0.004,0.58,0.00%,-0.61,5,3B
10,178,10,2023-04-10,TBR,,BOS,W 1-0,GS-7,3,3,0,1,0,0,0,0,0,0,0,1,.290,.371,.484,.855,1,0,0,0,0,0,.500,0.98,-0.009,1.21,-0.01%,-0.20,7,3B
11,179,11,2023-04-11,TBR,,BOS,W 7-2,CG,4,4,1,2,0,0,1,1,0,0,0,1,.314,.385,.571,.956,5,0,0,0,0,0,.500,0.29,0.065,0.37,0.05%,0.65,6,3B
12,180,12,2023-04-12,TBR,,BOS,W 9-7,CG,5,4,1,1,0,0,0,0,0,0,1,2,.308,.386,.538,.925,1,0,0,0,0,0,.500,0.57,-0.002,0.69,0.00%,-0.25,3,1B
13,181,14,2023-04-14,TBR,@,TOR,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.279,.354,.488,.843,0,0,0,0,0,0,.000,0.69,-0.077,0.86,-0.06%,-1.02,6,3B
14,182,15,2023-04-15,TBR,@,TOR,L 2-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,.255,.327,.447,.774,0,0,0,0,0,0,.000,1.37,-0.135,1.81,-0.11%,-1.47,3,3B
15,183,17,2023-04-17,TBR,@,CIN,L 1-8,CG,4,4,0,1,0,0,0,0,0,0,0,1,.255,.321,.431,.753,1,0,0,0,0,0,.333,0.91,0.030,1.01,0.02%,0.13,6,3B
16,184,18,2023-04-18,TBR,@,CIN,W 10-0,CG,5,4,0,0,0,0,0,0,0,0,0,2,.236,.311,.400,.711,0,0,1,0,0,0,.000,0.21,-0.006,0.24,0.00%,-1.29,3,3B
17,185,19,2023-04-19,TBR,@,CIN,W 8-0,CG,5,5,1,1,1,0,0,1,0,0,0,1,.233,.303,.400,.703,2,0,0,0,0,0,.250,0.42,0.079,0.45,0.05%,-0.64,5,3B
18,186,20,2023-04-21,TBR,,CHW,W 8-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,.219,.286,.375,.661,0,0,0,0,0,0,.000,1.33,-0.132,1.52,-0.09%,-1.07,7,3B
19,187,21,2023-04-22,TBR,,CHW,W 4-3 (10),8-GF(10),1,1,0,0,0,0,0,0,0,0,0,0,.215,.282,.369,.651,0,0,0,0,0,0,.000,2.57,-0.112,2.93,-0.08%,-0.45,1,1B
20,188,22,2023-04-23,TBR,,CHW,W 4-1,CG,3,2,1,0,0,0,0,0,0,0,0,0,.209,.284,.358,.642,0,0,1,0,0,0,.000,0.43,0.027,0.48,0.02%,0.12,6,3B
