Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,12,88,2023-07-07,STL,@,CHW,L 7-8,CG,5,5,1,2,1,0,0,2,0,0,0,1,.400,.400,.600,1.000,3,0,0,0,0,0,.500,1.98,-0.060,0.13,0.00%,0.89,8,C
2,13,89,2023-07-08,STL,@,CHW,W 3-0,CG,4,4,1,1,0,0,0,0,0,0,0,3,.333,.333,.444,.778,1,0,0,0,0,0,1.000,0.93,0.015,0.05,0.00%,-0.17,8,C
3,14,92,2023-07-15,STL,,WSN,W 9-6,CG,4,3,1,3,0,0,0,0,0,0,0,0,.500,.538,.583,1.122,3,0,1,0,0,0,1.000,0.53,0.065,0.04,0.00%,1.14,9,C
4,15,94,2023-07-17,STL,,MIA,W 6-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.375,.412,.438,.849,0,0,0,0,0,0,.000,1.21,-0.118,0.12,-0.01%,-1.22,7,C
5,16,96,2023-07-19,STL,,MIA,W 6-4,CG,4,2,0,1,0,0,0,0,0,0,2,1,.389,.476,.444,.921,1,0,0,0,0,0,1.000,0.33,0.008,0.04,0.00%,0.41,6,C
6,17,98,2023-07-21,STL,@,CHC,L 3-4,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.389,.476,.444,.921,0,,0,0,,,,,,,,,9,C
7,18,99,2023-07-22,STL,@,CHC,L 6-8,6-9,1,1,0,0,0,0,0,0,0,0,0,1,.368,.455,.421,.876,0,0,0,0,0,0,,1.35,-0.035,0.25,0.00%,-0.24,5,C
8,19,100,2023-07-23,STL,@,CHC,L 2-7,CG,4,4,0,1,0,0,0,0,0,0,0,2,.348,.423,.391,.814,1,0,0,0,0,0,.500,0.33,-0.029,0.05,0.00%,-0.86,6,C
9,20,152,2023-09-20,STL,,MIL,L 2-8,7-GF,1,0,0,0,0,0,0,0,0,0,0,0,.348,.444,.391,.836,0,0,1,0,0,0,,0.78,0.028,0.00,0.00%,0.21,4,C
10,21,154,2023-09-22,STL,@,SDP,L 2-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.308,.419,.346,.766,0,0,0,0,0,0,.000,2.49,-0.148,0.00,0.00%,-1.08,6,C
11,22,156,2023-09-24,STL,@,SDP,L 2-12,CG,4,4,0,0,0,0,0,0,0,0,0,0,.267,.371,.300,.671,0,0,0,0,0,0,.000,0.30,-0.033,0.00,0.00%,-1.09,7,C
12,23,158,2023-09-27,STL,@,MIL,L 2-3,CG,4,4,0,1,0,0,0,0,0,0,0,1,.265,.359,.294,.653,1,1,0,0,0,0,.333,2.39,-0.393,0.00,0.00%,-1.97,6,C
13,24,161,2023-09-30,STL,,CIN,W 15-6,CG,5,3,3,2,1,0,0,2,0,0,2,0,.297,.409,.351,.760,3,0,0,0,0,0,.667,0.20,0.064,0.00,0.00%,1.68,5,C
,,,,,,,5-8,,44,37,6,11,2,0,0,4,0,0,5,11,.297,.409,.351,.760,13,1,2,0,0,0,.423,1.07,-0.636,0.06,-0.01%,-2.28,,
