Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,25,3,2024-03-30,STL,@,LAD,W 6-5 (10),CG(10),4,3,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,0,0,0,0,1,0,.000,1.66,-0.074,1.40,-0.04%,-0.59,2.00,3.50,6,C
2,26,6,2024-04-02,STL,@,SDP,W 5-2,8-GF,1,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,0,0,0,0,1,0,.000,0.79,0.008,0.71,0.00%,-0.16,2.00,3.50,5,PH DH
3,27,7,2024-04-03,STL,@,SDP,L 2-3,CG,4,4,0,2,0,0,0,0,0,0,0,1,.286,.222,.286,.508,2,0,0,0,0,0,.667,1.42,0.050,1.32,0.03%,0.06,6.00,6.00,6,C
4,28,8,2024-04-04,STL,,MIA,W 8-5,CG,5,5,2,2,0,0,1,2,0,0,0,2,.333,.286,.583,.869,5,0,0,0,0,0,.500,1.52,0.172,1.38,0.09%,1.17,21.00,28.40,4,C
5,29,9,2024-04-06,STL,,MIA,W 3-1,CG,4,4,1,2,0,0,0,1,0,0,0,0,.375,.333,.563,.896,2,1,0,0,0,0,.500,0.82,0.068,0.77,0.04%,0.23,10.00,12.70,4,C
6,30,10,2024-04-07,STL,,MIA,L 3-10,CG,4,4,0,0,0,0,0,0,0,0,0,1,.300,.273,.450,.723,0,0,0,0,0,0,.000,0.20,-0.021,0.19,-0.01%,-1.19,0.00,0.00,4,C
7,31,11,2024-04-08,STL,,PHI,L 3-5 (10),CG(10),4,3,2,1,0,0,1,1,0,0,1,1,.304,.308,.565,.873,4,0,0,0,0,0,.000,1.20,0.143,1.12,0.08%,0.65,18.00,24.90,5,C
8,32,12,2024-04-09,STL,,PHI,W 3-0,CG,4,4,0,1,0,0,0,0,0,0,0,0,.296,.300,.519,.819,1,0,0,0,0,0,.250,0.52,-0.039,0.47,-0.02%,-0.52,3.00,3.00,6,C
9,33,13,2024-04-10,STL,,PHI,L 3-4,CG,4,4,1,1,0,0,1,1,0,0,0,0,.290,.294,.581,.875,4,0,0,0,0,0,.000,2.03,-0.086,1.79,-0.05%,0.07,14.00,18.70,5,C
10,34,16,2024-04-14,STL,@,ARI,L 0-5,CG,3,3,0,1,0,0,0,0,0,0,0,1,.294,.297,.559,.856,1,0,0,0,0,0,.500,1.47,-0.025,1.27,-0.01%,-0.28,3.00,3.00,7,C
11,35,18,2024-04-16,STL,@,OAK,W 3-2,CG,4,3,1,0,0,0,0,0,0,0,1,1,.270,.293,.514,.806,0,0,0,0,0,0,.000,1.44,0.015,1.20,0.01%,-0.11,4.00,6.20,5,DH
