Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,669,1,2024-03-28,SEA,,BOS,L 4-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.03,-0.099,0.98,-0.06%,-0.71,0.00,0.00,1,SS
2,670,2,2024-03-29,SEA,,BOS,W 1-0,CG,4,3,1,1,0,0,1,1,0,0,1,0,.143,.250,.571,.821,4,0,0,0,0,0,.000,0.76,0.164,0.71,0.09%,0.80,16.00,21.70,1,SS
3,671,3,2024-03-30,SEA,,BOS,W 4-3 (10),CG(10),5,5,1,1,0,0,0,1,0,0,0,1,.167,.231,.417,.647,1,0,0,0,0,0,.250,2.26,0.249,2.17,0.14%,0.71,7.00,9.70,1,SS
4,672,4,2024-03-31,SEA,,BOS,L 1-5,CG,4,3,0,0,0,0,0,0,0,0,0,1,.133,.235,.333,.569,0,0,1,0,0,0,.000,0.68,-0.003,0.68,0.00%,-0.15,2.00,3.00,1,SS
5,673,5,2024-04-01,SEA,,CLE,W 5-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.105,.190,.263,.454,0,0,0,0,0,0,.000,0.62,-0.096,0.58,-0.05%,-2.01,0.00,0.00,1,SS
6,674,6,2024-04-02,SEA,,CLE,L 2-5,CG,5,5,0,0,0,0,0,1,0,0,0,2,.083,.154,.208,.362,0,0,0,0,0,0,.000,0.87,-0.104,0.84,-0.06%,-0.96,2.00,3.50,1,SS
7,675,7,2024-04-03,SEA,,CLE,L 0-8,GS-8,3,2,0,1,0,0,0,0,0,0,1,0,.115,.207,.231,.438,1,0,0,0,0,0,.500,0.43,0.046,0.41,0.03%,0.28,5.00,6.00,1,SS
8,676,8,2024-04-05,SEA,@,MIL,L 5-6,CG,5,4,1,1,0,0,0,0,0,0,1,0,.133,.235,.233,.469,1,0,0,0,0,0,.250,1.59,-0.133,1.36,-0.07%,-0.14,7.00,9.20,1,SS
9,677,9,2024-04-06,SEA,@,MIL,W 5-3,CG,5,5,1,1,0,0,0,0,0,0,0,2,.143,.231,.229,.459,1,0,0,0,0,0,.333,0.69,0.015,0.55,0.01%,-0.18,5.00,6.20,1,SS
10,678,10,2024-04-07,SEA,@,MIL,L 4-12,CG,4,4,0,0,0,0,0,0,0,0,0,1,.128,.209,.205,.414,0,0,0,0,0,0,.000,0.47,-0.050,0.41,-0.03%,-0.83,0.00,0.00,1,SS
11,679,11,2024-04-08,SEA,@,TOR,L 2-5,CG,4,4,1,1,0,0,1,1,0,0,0,1,.140,.213,.279,.492,4,0,0,0,0,0,.000,0.81,-0.057,0.69,-0.03%,0.03,14.00,18.70,1,SS
12,680,12,2024-04-09,SEA,@,TOR,L 3-5,CG,4,3,0,0,0,0,0,0,0,0,1,1,.130,.216,.261,.477,0,0,0,0,0,0,.000,0.75,-0.003,0.61,0.00%,-0.30,2.00,3.00,1,SS
13,681,13,2024-04-10,SEA,@,TOR,W 6-1 (10),CG(10),5,4,1,1,0,0,0,1,0,0,1,0,.140,.232,.260,.492,1,0,0,0,0,0,.250,1.08,0.044,0.83,0.02%,0.67,9.00,12.70,1,SS
14,682,14,2024-04-12,SEA,,CHC,W 4-2,CG,4,3,1,1,0,0,0,0,0,0,1,0,.151,.250,.264,.514,1,0,0,0,0,0,.333,1.25,-0.056,0.94,-0.03%,-0.50,7.00,9.20,1,SS
15,683,15,2024-04-13,SEA,,CHC,L 1-4,CG,5,5,0,1,0,0,0,0,0,0,0,1,.155,.246,.259,.505,1,0,0,0,0,0,.250,0.87,-0.046,0.69,-0.02%,-0.53,3.00,3.00,1,SS
16,684,16,2024-04-14,SEA,,CHC,L 2-3,CG,4,3,1,1,0,0,0,0,0,0,1,0,.164,.261,.262,.523,1,0,0,0,0,0,.333,1.65,0.122,1.31,0.06%,0.42,7.00,9.20,1,SS
17,685,17,2024-04-15,SEA,,CIN,W 9-3,CG,5,4,1,0,0,0,0,0,0,0,1,3,.154,.257,.246,.503,0,0,0,0,0,0,.000,0.35,0.014,0.25,0.01%,-0.69,4.00,6.20,1,SS
18,686,18,2024-04-16,SEA,,CIN,W 3-1,CG,5,5,1,2,0,0,0,0,0,0,0,1,.171,.266,.257,.523,2,0,0,0,0,0,.500,0.78,-0.012,0.60,-0.01%,-0.31,8.00,9.20,1,SS
19,687,20,2024-04-20,SEA,@,COL,W 7-0,CG,5,5,0,2,0,0,0,0,0,0,0,0,.187,.274,.267,.540,2,0,0,0,0,0,.400,0.66,-0.050,0.55,-0.03%,-0.59,6.00,6.00,1,SS
20,688,21,2024-04-21 (1),SEA,@,COL,L 1-2 (10),CG(10),5,3,0,1,0,0,0,1,0,0,2,0,.192,.292,.269,.561,1,0,0,0,0,0,.333,1.91,0.202,1.85,0.12%,0.66,9.00,12.50,1,SS
21,689,22,2024-04-21 (2),SEA,@,COL,W 10-2,CG,5,5,2,1,0,1,0,3,0,0,0,2,.193,.287,.289,.576,3,0,0,0,0,0,.333,0.88,0.178,0.80,0.10%,1.97,18.00,25.90,1,SS
22,690,23,2024-04-23,SEA,@,TEX,W 4-0,CG,4,3,1,1,1,0,0,0,0,0,1,0,.198,.296,.302,.598,2,0,0,0,0,0,.333,0.57,0.075,0.61,0.05%,1.36,9.00,12.20,1,SS
23,691,48,2024-05-20,SEA,@,NYY,W 5-4,8-GF,2,2,0,0,0,0,0,0,0,0,0,1,.193,.290,.295,.585,0,0,0,0,0,0,.000,0.88,-0.045,0.94,-0.03%,-0.54,0.00,0.00,9,PH SS
24,692,49,2024-05-21,SEA,@,NYY,W 6-3,CG,5,5,0,1,0,0,0,0,0,0,0,2,.194,.286,.290,.576,1,0,0,0,0,0,.333,0.49,-0.031,0.56,-0.02%,-0.78,3.00,3.00,1,SS
