Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,107,1,2023-03-30,PIT,@,CIN,W 5-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.78,-0.082,0.80,-0.05%,-0.74,7,CF RF
2,108,4,2023-04-03,PIT,@,BOS,W 7-6,CG,4,3,0,1,0,0,0,1,0,0,1,0,.143,.250,.143,.393,1,0,0,0,0,0,.333,0.93,0.053,0.82,0.03%,0.38,7,RF
3,109,6,2023-04-05,PIT,@,BOS,W 4-1,CG,4,2,0,0,0,0,0,0,0,0,2,0,.111,.333,.111,.444,0,0,0,0,0,0,.000,1.29,-0.036,1.24,-0.02%,0.08,6,CF RF
4,110,7,2023-04-07,PIT,,CHW,W 13-9,CG,5,5,0,0,0,0,0,0,0,0,0,4,.071,.235,.071,.307,0,0,0,0,0,0,.000,0.77,-0.139,0.77,-0.08%,-2.08,6,CF RF
5,111,9,2023-04-09,PIT,,CHW,W 1-0,CG,3,1,0,0,0,0,0,1,0,0,1,0,.067,.250,.067,.317,0,0,0,0,1,0,.000,0.97,0.006,0.97,0.00%,-0.02,8,CF
6,112,11,2023-04-11,PIT,,HOU,W 7-4,CG,4,4,1,1,0,0,1,2,0,0,0,1,.105,.250,.263,.513,4,0,0,0,0,0,.000,1.36,0.076,1.34,0.05%,1.00,8,CF
7,113,12,2023-04-12,PIT,,HOU,L 0-7,CG,4,4,0,1,0,0,0,0,0,0,0,2,.130,.250,.261,.511,1,0,0,0,0,0,.500,0.50,0.031,0.50,0.02%,-0.21,7,CF
8,114,14,2023-04-14,PIT,@,STL,L 0-3,CG,4,4,0,1,0,0,0,0,0,0,0,1,.148,.250,.259,.509,1,0,0,0,0,0,.333,1.01,-0.043,1.18,-0.03%,-0.14,5,CF
9,115,16,2023-04-16,PIT,@,STL,L 4-5 (10),GS-7,3,3,1,2,1,0,0,0,0,0,0,1,.200,.286,.333,.619,3,0,0,0,0,0,1.000,0.88,0.036,1.01,0.03%,0.38,6,CF
10,116,17,2023-04-17,PIT,@,COL,W 14-3,7-GF,1,1,1,1,0,0,1,1,0,0,0,0,.226,.306,.452,.757,4,0,0,0,0,0,,0.00,0.000,0.00,0.00%,1.00,2,LF
11,117,18,2023-04-18,PIT,@,COL,W 5-3,CG,4,3,2,2,0,0,2,3,0,0,1,0,.265,.350,.647,.997,8,0,0,0,0,0,.000,0.96,0.203,1.04,0.13%,2.16,5,CF RF
12,118,19,2023-04-19,PIT,@,COL,W 14-3,CG,5,2,0,0,0,0,0,1,0,0,2,0,.250,.356,.611,.967,0,0,0,0,1,0,.000,0.22,0.022,0.24,0.01%,0.08,8,CF LF
13,119,20,2023-04-20,PIT,,CIN,W 4-3,CG,3,2,1,1,0,0,1,1,0,0,1,1,.263,.375,.684,1.059,4,0,0,0,0,0,,0.25,0.064,0.28,0.04%,1.14,6,CF RF
