Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,149,1,2025-03-27,MIL,@,NYY,L 2-4,CG,5,5,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,0,0,0,0,0,0,,1.59,-0.216,1.41,-0.12%,-1.60,0.00,0.00,1,RF LF
2,150,2,2025-03-29,MIL,@,NYY,L 9-20,CG,6,6,1,2,1,0,0,1,0,0,0,0,.182,.182,.273,.455,3,0,0,0,0,0,.333,0.30,0.005,0.26,0.00%,0.33,12.00,15.70,1,RF LF
3,151,3,2025-03-30,MIL,@,NYY,L 3-12,GS-8,4,4,0,1,0,0,0,0,0,0,0,2,.200,.200,.267,.467,1,0,0,0,0,0,.500,0.66,-0.035,0.52,-0.02%,-0.75,3.00,3.00,2,LF
4,152,4,2025-03-31,MIL,,KCR,L 1-11,CG,4,4,0,1,1,0,0,1,0,0,0,3,.211,.211,.316,.526,2,0,0,0,0,0,1.000,0.74,-0.072,0.58,-0.03%,0.11,7.00,9.50,1,DH
5,153,5,2025-04-01,MIL,,KCR,W 5-0,CG,4,4,0,1,0,0,0,0,0,0,0,1,.217,.217,.304,.522,1,1,0,0,0,0,.333,0.77,0.012,0.57,0.01%,-0.35,3.00,3.00,2,RF
6,154,6,2025-04-02,MIL,,KCR,W 3-2 (11),CG(11),5,5,1,3,1,0,1,2,0,0,0,1,.286,.286,.500,.786,7,0,0,0,0,0,.667,2.00,0.303,1.51,0.14%,1.32,24.00,31.20,2,LF
7,155,7,2025-04-03,MIL,,CIN,W 1-0,CG,4,4,1,1,1,0,0,0,0,0,0,0,.281,.281,.500,.781,2,1,0,0,0,0,.250,0.90,-0.015,0.79,-0.01%,-0.66,7.00,9.20,1,RF LF
8,156,8,2025-04-04,MIL,,CIN,W 3-2,CG,4,4,0,1,0,0,0,0,0,1,0,0,.278,.278,.472,.750,1,0,0,0,0,0,.250,0.63,-0.034,0.56,-0.02%,-0.29,3.00,3.00,2,LF
9,157,9,2025-04-05,MIL,,CIN,L 7-11,CG,5,5,1,1,0,0,0,0,0,0,0,2,.268,.268,.439,.707,1,0,0,0,0,0,.333,0.70,-0.058,0.66,-0.03%,-0.57,5.00,6.20,2,RF LF
10,158,10,2025-04-06,MIL,,CIN,W 8-2,CG,4,3,2,2,0,0,2,5,0,0,0,1,.295,.289,.591,.880,8,0,0,0,1,0,.000,0.72,0.063,0.66,0.03%,3.38,34.00,47.90,2,LF
11,159,11,2025-04-08,MIL,@,COL,W 7-1,CG,5,5,1,2,1,1,0,2,1,0,0,0,.306,.300,.633,.933,5,0,0,0,0,0,.400,0.69,0.156,0.65,0.09%,1.68,24.00,31.20,1,RF LF
12,160,12,2025-04-09,MIL,@,COL,W 17-2,CG,5,5,3,2,1,0,1,5,0,0,0,1,.315,.309,.685,.994,6,1,0,0,0,0,.333,0.61,0.172,0.59,0.10%,4.13,31.00,45.10,2,LF
13,161,13,2025-04-10,MIL,@,COL,L 2-7,CG,4,4,1,1,0,0,0,0,0,0,0,1,.310,.305,.655,.960,1,0,0,0,0,0,.333,1.42,-0.010,1.44,-0.01%,-0.49,5.00,6.20,2,RF
14,162,14,2025-04-11,MIL,@,ARI,W 7-0,CG,5,5,1,1,0,0,0,0,0,0,0,0,.302,.297,.619,.916,1,0,0,0,0,0,.200,0.72,0.002,0.71,0.00%,-0.68,5.00,6.20,1,RF LF
15,163,15,2025-04-12,MIL,@,ARI,L 4-5,CG,4,4,2,2,0,0,1,1,0,0,0,0,.313,.309,.657,.966,5,0,0,0,0,0,.333,0.44,0.067,0.47,0.04%,1.06,19.00,24.90,2,LF
16,164,16,2025-04-13,MIL,@,ARI,L 2-5,CG,5,5,0,0,0,0,0,0,0,0,0,2,.292,.288,.611,.899,0,0,0,0,0,0,.000,1.48,-0.184,1.53,-0.11%,-1.99,0.00,0.00,2,LF
17,165,17,2025-04-14,MIL,,DET,L 1-9,CG,4,4,0,1,0,0,0,0,0,0,0,1,.289,.286,.592,.878,1,0,0,0,0,0,.333,0.29,-0.025,0.26,-0.01%,-0.20,3.00,3.00,1,LF
18,166,18,2025-04-15,MIL,,DET,W 5-0,CG,5,4,1,0,0,0,0,0,1,0,1,0,.275,.280,.563,.843,0,0,0,0,0,0,.000,0.39,0.020,0.33,0.01%,0.02,9.00,12.20,1,LF
19,167,19,2025-04-16,MIL,,DET,W 5-1,CG,4,4,0,0,0,0,0,0,0,0,0,2,.262,.267,.536,.803,0,0,0,0,0,0,.000,0.42,-0.042,0.37,-0.02%,-0.81,0.00,0.00,2,LF
20,168,20,2025-04-18,MIL,,ATH,W 5-3,CG,4,3,1,1,1,0,0,1,0,0,1,0,.264,.278,.540,.818,2,0,0,0,0,0,.333,0.76,0.116,0.72,0.07%,0.75,11.00,15.70,2,LF
21,169,21,2025-04-19,MIL,,ATH,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.253,.266,.516,.782,0,0,0,0,0,0,.000,1.20,-0.119,1.16,-0.07%,-0.88,0.00,0.00,2,LF
22,170,22,2025-04-20,MIL,,ATH,W 14-1,CG,5,5,1,2,1,0,0,1,0,0,0,1,.260,.273,.521,.794,3,0,0,0,0,0,.500,0.43,0.002,0.41,0.00%,-0.01,12.00,15.70,2,RF
