Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,535,3,2025-03-30,COL,@,TBR,L 4-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.56,-0.153,1.40,-0.08%,-1.31,0.00,0.00,8,C
2,536,6,2025-04-03,COL,@,PHI,L 1-3,CG,4,4,0,1,0,0,0,0,0,0,0,2,.125,.125,.125,.250,1,0,0,0,0,0,.500,2.16,-0.145,1.59,-0.06%,-0.65,3.00,3.00,7,C
3,537,7,2025-04-04,COL,,ATH,L 3-6 (11),GS-10,4,3,0,1,0,0,0,0,0,0,1,1,.182,.250,.182,.432,1,0,0,0,0,0,.500,1.84,-0.146,1.24,-0.06%,-0.91,5.00,6.00,7,C
4,538,10,2025-04-08,COL,,MIL,L 1-7,CG,4,4,0,0,0,0,0,0,0,0,0,4,.133,.188,.133,.321,0,0,0,0,0,0,,1.00,-0.119,0.65,-0.05%,-1.27,0.00,0.00,8,C
5,539,12,2025-04-10,COL,,MIL,W 7-2,GS-8,3,2,0,0,0,0,0,0,0,0,0,2,.118,.167,.118,.284,0,0,0,1,0,0,,1.58,-0.094,0.85,-0.03%,-0.91,0.00,0.00,9,C
6,540,14,2025-04-12,COL,@,SDP,L 0-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.100,.143,.100,.243,0,0,0,0,0,0,.000,1.06,-0.085,0.57,-0.03%,-0.63,0.00,0.00,8,C
7,541,16,2025-04-14,COL,@,LAD,L 3-5,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.095,.136,.095,.232,0,0,0,0,0,0,,3.96,-0.096,1.80,-0.03%,-0.68,0.00,0.00,9,PH
8,542,17,2025-04-15,COL,@,LAD,L 2-6,CG,4,3,0,1,1,0,0,2,0,0,1,0,.125,.192,.167,.359,2,0,0,0,0,0,.333,0.83,0.087,0.32,0.02%,1.70,11.00,16.00,8,C
9,543,19,2025-04-19,COL,,WSN,L 11-12,GS-9,4,3,2,0,0,0,0,0,0,0,1,2,.111,.200,.148,.348,0,0,0,0,0,0,.000,0.51,-0.002,0.15,0.00%,-0.15,6.00,9.40,6,C
10,544,21,2025-04-20 (2),COL,,WSN,W 3-1,GS-8,4,1,1,1,0,0,0,0,0,0,1,0,.143,.294,.179,.473,1,0,2,0,0,0,1.000,0.77,0.114,0.18,0.02%,1.44,11.00,15.20,7,C
11,545,22,2025-04-22,COL,@,KCR,L 3-4 (11),GS-9,4,4,0,1,1,0,0,3,0,0,0,1,.156,.289,.219,.508,2,0,0,0,0,0,.333,2.23,0.595,0.53,0.08%,1.98,11.00,16.50,6,C
12,546,24,2025-04-24 (2),COL,@,KCR,L 2-6,CG,4,4,0,2,0,0,0,0,0,0,0,0,.194,.310,.250,.560,2,0,0,0,0,0,.500,0.65,-0.018,0.13,0.00%,-0.13,6.00,6.00,7,C
13,547,25,2025-04-25,COL,,CIN,L 7-8,CG,5,4,1,1,1,0,0,0,0,0,1,2,.200,.319,.275,.594,2,0,0,0,0,0,.500,2.33,-0.073,0.44,-0.01%,-0.03,9.00,12.20,5,C
14,548,27,2025-04-27,COL,,CIN,L 1-8,CG,3,3,0,0,0,0,0,0,0,0,0,0,.186,.300,.256,.556,0,1,0,0,0,0,.000,0.45,-0.048,0.06,0.00%,-1.32,0.00,0.00,7,C
15,549,28,2025-04-28,COL,,ATL,L 3-6,GS-9,3,3,0,0,0,0,0,0,0,0,0,1,.174,.283,.239,.522,0,0,0,0,0,0,.000,1.13,-0.089,0.12,-0.01%,-0.88,0.00,0.00,7,C
16,550,30,2025-04-30,COL,,ATL,W 2-1,CG,3,3,0,1,0,0,0,0,0,0,0,2,.184,.286,.245,.531,1,0,0,0,0,0,1.000,0.78,-0.009,0.05,0.00%,-0.10,3.00,3.00,7,C
17,551,32,2025-05-02,COL,@,SFG,L 0-4,GS-8,2,2,0,0,0,0,0,0,0,0,0,2,.176,.276,.235,.511,0,0,0,0,0,0,,0.52,-0.026,0.05,0.00%,-0.32,0.00,0.00,7,C
18,552,34,2025-05-04,COL,@,SFG,L 3-9,CG,4,4,0,1,0,0,0,1,0,0,0,2,.182,.274,.236,.511,1,0,0,0,0,0,.500,0.73,0.024,0.05,0.00%,-0.26,5.00,6.50,8,C
