Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,164,1,2020-07-24,MIN,@,CHW,W 10-5,CG,5,5,0,2,0,0,0,2,0,0,0,2,.400,.400,.400,.800,2,0,0,0,0,0,.667,0.75,0.127,0.88,0.09%,0.96,7,CF
2,165,3,2020-07-26,MIN,@,CHW,W 14-2,CG,5,4,1,1,0,0,1,4,0,0,0,2,.333,.400,.667,1.067,4,0,1,0,0,0,.000,0.57,0.282,0.69,0.21%,3.16,6,CF RF
3,166,5,2020-07-29,MIN,,STL,W 3-0,CG,3,2,1,0,0,0,0,0,0,0,0,1,.273,.385,.545,.930,0,0,1,0,0,0,.000,0.35,-0.010,0.39,-0.01%,-0.15,7,CF RF
4,167,7,2020-07-31,MIN,,CLE,W 4-1,GS-8,4,3,0,0,0,0,0,0,0,0,1,2,.214,.353,.429,.782,0,0,0,0,0,0,.000,0.36,-0.016,0.44,-0.01%,-0.68,6,CF
5,168,10,2020-08-03,MIN,,PIT,W 5-4,CG,4,3,0,0,0,0,0,0,0,0,1,2,.176,.333,.353,.686,0,0,0,0,0,0,.000,1.71,-0.059,1.71,-0.04%,-0.43,7,LF
6,169,12,2020-08-05,MIN,@,PIT,W 5-2,GS-7,3,2,1,0,0,0,0,0,0,0,0,1,.158,.333,.316,.649,0,0,1,0,0,0,.000,0.79,0.000,0.68,0.00%,0.05,5,CF
7,170,14,2020-08-07,MIN,@,KCR,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.130,.286,.261,.547,0,0,0,0,0,0,.000,1.04,-0.109,0.91,-0.06%,-0.81,5,LF
8,171,19,2020-08-12,MIN,@,MIL,W 12-2,CG,5,5,1,1,1,0,0,1,0,0,0,1,.143,.273,.286,.558,2,0,0,0,0,0,.250,0.29,0.106,0.32,0.07%,-0.36,7,RF
9,172,21,2020-08-15 (2),MIN,,KCR,L 2-4 (7),CG(7),3,3,0,0,0,0,0,0,0,0,0,3,.129,.250,.258,.508,0,0,0,0,0,0,,1.42,-0.104,1.52,-0.07%,-0.58,8,LF
10,173,24,2020-08-18,MIN,,MIL,W 4-3 (12),10-GF(12),0,0,0,0,0,0,0,0,0,0,0,0,.129,.250,.258,.508,0,,0,0,,,,,,,,,3,PR DH
11,174,25,2020-08-19,MIN,,MIL,L 3-9,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.125,.243,.250,.493,0,0,0,0,0,0,.000,0.05,-0.001,0.04,0.00%,-0.33,3,PH RF DH
12,175,26,2020-08-20,MIN,,MIL,W 7-1,CG,4,4,0,2,0,0,0,0,0,0,0,1,.167,.268,.278,.546,2,0,0,0,0,0,.667,0.81,0.058,0.71,0.03%,0.67,6,CF
13,176,27,2020-08-21,MIN,@,KCR,L 2-7,CG,4,4,0,1,0,0,0,0,0,0,0,2,.175,.267,.275,.542,1,0,0,0,0,0,.500,0.62,-0.042,0.53,-0.02%,-0.61,2,CF
14,177,28,2020-08-22,MIN,@,KCR,W 7-2,CG,5,5,0,1,0,0,0,0,0,0,0,2,.178,.260,.267,.527,1,0,0,0,0,0,.333,0.49,-0.043,0.47,-0.02%,-1.24,5,CF
15,178,29,2020-08-23,MIN,@,KCR,W 5-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.184,.259,.265,.525,1,0,0,0,0,0,.333,0.83,-0.074,0.73,-0.04%,-1.20,8,CF
16,179,30,2020-08-24,MIN,@,CLE,W 3-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.189,.259,.264,.523,1,0,0,0,0,0,.333,0.91,-0.059,0.70,-0.03%,-0.54,6,CF
17,180,32,2020-08-26,MIN,@,CLE,L 3-6,2-GF,3,3,0,2,0,0,0,1,0,0,0,0,.214,.279,.286,.564,2,0,0,0,0,0,.667,1.40,0.168,1.05,0.08%,1.25,1,CF
18,181,34,2020-08-29 (2),MIN,@,DET,L 2-4 (7),CG(7),2,2,0,0,0,0,0,0,0,0,0,0,.207,.270,.276,.546,0,0,0,0,0,0,.000,0.88,-0.046,0.81,-0.03%,-0.36,8,CF
19,182,35,2020-08-30,MIN,@,DET,L 2-3,CG,4,3,0,0,0,0,0,0,0,0,0,1,.197,.269,.262,.531,0,0,1,0,0,0,.000,1.23,-0.064,1.35,-0.04%,-0.34,5,CF
20,183,36,2020-08-31,MIN,,CHW,L 5-8,CG,4,4,0,1,0,0,0,1,0,0,0,2,.200,.268,.262,.529,1,0,0,0,0,0,.500,0.97,0.102,1.18,0.08%,0.05,8,CF
21,184,37,2020-09-01,MIN,,CHW,W 3-2,6-GF,2,2,1,1,0,1,0,0,0,0,0,1,.209,.274,.299,.572,3,0,0,0,0,0,1.000,1.30,0.085,1.71,0.07%,0.23,8,PH RF
22,185,38,2020-09-02,MIN,,CHW,W 8-1,CG,4,4,1,2,0,0,1,2,0,0,0,2,.225,.286,.352,.638,5,0,0,0,0,0,1.000,0.34,0.113,0.43,0.09%,1.15,8,CF
23,186,39,2020-09-04 (1),MIN,,DET,W 2-0 (7),CG(7),2,2,0,0,0,0,0,0,0,0,0,2,.219,.278,.342,.621,0,0,0,0,0,0,,0.69,-0.033,0.80,-0.02%,-0.61,8,CF LF
24,187,40,2020-09-04 (2),MIN,,DET,W 3-2 (8),7-GF(8),0,0,0,0,0,0,0,0,0,0,0,0,.219,.278,.342,.621,0,,0,0,,,,,,,,,9,PR RF
25,188,41,2020-09-05,MIN,,DET,W 4-3,5-GF,2,2,1,0,0,0,0,0,0,0,0,2,.213,.272,.333,.605,0,0,0,0,0,0,,3.57,-0.213,2.95,-0.11%,-0.76,4,PR RF
26,189,42,2020-09-06,MIN,,DET,L 8-10,CG,5,4,1,2,0,0,0,1,0,0,1,0,.228,.291,.342,.632,2,0,0,0,0,0,.500,1.62,0.011,1.12,0.01%,1.03,7,CF
27,190,43,2020-09-07,MIN,,DET,W 6-2,CG,4,4,1,1,0,0,0,0,0,0,0,1,.229,.289,.337,.626,1,0,0,0,0,0,.333,0.36,-0.021,0.30,-0.01%,-0.45,7,RF
28,191,44,2020-09-08 (1),MIN,@,STL,W 7-3 (7),CG(7),4,4,0,0,0,0,0,0,0,0,0,2,.218,.277,.322,.598,0,0,0,0,0,0,.000,0.29,-0.029,0.17,-0.01%,-0.78,7,RF
29,192,45,2020-09-08 (2),MIN,@,STL,L 4-6 (7),6-GF(7),0,0,0,0,0,0,0,0,0,0,0,0,.218,.277,.322,.598,0,,0,0,,,,,,,,,1,CF
30,193,46,2020-09-11,MIN,,CLE,W 3-1,CG,3,3,1,1,1,0,0,0,0,0,0,1,.222,.278,.333,.612,2,0,0,0,0,0,.500,0.71,0.005,0.55,0.00%,-0.19,6,RF
31,194,47,2020-09-12,MIN,,CLE,W 8-4,4-GF,2,2,1,0,0,0,0,0,0,0,0,1,.217,.273,.326,.599,0,0,0,0,0,0,.000,0.15,-0.008,0.11,0.00%,-0.22,6,PR RF
32,195,48,2020-09-13,MIN,,CLE,W 7-5,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.217,.273,.326,.599,0,,0,0,,,,,,,,,5,LF
33,196,49,2020-09-14,MIN,@,CHW,L 1-3,CG,5,4,0,1,1,0,0,0,0,0,1,2,.219,.279,.333,.612,2,0,0,0,0,0,.500,1.49,-0.016,0.76,-0.01%,-0.18,7,LF
34,197,52,2020-09-17,MIN,@,CHW,L 3-4,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.219,.279,.333,.612,0,,0,0,,,,,,,,,4,PR DH
35,198,53,2020-09-18,MIN,@,CHC,L 0-1,CG,3,3,0,1,0,0,0,0,0,1,0,1,.222,.280,.333,.614,1,0,0,0,0,0,.500,1.16,-0.078,0.68,-0.03%,-0.41,7,RF
36,199,54,2020-09-19,MIN,@,CHC,W 8-1,6-6,0,0,1,0,0,0,0,0,0,0,0,0,.222,.280,.333,.614,0,,0,0,,,,,0.000,,0.00%,0.00,9,PR
37,200,55,2020-09-20,MIN,@,CHC,W 4-0,CG,4,4,1,1,0,1,0,0,0,0,0,1,.223,.279,.350,.629,3,0,0,0,0,0,.333,0.65,0.034,0.39,0.01%,0.11,8,CF
38,201,56,2020-09-22,MIN,,DET,W 5-4 (10),10-GF(10),0,0,1,0,0,0,0,0,0,0,0,0,.223,.279,.350,.629,0,,0,0,,,,,0.000,,0.00%,0.00,2,PR
39,202,57,2020-09-23,MIN,,DET,W 7-6,CG,4,4,2,2,0,0,2,3,0,0,0,1,.234,.287,.411,.698,8,0,0,0,0,0,.000,0.41,0.133,0.23,0.04%,2.30,6,LF
40,203,58,2020-09-25,MIN,,CIN,L 2-7,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.234,.287,.411,.698,0,,0,0,,,,,,,,,5,PR CF
41,204,59,2020-09-26,MIN,,CIN,W 7-3,CG,4,3,0,0,0,0,0,0,0,1,0,1,.227,.286,.400,.686,0,0,1,0,0,0,.000,0.54,-0.074,0.35,-0.03%,-1.18,5,CF
42,205,60,2020-09-27,MIN,,CIN,L 3-5 (10),CG(10),4,3,1,0,0,0,0,0,0,0,1,2,.221,.285,.389,.674,0,0,0,0,0,0,.000,1.43,0.068,0.50,0.01%,0.46,5,CF
,,,,,,,27-15,,123,113,17,25,3,2,4,15,0,2,5,44,.221,.285,.389,.674,44,0,5,0,0,0,.323,0.88,0.193,0.77,0.21%,-1.00,,
