Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,401,1,2024-03-28,COL,@,ARI,L 1-16,6-GF,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.11,0.00,0.00,1,RF
2,402,3,2024-03-30,COL,@,ARI,W 9-4,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,0,,,,,,,,,0.00,0.00,1,RF
3,403,4,2024-03-31,COL,@,ARI,L 1-5,CG,3,3,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.500,1.17,-0.070,1.14,-0.04%,-0.72,3.00,3.00,8,RF
4,404,7,2024-04-03,COL,@,CHC,L 8-9,8-8,1,1,1,1,1,0,0,2,0,0,0,0,.400,.400,.600,1.000,2,0,0,0,0,0,1.000,1.40,0.097,1.14,0.05%,1.83,11.00,16.20,8,PH
5,405,8,2024-04-05,COL,,TBR,W 10-7,9-GF,1,0,1,0,0,0,0,0,0,0,1,0,.400,.500,.600,1.100,0,0,0,0,0,0,,4.49,0.244,3.24,0.11%,0.63,4.00,6.20,1,RF
6,406,9,2024-04-06,COL,,TBR,L 6-8,7-GF,0,0,0,0,0,0,0,0,0,0,0,0,.400,.500,.600,1.100,0,,0,0,,,,,,,,,0.00,0.00,6,PR RF
7,407,10,2024-04-07,COL,,TBR,L 2-3,8-GF,2,2,1,1,0,1,0,0,0,0,0,1,.429,.500,.857,1.357,3,0,0,0,0,0,1.000,2.96,-0.031,2.02,-0.01%,0.61,10.00,12.20,8,PH RF
8,408,11,2024-04-08,COL,,ARI,W 7-5,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.429,.500,.857,1.357,0,,0,0,,,,,,,,,0.00,0.00,5,RF
9,409,12,2024-04-09,COL,,ARI,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.273,.333,.545,.879,0,0,0,0,0,0,.000,1.17,-0.122,0.92,-0.06%,-0.58,0.00,0.00,8,RF
10,410,13,2024-04-10,COL,,ARI,L 3-5,8-GF,1,0,0,0,0,0,0,0,0,0,1,0,.273,.385,.545,.930,0,0,0,0,0,0,,3.66,0.086,2.51,0.04%,0.34,2.00,3.00,4,RF
11,411,14,2024-04-12,COL,@,TOR,W 12-4,7-GF,1,0,0,0,0,0,0,1,0,0,0,0,.273,.357,.545,.903,0,0,0,0,1,0,.000,0.00,0.000,0.00,0.00%,-0.15,2.00,3.50,8,RF
12,412,20,2024-04-20,COL,,SEA,L 0-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.250,.333,.500,.833,0,0,0,0,0,0,.000,0.04,-0.001,0.02,0.00%,-0.26,0.00,0.00,1,PH DH
13,413,21,2024-04-21 (1),COL,,SEA,W 2-1 (10),CG(10),4,4,0,2,0,0,0,0,0,0,0,1,.313,.368,.500,.868,2,0,0,0,0,0,.667,1.97,0.076,0.74,0.02%,0.36,6.00,6.00,7,RF
14,414,22,2024-04-21 (2),COL,,SEA,L 2-10,CG,4,4,0,0,0,0,0,0,0,0,0,1,.250,.304,.400,.704,0,1,0,0,0,0,.000,0.41,-0.045,0.16,-0.01%,-1.58,0.00,0.00,7,CF
