Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,3,2020-07-26,SDP,,ARI,L 3-4,8-GF,1,1,1,1,1,0,0,1,0,0,0,0,1.000,1.000,2.000,3.000,2,0,0,0,0,0,1.000,1.67,0.096,1.99,0.07%,1.00,5,PR 1B
2,2,6,2020-07-29,SDP,@,SFG,L 6-7,CG,4,3,0,0,0,0,0,0,0,0,1,2,.250,.400,.500,.900,0,0,0,0,0,0,.000,0.92,-0.039,1.09,-0.03%,-0.61,7,1B
3,3,8,2020-07-31,SDP,@,COL,W 8-7,CG,4,4,1,2,0,1,0,0,0,0,0,0,.375,.444,.750,1.194,4,0,0,0,0,0,.500,1.57,-0.027,1.91,-0.02%,0.23,9,1B
4,4,10,2020-08-02,SDP,@,COL,L 6-9,GS-8,2,2,1,1,0,1,0,0,0,0,0,0,.400,.455,.900,1.355,3,0,0,0,0,0,.500,0.89,0.061,1.07,0.04%,0.71,9,1B
5,5,11,2020-08-03,SDP,,LAD,W 5-4,CG,4,4,1,1,0,0,0,1,0,0,0,0,.357,.400,.714,1.114,1,0,0,0,0,0,.250,1.03,0.077,1.31,0.06%,0.15,5,1B
6,6,12,2020-08-04,SDP,,LAD,L 2-5,CG,4,4,1,1,0,0,1,1,0,0,0,1,.333,.368,.778,1.146,4,0,0,0,0,0,.000,0.88,0.032,1.09,0.02%,0.43,5,1B
7,7,13,2020-08-05,SDP,,LAD,L 6-7,CG,4,4,0,1,1,0,0,0,0,0,0,2,.318,.348,.727,1.075,2,0,0,0,0,0,.500,0.79,-0.041,0.99,-0.03%,-0.56,5,1B
8,8,14,2020-08-07,SDP,,ARI,W 3-0,CG,3,3,1,2,0,0,1,1,0,0,0,0,.360,.385,.840,1.225,5,0,0,0,0,0,.500,0.41,0.096,0.52,0.07%,1.02,5,1B
9,9,15,2020-08-08,SDP,,ARI,L 2-3,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,.333,.357,.778,1.135,0,0,0,0,0,0,.000,0.87,-0.044,1.11,-0.03%,-0.40,7,2B
10,10,16,2020-08-09,SDP,,ARI,W 9-5,8-GF,1,1,0,1,1,0,0,0,0,0,0,0,.357,.379,.821,1.201,2,0,0,0,0,0,1.000,0.00,0.000,0.00,0.00%,0.63,1,SS
11,11,17,2020-08-10,SDP,@,LAD,W 2-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,.344,.364,.750,1.114,1,0,0,0,0,0,.250,0.84,-0.018,1.10,-0.01%,-0.15,7,2B
12,12,18,2020-08-11,SDP,@,LAD,W 6-2,CG,4,4,1,2,1,0,0,0,0,0,0,0,.361,.378,.750,1.128,3,0,0,0,0,0,.500,0.38,0.063,0.50,0.05%,0.48,7,2B
13,13,19,2020-08-12,SDP,@,LAD,L 0-6,GS-9,3,3,0,0,0,0,0,0,0,0,0,1,.333,.350,.692,1.042,0,0,0,0,0,0,.000,1.16,-0.092,1.46,-0.07%,-0.83,5,1B
