Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,647,1,2025-03-27,SDP,,ATL,W 7-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.71,-0.073,0.65,-0.04%,-0.82,0.00,0.00,7,2B
2,648,2,2025-03-28,SDP,,ATL,W 4-3,CG,4,3,1,2,0,0,1,1,0,0,1,0,.286,.375,.714,1.089,5,0,0,0,0,0,.500,1.34,0.270,1.31,0.16%,1.23,19.00,24.70,5,2B
3,649,3,2025-03-29,SDP,,ATL,W 1-0,CG,3,3,1,1,1,0,0,0,0,0,0,1,.300,.364,.700,1.064,2,0,0,0,0,0,.500,1.10,-0.020,1.07,-0.01%,-0.38,7.00,9.20,5,2B
4,650,4,2025-03-30,SDP,,ATL,W 5-0,CG,4,3,1,0,0,0,0,0,0,0,1,3,.231,.333,.538,.872,0,0,0,0,0,0,,0.58,-0.041,0.58,-0.03%,-0.73,4.00,6.20,5,2B
5,651,5,2025-03-31,SDP,,CLE,W 7-2,CG,4,2,2,0,0,0,0,0,0,0,2,0,.200,.368,.467,.835,0,0,0,0,0,0,.000,0.70,0.049,0.70,0.03%,0.20,8.00,12.40,5,2B
6,652,6,2025-04-01,SDP,,CLE,W 7-0,6-GF,2,2,1,2,0,0,0,1,0,0,0,0,.294,.429,.529,.958,2,0,0,0,0,0,1.000,0.32,0.041,0.33,0.03%,1.66,10.00,12.70,7,PH 2B
7,653,7,2025-04-02,SDP,,CLE,W 5-2,CG,4,2,0,0,0,0,0,0,0,0,2,0,.263,.440,.474,.914,0,0,0,0,0,0,.000,0.33,0.018,0.34,0.01%,-0.20,4.00,6.00,5,2B
8,654,8,2025-04-04,SDP,@,CHC,L 1-3,CG,4,4,0,1,1,0,0,0,0,0,0,1,.261,.414,.478,.892,2,0,0,0,0,0,.333,1.63,-0.064,1.79,-0.04%,-0.28,5.00,6.00,7,2B
9,655,9,2025-04-05,SDP,@,CHC,L 1-7,CG,4,4,0,0,0,0,0,0,0,0,0,1,.222,.364,.407,.771,0,0,0,0,0,0,.000,0.37,-0.039,0.41,-0.03%,-0.70,0.00,0.00,7,2B
10,656,10,2025-04-06,SDP,@,CHC,W 8-7,CG,5,4,0,2,0,0,0,1,0,0,0,1,.258,.395,.419,.814,2,0,1,0,0,0,.667,1.80,-0.024,1.91,-0.02%,0.67,10.00,12.50,5,2B
11,657,11,2025-04-07,SDP,@,ATH,W 5-4,CG,4,3,1,1,0,0,1,2,0,0,1,0,.265,.405,.500,.905,4,0,0,0,0,0,.000,0.89,0.137,0.94,0.09%,1.36,18.00,25.20,4,2B
12,658,12,2025-04-08,SDP,@,ATH,L 4-10,GS-3,2,1,0,0,0,0,0,0,0,0,1,0,.257,.409,.486,.895,0,0,0,0,0,0,.000,0.93,-0.017,1.00,-0.01%,-0.11,2.00,3.00,6,2B
13,659,37,2025-05-09,SDP,@,COL,W 13-9,CG,5,3,2,1,0,0,0,1,0,0,2,1,.263,.429,.474,.902,1,0,0,0,0,0,.500,0.64,-0.013,0.73,-0.01%,1.17,13.00,18.90,6,2B
14,660,38,2025-05-10,SDP,@,COL,W 21-0,CG,6,4,2,2,0,0,1,3,0,0,1,0,.286,.436,.548,.984,5,0,0,0,1,0,.250,0.21,0.030,0.24,0.02%,0.87,25.00,34.90,6,2B
15,661,39,2025-05-11,SDP,@,COL,L 3-9,CG,4,3,0,0,0,0,0,0,0,0,0,0,.267,.424,.511,.935,0,0,1,0,0,0,.000,0.60,-0.002,0.68,0.00%,-0.01,2.00,3.00,6,2B
16,662,40,2025-05-12,SDP,,LAA,L 5-9,CG,4,3,0,0,0,0,0,0,0,0,1,2,.250,.413,.479,.892,0,0,0,0,0,0,.000,0.48,-0.011,0.54,-0.01%,-0.19,2.00,3.00,8,2B
17,663,41,2025-05-13,SDP,,LAA,W 6-4,CG,4,3,1,1,0,0,0,0,0,0,1,0,.255,.418,.471,.889,1,0,0,0,0,0,.333,2.05,0.117,2.34,0.08%,0.90,7.00,9.20,7,2B
18,664,42,2025-05-14,SDP,,LAA,W 5-1,CG,4,3,0,2,1,0,0,0,1,0,1,0,.278,.437,.500,.937,3,0,0,0,0,0,.667,0.49,0.031,0.57,0.02%,0.86,15.00,18.00,7,2B
19,665,43,2025-05-16,SDP,,SEA,L 1-5,CG,4,4,0,2,1,1,0,1,0,0,0,0,.293,.440,.552,.992,5,0,0,0,0,0,.500,0.57,-0.004,0.67,0.00%,0.89,15.00,18.50,7,2B
20,666,44,2025-05-17,SDP,,SEA,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.274,.418,.516,.934,0,0,0,0,0,0,.000,1.18,-0.159,1.36,-0.11%,-1.47,0.00,0.00,7,2B
21,667,45,2025-05-18,SDP,,SEA,L 1-6,CG,4,4,0,1,0,0,0,0,0,0,0,1,.273,.410,.500,.910,1,0,0,0,0,0,.333,0.50,-0.034,0.58,-0.02%,-0.82,3.00,3.00,7,2B
22,668,46,2025-05-20,SDP,@,TOR,L 0-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.261,.395,.478,.874,0,1,0,0,0,0,.000,1.13,-0.125,1.34,-0.09%,-1.13,0.00,0.00,7,2B
23,669,47,2025-05-21,SDP,@,TOR,L 0-14,CG,3,3,0,0,0,0,0,0,0,0,0,1,.250,.382,.458,.840,0,0,0,0,0,0,.000,0.45,-0.034,0.52,-0.02%,-0.49,0.00,0.00,7,2B
24,670,48,2025-05-22,SDP,@,TOR,L 6-7 (11),CG(11),5,3,0,0,0,0,0,0,0,0,2,1,.240,.383,.440,.823,0,0,0,0,0,0,.000,1.49,-0.067,1.70,-0.05%,0.01,4.00,6.00,6,2B
25,671,49,2025-05-23,SDP,@,ATL,W 2-1,8-8,1,0,0,0,0,0,0,0,0,0,1,0,.240,.389,.440,.829,0,0,0,0,0,0,,1.39,0.049,1.55,0.03%,0.26,2.00,3.00,9,PH
26,672,50,2025-05-24,SDP,@,ATL,L 1-7,CG,4,4,0,1,0,0,0,0,0,0,0,1,.241,.384,.430,.814,1,0,0,0,0,0,.333,0.86,-0.062,0.00,0.00%,-0.71,3.00,3.00,7,2B
27,673,51,2025-05-25,SDP,@,ATL,W 5-3,CG,4,4,1,2,1,0,1,1,0,0,0,2,.253,.388,.482,.870,6,0,0,0,0,0,1.000,1.10,0.143,1.29,0.10%,0.82,19.00,24.70,7,2B
28,674,52,2025-05-26,SDP,,MIA,W 4-3 (11),CG(11),4,3,1,0,0,0,0,0,0,0,1,1,.244,.383,.465,.848,0,0,0,0,0,0,.000,0.94,-0.006,1.10,0.00%,-0.04,4.00,6.20,6,1B
29,675,53,2025-05-27,SDP,,MIA,W 8-6,CG,5,4,2,2,0,0,0,1,0,0,0,0,.256,.384,.467,.851,2,0,0,0,1,0,.400,1.26,0.044,1.48,0.03%,0.33,12.00,15.90,7,2B
30,676,54,2025-05-28,SDP,,MIA,L 8-10,CG,4,3,1,1,1,0,0,2,0,0,1,1,.258,.388,.473,.861,2,0,0,0,0,0,.500,1.56,0.137,1.88,0.10%,1.53,13.00,19.20,7,2B
31,677,55,2025-05-30,SDP,,PIT,W 3-2,CG,3,2,0,0,0,0,0,0,0,0,1,1,.253,.387,.463,.850,0,0,0,0,0,0,.000,0.73,-0.016,0.85,-0.01%,-0.14,2.00,3.00,7,2B
