Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,1,2020-09-30,SDP,,STL,L 4-7,NLWC G1,CG,4,2,1,1,0,1,0,0,1,0,0,0,3,0,2,0,0,0,.500,1.48,0.175,15.32,1.16%,1.24,,,6,2B
2,2,2,2020-10-01,SDP,,STL,W 11-9,NLWC G2,CG,4,2,1,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,1.000,1.57,0.160,17.45,1.16%,1.51,,,9,2B
3,3,3,2020-10-02,SDP,,STL,W 4-0,NLWC G3,CG,4,4,2,3,0,0,1,1,0,0,0,0,6,0,0,0,0,0,.667,1.20,0.017,24.90,0.19%,1.22,,,9,2B
4,4,4,2020-10-06,SDP,@,LAD,L 1-5,NLDS G1,CG,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,0.84,-0.031,13.20,-0.25%,-0.43,,,7,2B
5,5,5,2020-10-07,SDP,@,LAD,L 5-6,NLDS G2,CG,4,4,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,.667,0.78,-0.004,12.43,-0.08%,-0.02,,,6,2B
6,6,6,2020-10-08,SDP,,LAD,L 3-12,NLDS G3,CG,4,3,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,.000,0.87,0.080,9.03,0.44%,0.47,,,8,2B
7,7,1,2022-10-07,SDP,@,NYM,W 7-1,NLWC G1,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.19,-0.019,1.95,-0.12%,-0.57,,,5,2B
8,8,2,2022-10-08,SDP,@,NYM,L 3-7,NLWC G2,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,1.06,-0.101,11.68,-0.67%,-1.01,,,5,2B
9,9,3,2022-10-09,SDP,@,NYM,W 6-0,NLWC G3,CG,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.57,-0.059,11.79,-0.79%,-1.52,,,5,2B
10,10,4,2022-10-11,SDP,@,LAD,L 3-5,NLDS G1,CG,4,4,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,.667,0.71,0.009,11.08,0.09%,0.17,,,6,2B
11,11,5,2022-10-12,SDP,@,LAD,W 5-3,NLDS G2,CG,4,4,2,1,0,0,1,2,0,0,0,0,4,0,0,0,0,0,.000,1.36,0.061,21.74,0.65%,0.36,,,5,2B
12,12,6,2022-10-14,SDP,,LAD,W 2-1,NLDS G3,CG,4,4,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,.667,1.12,0.117,23.38,1.39%,1.17,,,5,2B
13,13,7,2022-10-15,SDP,,LAD,W 5-3,NLDS G4,CG,4,4,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1.000,1.57,0.283,34.72,3.56%,1.57,,,5,2B
14,14,8,2022-10-18,SDP,,PHI,L 0-2,NLCS G1,CG,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.95,-0.071,24.89,-1.14%,-0.53,,,5,2B
15,15,9,2022-10-19,SDP,,PHI,W 8-5,NLCS G2,CG,5,4,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,.500,1.05,-0.045,27.09,-0.71%,-0.40,,,4,2B
16,16,10,2022-10-21,SDP,@,PHI,L 2-4,NLCS G3,CG,4,4,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,.500,1.63,0.178,50.92,3.23%,1.32,,,5,2B
17,17,11,2022-10-22,SDP,@,PHI,L 6-10,NLCS G4,CG,4,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,0.71,-0.036,22.61,-0.63%,-0.36,,,5,2B
18,18,12,2022-10-23,SDP,@,PHI,L 3-4,NLCS G5,CG,4,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,.333,1.54,0.068,36.31,0.83%,0.08,,,4,2B
19,19,1,2024-10-01,SDP,,ATL,W 4-0,NLWC G1,CG,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000,0.32,0.016,3.29,0.09%,0.18,4.00,6.20,7,2B
20,20,2,2024-10-02,SDP,,ATL,W 5-4,NLWC G2,CG,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000,0.47,-0.048,4.55,-0.28%,-0.81,0.00,0.00,8,2B
