Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,393,1,2025-03-27,CIN,,SFG,L 4-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.91,-0.095,0.90,-0.06%,-1.06,0.00,0.00,8,RF
2,394,2,2025-03-29,CIN,,SFG,W 3-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.75,-0.141,1.56,-0.08%,-1.31,0.00,0.00,8,RF
3,395,4,2025-03-31,CIN,,TEX,W 14-3,CG,5,5,1,1,0,0,0,1,0,0,0,0,.083,.083,.083,.167,1,0,0,0,0,0,.200,0.12,-0.013,0.10,-0.01%,0.86,7.00,9.70,8,RF
4,396,5,2025-04-01,CIN,,TEX,L 0-1,CG,3,3,0,0,0,0,0,0,0,0,0,2,.067,.067,.067,.133,0,0,0,0,0,0,.000,1.51,-0.117,1.38,-0.06%,-0.67,0.00,0.00,7,RF
5,397,6,2025-04-02,CIN,,TEX,L 0-1,GS-9,3,3,0,1,0,0,0,0,0,1,0,0,.111,.111,.111,.222,1,0,0,0,0,0,.333,1.51,-0.094,1.32,-0.05%,-0.55,3.00,3.00,8,RF
6,398,8,2025-04-04,CIN,@,MIL,L 2-3,7-GF,2,2,0,0,0,0,0,0,0,0,0,0,.100,.100,.100,.200,0,0,0,0,0,0,.000,1.74,-0.096,1.46,-0.05%,-0.48,0.00,0.00,6,PH RF
7,399,9,2025-04-05,CIN,@,MIL,W 11-7,CG,4,4,0,1,0,0,0,0,0,0,0,1,.125,.125,.125,.250,1,0,0,0,0,0,.333,0.41,-0.024,0.32,-0.01%,-0.19,3.00,3.00,7,RF
8,400,10,2025-04-06,CIN,@,MIL,L 2-8,CG,3,3,1,1,1,0,0,0,0,0,0,0,.148,.148,.185,.333,2,0,0,0,0,0,.333,0.66,-0.042,0.55,-0.02%,0.02,7.00,9.20,8,RF
9,401,12,2025-04-08,CIN,@,SFG,W 1-0,CG,3,3,0,2,0,0,0,0,1,0,0,0,.200,.200,.233,.433,2,0,0,0,0,0,.667,1.26,0.130,1.03,0.06%,1.26,11.00,12.00,8,RF
10,402,13,2025-04-09,CIN,@,SFG,L 6-8 (10),CG(10),4,2,1,0,0,0,0,0,0,0,2,1,.188,.235,.219,.454,0,0,0,0,0,0,.000,0.44,0.020,0.37,0.01%,0.33,6.00,9.20,8,RF
