Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,25,1,2022-04-07,ARI,,SDP,W 4-2,9-GF,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0.000,,0.00%,0.00,5,PR
2,26,4,2022-04-10,ARI,,SDP,L 5-10,CG,4,4,1,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,0.51,-0.038,0.47,-0.02%,-0.23,8,RF
3,27,5,2022-04-12,ARI,,HOU,L 1-2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500,0,,0,0,,,,,,,,,6,PR DH
4,28,6,2022-04-13,ARI,,HOU,W 3-2 (10),CG(10),5,2,0,0,0,0,0,0,0,0,2,1,.167,.375,.167,.542,0,0,0,1,0,0,.000,1.61,0.009,1.20,0.00%,0.38,7,CF RF
5,29,7,2022-04-15,ARI,@,NYM,L 3-10,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.143,.333,.143,.476,0,0,0,0,0,0,,0.01,0.000,0.01,0.00%,-0.22,3,PH
6,30,8,2022-04-16,ARI,@,NYM,W 3-2,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.125,.300,.125,.425,0,0,0,0,0,0,,0.17,-0.004,0.13,0.00%,-0.15,5,RF
7,31,9,2022-04-17,ARI,@,NYM,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.083,.214,.083,.298,0,0,0,0,0,0,.000,0.77,-0.080,0.62,-0.04%,-0.95,8,CF
8,32,10,2022-04-19 (1),ARI,@,WSN,L 1-6,CG,4,4,0,1,0,0,0,0,0,0,0,2,.125,.222,.125,.347,1,0,0,0,0,0,.500,0.80,-0.038,0.60,-0.02%,-0.63,6,RF
9,33,11,2022-04-19 (2),ARI,@,WSN,L 0-1,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.118,.211,.118,.328,0,0,0,0,0,0,.000,7.78,-0.225,5.58,-0.10%,-0.79,7,PH
10,34,13,2022-04-21,ARI,@,WSN,W 4-3,CG,4,4,1,1,0,0,1,1,0,0,0,2,.143,.217,.286,.503,4,0,0,0,0,0,.000,0.64,0.044,0.46,0.02%,-0.10,8,CF RF
11,35,14,2022-04-22,ARI,,NYM,L 5-6 (10),9-GF(10),1,1,0,0,0,0,0,0,0,0,0,1,.136,.208,.273,.481,0,0,0,0,0,0,,1.36,-0.035,1.07,-0.02%,-0.10,9,PH CF
12,36,15,2022-04-23,ARI,,NYM,W 5-2,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.136,.208,.273,.481,0,,0,0,,,,,,,,,6,RF
13,37,16,2022-04-24,ARI,,NYM,L 2-6,GS-9,3,3,0,0,0,0,0,0,0,0,0,1,.120,.185,.240,.425,0,0,0,0,0,0,.000,0.55,-0.042,0.41,-0.02%,-0.36,6,CF RF
14,38,41,2022-05-20,ARI,@,CHC,W 10-6,CG,5,5,0,2,0,0,0,2,0,0,0,0,.167,.219,.267,.485,2,0,0,0,0,0,.400,0.68,0.116,0.51,0.05%,1.41,6,RF
15,39,42,2022-05-21,ARI,@,CHC,W 7-6 (10),CG(10),5,4,3,3,1,0,0,1,1,0,1,1,.235,.297,.353,.650,4,0,0,0,0,0,1.000,2.21,0.207,1.68,0.10%,1.88,5,RF
16,40,43,2022-05-22,ARI,@,CHC,L 4-5,CG,4,4,0,1,0,0,0,1,0,0,0,1,.237,.293,.342,.635,1,0,0,0,0,0,.333,1.55,0.084,1.26,0.04%,0.33,6,RF
