Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,36,34,2021-05-08,DET,,MIN,W 7-3,CG,4,4,0,1,0,0,0,2,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,0.88,-0.041,0.23,-0.01%,0.94,9,C
2,37,35,2021-05-11,DET,,KCR,W 8-7,5-GF,3,3,0,1,0,0,0,0,0,0,0,1,.286,.286,.286,.571,1,0,0,0,0,0,.500,1.56,-0.110,0.47,-0.02%,-0.86,9,PH C
3,38,36,2021-05-12,DET,,KCR,W 4-2,CG,3,3,0,0,0,0,0,0,0,0,0,2,.200,.200,.200,.400,0,0,0,0,0,0,.000,0.92,-0.075,0.31,-0.02%,-0.71,9,C
4,39,38,2021-05-14,DET,,CHC,L 2-4,GS-9,2,2,1,1,0,0,1,1,0,0,0,0,.250,.250,.500,.750,4,0,0,0,0,0,.000,0.36,0.039,0.13,0.01%,0.90,9,C
5,40,41,2021-05-17,DET,@,SEA,W 4-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.438,.688,1,0,0,0,0,0,.333,0.30,-0.013,0.10,0.00%,-0.11,9,C
6,41,44,2021-05-21,DET,@,KCR,W 7-5,CG,4,4,1,2,1,0,0,0,0,0,0,2,.300,.300,.500,.800,3,0,0,0,0,0,1.000,1.24,0.047,0.57,0.01%,0.21,9,C
7,42,46,2021-05-23,DET,@,KCR,L 2-3,CG,4,3,0,0,0,0,0,0,0,0,1,2,.261,.292,.435,.726,0,0,0,0,0,0,.000,0.80,-0.060,0.39,-0.02%,-0.86,9,C
8,43,48,2021-05-25,DET,,CLE,L 1-4,GS-8,2,2,0,0,0,0,0,0,0,0,0,1,.240,.269,.400,.669,0,0,0,0,0,0,.000,0.65,-0.033,0.25,-0.01%,-0.27,9,C
9,44,49,2021-05-26,DET,,CLE,W 1-0,CG,3,2,0,0,0,0,0,0,0,0,0,1,.222,.250,.370,.620,0,0,0,1,0,0,.000,1.58,-0.070,0.51,-0.01%,-0.73,9,C
10,45,51,2021-05-28,DET,,NYY,W 3-2 (10),GS-10,3,3,0,0,0,0,0,0,0,0,0,0,.200,.226,.333,.559,0,0,0,0,0,0,.000,1.12,-0.060,0.29,-0.01%,-0.53,9,C
11,46,54,2021-05-31,DET,@,MIL,L 2-3 (10),CG(10),4,3,0,1,0,0,0,0,0,0,1,1,.212,.257,.333,.590,1,0,0,0,0,0,.500,1.68,-0.005,0.55,0.00%,-0.14,8,C
12,47,56,2021-06-03,DET,@,CHW,L 1-4,GS-7,2,2,0,0,0,0,0,0,0,0,0,2,.200,.243,.314,.558,0,0,0,0,0,0,,2.00,-0.103,0.76,-0.02%,-0.97,9,C
