Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,602,1,2021-04-05,NYM,@,PHI,L 3-5,CG,4,4,0,1,0,0,0,1,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,1.04,0.032,1.14,0.02%,0.14,7,C
2,603,2,2021-04-06,NYM,@,PHI,W 8-4,CG,4,3,1,1,0,0,0,0,0,0,1,0,.286,.375,.286,.661,1,0,0,0,0,0,.333,0.89,-0.021,0.97,-0.01%,-0.01,8,C
3,604,3,2021-04-07,NYM,@,PHI,L 2-8,GS-7,4,4,0,1,0,0,0,0,0,0,0,2,.273,.333,.273,.606,1,0,0,0,0,0,.500,0.64,-0.067,0.73,-0.05%,-0.70,7,C
4,605,4,2021-04-08,NYM,,MIA,W 3-2,CG,4,3,0,0,0,0,0,0,0,0,1,2,.214,.313,.214,.527,0,0,0,0,0,0,.000,1.54,-0.026,1.54,-0.02%,0.17,8,C
5,606,5,2021-04-10,NYM,,MIA,L 0-3,CG,3,3,0,0,0,0,0,0,0,0,0,0,.176,.263,.176,.440,0,1,0,0,0,0,.000,1.45,-0.165,1.59,-0.11%,-1.09,6,C
6,607,7,2021-04-13 (1),NYM,,PHI,W 4-3 (8),CG(8),4,4,0,1,0,0,0,0,0,0,0,0,.190,.261,.190,.451,1,0,0,0,0,0,.250,1.88,0.041,2.34,0.03%,0.05,7,C
7,608,9,2021-04-14,NYM,,PHI,W 5-1,CG,4,4,1,3,0,0,1,2,0,0,0,0,.280,.333,.400,.733,6,0,0,0,0,0,.667,0.76,0.087,0.95,0.07%,2.10,7,C
8,609,10,2021-04-17 (1),NYM,@,COL,W 4-3 (7),GS-7,3,3,0,1,0,0,0,0,0,0,0,0,.286,.333,.393,.726,1,1,0,0,0,0,.333,1.77,-0.009,1.88,-0.01%,-0.93,8,C
9,610,12,2021-04-18,NYM,@,COL,W 2-1,CG,3,3,0,0,0,0,0,0,0,0,0,2,.258,.303,.355,.658,0,0,0,0,0,0,.000,1.05,-0.087,1.10,-0.06%,-1.06,8,C
10,611,13,2021-04-20,NYM,@,CHC,L 1-3,GS-9,4,3,0,0,0,0,0,0,0,0,1,1,.235,.297,.324,.621,0,0,0,0,0,0,.000,1.83,-0.049,2.12,-0.03%,-0.65,8,C
