Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,148,1,2023-03-30,SEA,,CLE,W 3-0,CG,3,3,0,1,0,0,0,0,1,0,0,1,.333,.333,.333,.667,1,0,0,0,0,0,.500,1.43,-0.007,1.37,0.00%,-0.11,7,LF
2,149,2,2023-03-31,SEA,,CLE,L 4-9,CG,4,4,0,1,1,0,0,0,0,0,0,3,.286,.286,.429,.714,2,0,0,0,0,0,1.000,0.81,-0.018,0.80,-0.01%,-0.32,7,LF
3,150,3,2023-04-01,SEA,,CLE,L 0-2,CG,3,3,0,0,0,0,0,0,0,0,0,0,.200,.200,.300,.500,0,0,0,0,0,0,.000,0.69,-0.052,0.65,-0.03%,-0.42,5,LF
4,151,4,2023-04-02,SEA,,CLE,L 5-6 (10),CG(10),4,3,0,0,0,0,0,0,0,0,1,2,.154,.214,.231,.445,0,0,0,0,0,0,.000,1.50,-0.105,1.33,-0.06%,-0.71,7,RF LF
5,152,7,2023-04-05,SEA,,LAA,L 3-4,GS-7,2,2,0,1,0,0,0,0,0,0,0,1,.200,.250,.267,.517,1,0,0,0,0,0,1.000,1.26,0.018,1.12,0.01%,0.09,8,LF
6,153,8,2023-04-07,SEA,@,CLE,W 5-3,CG,4,4,1,1,1,0,0,0,0,0,0,0,.211,.250,.316,.566,2,0,0,0,0,0,.250,1.15,0.040,0.91,0.02%,-0.10,7,LF
7,154,9,2023-04-08,SEA,@,CLE,W 3-2,CG,4,4,0,3,0,0,0,1,1,0,0,1,.304,.333,.391,.725,3,0,0,0,0,0,1.000,0.93,0.108,0.79,0.05%,1.39,6,LF
8,155,10,2023-04-09,SEA,@,CLE,L 6-7 (12),CG(12),6,5,1,1,1,0,0,1,0,0,1,2,.286,.333,.393,.726,2,0,0,0,0,0,.333,1.63,0.538,1.44,0.29%,0.21,6,RF LF
9,156,11,2023-04-10,SEA,@,CHC,L 2-3 (10),7-GF(10),2,2,1,1,0,0,1,1,0,0,0,0,.300,.344,.500,.844,4,0,0,0,0,0,.000,1.71,0.318,1.45,0.16%,0.84,5,PH LF
10,157,12,2023-04-11,SEA,@,CHC,L 9-14,CG,5,3,1,2,1,0,1,1,0,0,2,0,.333,.405,.636,1.042,6,0,0,0,0,0,.500,0.39,0.128,0.31,0.06%,2.03,6,LF
11,158,13,2023-04-12,SEA,@,CHC,W 5-2,CG,4,4,1,2,0,0,1,1,0,0,0,1,.351,.415,.703,1.117,5,0,0,0,0,0,.500,1.01,-0.027,0.74,-0.01%,0.29,6,LF
12,159,14,2023-04-14,SEA,,COL,W 5-3,CG,4,4,2,2,1,0,1,2,0,0,0,1,.366,.422,.780,1.203,6,0,0,0,0,0,.500,0.63,0.252,0.48,0.12%,2.11,6,LF
13,160,15,2023-04-15,SEA,,COL,W 9-2,CG,4,4,1,1,0,0,0,0,0,0,0,3,.356,.408,.733,1.141,1,0,0,0,0,0,1.000,0.73,-0.060,0.61,-0.03%,-0.94,6,CF LF
14,161,16,2023-04-16,SEA,,COL,W 1-0,CG,3,2,0,1,0,0,0,1,1,0,1,0,.362,.423,.723,1.146,1,0,0,0,0,0,.500,1.51,0.305,1.29,0.16%,1.88,6,RF
15,162,17,2023-04-17,SEA,,MIL,L 3-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,.333,.393,.667,1.060,0,1,0,0,0,0,.000,0.88,-0.127,0.79,-0.07%,-1.35,6,LF
16,163,18,2023-04-18,SEA,,MIL,L 5-6 (11),CG(11),5,3,0,0,0,0,0,0,0,0,2,1,.315,.393,.630,1.023,0,0,0,0,0,0,.000,2.04,-0.170,1.75,-0.09%,-0.30,6,LF
17,164,19,2023-04-19,SEA,,MIL,L 3-5,CG,4,4,0,1,0,0,0,1,0,0,0,0,.310,.385,.603,.988,1,0,0,0,0,0,.250,1.56,0.093,1.19,0.04%,0.58,6,LF
18,165,20,2023-04-21,SEA,,STL,W 5-2,CG,4,3,0,1,0,0,0,2,0,0,0,2,.311,.377,.590,.967,1,0,0,0,1,0,.500,0.84,0.101,0.65,0.05%,0.59,6,LF
19,166,21,2023-04-22,SEA,,STL,W 5-4,CG,4,4,1,2,1,0,1,1,0,0,0,1,.323,.384,.646,1.030,6,0,0,0,0,0,.500,0.66,0.140,0.52,0.07%,1.11,6,LF
20,167,22,2023-04-23,SEA,,STL,L 3-7,CG,4,4,1,1,0,0,1,1,0,0,0,1,.319,.377,.667,1.043,4,0,0,0,0,0,.000,0.60,0.062,0.49,0.03%,0.48,6,LF
21,168,23,2023-04-25,SEA,@,PHI,W 5-3,CG,4,4,1,3,1,0,1,1,0,0,0,0,.342,.395,.726,1.121,7,0,0,0,0,0,.667,0.41,0.164,0.32,0.08%,1.50,6,LF
22,169,24,2023-04-26,SEA,@,PHI,L 5-6,CG,4,4,0,0,0,0,0,0,0,0,0,3,.325,.376,.688,1.065,0,0,0,0,0,0,.000,0.61,-0.065,0.52,-0.03%,-0.76,3,LF
23,170,25,2023-04-27,SEA,@,PHI,L 0-1,CG,3,2,0,0,0,0,0,0,0,0,1,0,.316,.375,.671,1.046,0,0,0,0,0,0,.000,0.98,0.004,0.82,0.00%,-0.07,6,RF
24,171,26,2023-04-28,SEA,@,TOR,L 2-3,CG,4,4,1,2,0,0,0,0,2,0,0,2,.325,.380,.663,1.043,2,0,0,0,0,0,1.000,1.23,0.073,0.99,0.04%,0.64,3,LF
25,172,27,2023-04-29,SEA,@,TOR,L 0-1 (10),CG(10),4,4,0,1,0,0,0,0,0,0,0,1,.322,.375,.644,1.019,1,0,0,0,0,0,.333,1.18,-0.092,0.88,-0.04%,-0.59,2,CF LF
26,173,28,2023-04-30,SEA,@,TOR,W 10-8 (10),CG(10),5,4,2,0,0,0,0,0,0,0,1,2,.308,.366,.615,.982,0,0,0,0,0,0,.000,1.29,-0.110,0.91,-0.05%,-0.53,3,CF
27,174,29,2023-05-02,SEA,@,OAK,W 2-1,CG,4,3,0,1,1,0,0,1,0,1,1,1,.309,.371,.617,.988,2,0,0,0,0,0,.500,1.49,0.226,1.04,0.09%,0.87,3,CF
28,175,30,2023-05-03,SEA,@,OAK,W 7-2 (10),GS-6,3,3,0,1,0,0,0,0,0,0,0,1,.309,.370,.608,.979,1,0,0,0,0,0,.500,1.33,-0.088,1.04,-0.04%,-0.70,3,CF
29,176,31,2023-05-04,SEA,@,OAK,W 5-3,CG,5,5,0,1,1,0,0,0,0,0,0,2,.304,.363,.598,.961,2,0,0,0,0,0,.333,0.71,-0.079,0.55,-0.04%,-0.77,3,CF
30,177,32,2023-05-05,SEA,,HOU,L 4-6,CG,4,4,0,1,0,0,0,0,0,0,0,1,.302,.359,.585,.944,1,0,0,0,0,0,.333,1.40,-0.005,1.36,0.00%,-0.40,3,LF
31,178,33,2023-05-06,SEA,,HOU,W 7-5,CG,5,4,0,1,0,0,0,1,0,0,0,2,.300,.361,.573,.933,1,0,1,0,0,0,.500,0.87,-0.023,0.76,-0.01%,0.66,3,LF
32,179,34,2023-05-07,SEA,,HOU,W 3-1,CG,4,4,1,1,1,0,0,0,0,0,0,1,.298,.357,.570,.927,2,1,0,0,0,0,.333,1.12,-0.149,1.03,-0.08%,-1.91,3,RF
33,180,35,2023-05-08,SEA,,TEX,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.288,.346,.551,.897,0,0,0,0,0,0,.000,1.67,-0.168,1.73,-0.10%,-0.95,3,LF
34,181,36,2023-05-09,SEA,,TEX,W 5-0,CG,4,4,0,1,1,0,0,0,0,0,0,0,.287,.343,.549,.892,2,0,0,0,0,0,.250,0.38,-0.033,0.37,-0.02%,0.56,3,LF
35,182,37,2023-05-10,SEA,,TEX,L 3-4,CG,4,4,0,2,0,1,0,1,0,0,0,0,.294,.348,.563,.911,4,0,0,0,0,0,.500,1.12,0.158,1.14,0.10%,1.13,3,LF
36,183,38,2023-05-12,SEA,@,DET,W 9-2,CG,5,5,0,1,0,0,0,1,0,1,0,1,.290,.343,.550,.892,1,1,0,0,0,0,.250,0.79,0.041,0.67,0.02%,-0.59,4,LF
37,184,39,2023-05-13,SEA,@,DET,W 5-0,CG,4,4,1,1,0,0,1,2,0,0,0,3,.289,.340,.563,.903,4,0,0,0,0,0,,0.50,0.183,0.46,0.10%,1.29,3,RF
38,185,40,2023-05-14,SEA,@,DET,L 3-5,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.287,.338,.559,.897,0,0,0,0,0,0,,1.46,-0.037,1.40,-0.02%,-0.24,8,PH DH
39,186,41,2023-05-15,SEA,@,BOS,W 10-1,CG,5,5,3,2,0,0,0,1,1,0,0,0,.291,.340,.553,.893,2,0,0,0,0,0,.400,0.61,-0.056,0.56,-0.03%,0.20,4,LF
40,187,42,2023-05-16,SEA,@,BOS,L 4-9,CG,4,4,0,0,0,0,0,0,0,0,0,3,.283,.331,.538,.869,0,0,0,0,0,0,.000,0.93,-0.130,0.91,-0.08%,-1.27,4,LF
41,188,43,2023-05-17,SEA,@,BOS,L 3-12,CG,5,4,0,1,1,0,0,0,0,0,1,1,.282,.333,.537,.870,2,0,0,0,0,0,.333,0.25,-0.005,0.22,0.00%,0.39,4,LF
42,189,44,2023-05-19,SEA,@,ATL,L 2-6,CG,4,3,1,1,0,0,0,0,0,1,1,0,.283,.337,.533,.870,1,0,0,0,0,0,.333,1.00,0.014,0.81,0.01%,-0.16,4,LF
43,190,45,2023-05-20,SEA,@,ATL,W 7-3,CG,5,5,2,2,0,0,0,0,0,0,0,1,.287,.339,.529,.868,2,0,0,0,0,0,.500,1.00,0.100,0.74,0.05%,0.56,4,RF
44,191,46,2023-05-21,SEA,@,ATL,L 2-3,CG,4,4,1,1,0,0,1,1,0,0,0,3,.286,.337,.540,.878,4,0,0,0,0,0,,1.33,-0.011,1.02,-0.01%,0.40,4,CF
45,192,47,2023-05-22,SEA,,OAK,W 11-2,CG,5,4,2,3,0,0,1,3,0,0,1,1,.297,.350,.564,.914,6,0,0,0,0,0,1.000,0.29,0.193,0.20,0.08%,3.04,4,DH
46,193,48,2023-05-23,SEA,,OAK,W 3-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.296,.348,.556,.904,1,0,0,0,0,0,.333,0.86,-0.035,0.62,-0.02%,-0.35,4,LF
47,194,49,2023-05-24,SEA,,OAK,W 6-1,CG,4,4,0,0,0,0,0,0,0,0,0,3,.289,.340,.543,.884,0,0,0,0,0,0,.000,0.59,-0.066,0.48,-0.03%,-1.35,4,RF
48,195,50,2023-05-25,SEA,,OAK,W 3-2,CG,4,3,0,0,0,0,0,0,0,0,1,1,.284,.339,.534,.873,0,0,0,0,0,1,.000,1.83,-0.086,1.49,-0.04%,-0.71,4,LF
49,196,51,2023-05-26,SEA,,PIT,L 6-11,CG,4,4,0,0,0,0,0,0,0,0,0,3,.278,.332,.522,.854,0,0,0,0,0,0,.000,0.90,-0.094,0.80,-0.05%,-0.90,4,RF
50,197,52,2023-05-27,SEA,,PIT,W 5-0,CG,4,4,0,1,1,0,0,0,0,0,0,2,.277,.330,.522,.852,2,0,0,0,0,0,.500,0.46,-0.046,0.36,-0.02%,-0.87,4,LF
51,198,53,2023-05-28,SEA,,PIT,W 6-3 (10),CG(10),5,3,1,1,1,0,0,1,0,0,2,1,.278,.337,.524,.861,2,0,0,0,0,1,.500,2.17,0.085,1.87,0.04%,0.80,4,LF
52,199,54,2023-05-29,SEA,,NYY,L 4-10,CG,4,4,1,2,0,0,0,0,1,0,0,1,.283,.340,.524,.863,2,0,0,0,0,0,.667,1.03,0.079,0.99,0.05%,0.19,4,LF
53,200,56,2023-05-31,SEA,,NYY,W 1-0 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,3,.277,.333,.513,.846,0,0,0,0,0,0,.000,1.43,-0.141,1.10,-0.07%,-0.95,4,LF
54,201,57,2023-06-02,SEA,@,TEX,L 0-2,CG,3,2,0,0,0,0,0,0,0,0,1,0,.274,.333,.508,.841,0,0,0,0,0,0,.000,1.20,-0.043,1.19,-0.03%,-0.29,4,LF
55,202,58,2023-06-03,SEA,@,TEX,L 6-16,CG,5,3,0,1,0,0,0,1,0,0,2,2,.275,.339,.505,.844,1,0,0,0,0,0,1.000,0.53,0.101,0.48,0.06%,0.91,5,RF
56,203,59,2023-06-04,SEA,@,TEX,L 3-12,CG,4,4,0,0,0,0,0,0,0,0,0,3,.270,.333,.495,.828,0,0,0,0,0,0,.000,0.60,-0.085,0.46,-0.04%,-1.43,1,LF
57,204,60,2023-06-06,SEA,@,SDP,W 4-1,CG,4,4,0,0,0,0,0,0,0,0,0,3,.264,.328,.486,.813,0,0,0,0,0,0,.000,1.12,-0.129,0.65,-0.05%,-1.45,4,LF
58,205,61,2023-06-07,SEA,@,SDP,L 3-10,CG,4,4,0,2,1,0,0,0,0,0,0,1,.269,.330,.491,.821,3,0,0,0,0,0,.667,0.50,-0.005,0.32,0.00%,0.42,6,LF
59,206,62,2023-06-09,SEA,@,LAA,L 4-5,CG,4,3,1,1,0,0,1,2,0,0,1,1,.270,.333,.502,.836,4,1,0,0,0,0,.000,1.40,0.069,0.91,0.03%,0.74,4,LF
