Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,253,1,2024-03-29,ATL,@,PHI,W 9-3,GS-7,2,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,1,0,0,0,0,0,.500,1.73,-0.075,1.77,-0.05%,-0.65,3.00,3.00,9,LF
2,254,2,2024-03-30,ATL,@,PHI,W 12-4,CG,5,4,1,3,0,0,0,2,0,0,1,0,.667,.714,.667,1.381,3,1,0,0,0,0,.750,0.53,0.147,0.56,0.09%,1.75,17.00,22.20,9,LF
3,255,3,2024-03-31,ATL,@,PHI,L 4-5,8-8,1,1,1,1,1,0,0,0,0,0,0,0,.714,.750,.857,1.607,2,0,0,0,0,0,1.000,0.97,0.061,1.02,0.04%,0.42,7.00,9.20,9,PH
4,256,4,2024-04-01,ATL,@,CHW,W 9-0 (8),CG(8),4,4,0,1,0,0,0,0,0,0,0,2,.545,.583,.636,1.220,1,0,0,0,0,0,.500,0.66,0.026,0.62,0.02%,-0.27,3.00,3.00,9,LF
5,257,5,2024-04-02,ATL,@,CHW,L 2-3,8-8,1,0,0,0,0,0,0,0,0,0,1,0,.545,.615,.636,1.252,0,0,0,0,0,0,,1.55,0.061,1.62,0.04%,0.25,2.00,3.00,9,PH
6,258,6,2024-04-05,ATL,,ARI,W 6-5 (10),9-GF(10),1,1,0,1,1,0,0,1,0,0,0,0,.583,.643,.750,1.393,2,0,0,0,0,0,1.000,5.86,0.285,6.18,0.18%,0.74,7.00,9.50,6,PH LF
7,259,7,2024-04-06,ATL,,ARI,W 9-8,CG,4,4,1,3,1,0,0,0,0,0,0,1,.625,.667,.813,1.479,4,0,0,0,0,0,1.000,1.03,0.172,1.08,0.11%,0.65,13.00,15.20,9,LF
8,260,8,2024-04-07,ATL,,ARI,W 5-2,CG,3,3,0,1,0,0,0,0,0,0,0,1,.579,.619,.737,1.356,1,0,0,0,0,0,.500,0.89,0.026,0.98,0.02%,0.39,3.00,3.00,8,LF
9,261,9,2024-04-08,ATL,,NYM,L 7-8,CG,4,3,1,0,0,0,0,0,0,0,1,3,.500,.560,.636,1.196,0,0,0,0,0,0,,1.27,-0.102,1.57,-0.08%,-1.11,4.00,6.20,9,LF
10,262,10,2024-04-09,ATL,,NYM,W 6-5,CG,4,4,0,1,0,0,0,0,0,0,0,2,.462,.517,.577,1.094,1,0,0,0,0,0,.500,0.30,-0.025,0.37,-0.02%,-0.03,3.00,3.00,9,LF
11,263,13,2024-04-13,ATL,@,MIA,L 1-5,CG,3,3,0,0,0,0,0,0,0,0,0,2,.414,.469,.517,.986,0,0,0,0,0,0,.000,0.88,-0.064,1.02,-0.04%,-0.66,0.00,0.00,9,LF
12,264,15,2024-04-15,ATL,@,HOU,W 6-1,GS-9,3,2,1,0,0,0,0,0,0,0,1,0,.387,.457,.484,.941,0,0,0,0,0,0,.000,0.86,-0.023,0.93,-0.02%,-0.22,4.00,6.20,8,LF
13,265,16,2024-04-16,ATL,@,HOU,W 6-2,CG,4,4,1,2,0,0,0,0,0,0,0,2,.400,.462,.486,.947,2,0,0,0,0,0,1.000,0.61,-0.031,0.69,-0.02%,-0.11,8.00,9.20,7,LF
14,266,17,2024-04-17,ATL,@,HOU,W 5-4 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,2,.359,.419,.436,.855,0,0,0,0,0,0,.000,2.04,-0.222,2.30,-0.15%,-1.45,0.00,0.00,8,LF
15,267,19,2024-04-20,ATL,,TEX,W 5-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.349,.404,.419,.823,1,0,0,0,0,0,.333,1.03,-0.055,1.21,-0.04%,-0.85,3.00,3.00,8,LF
16,268,20,2024-04-21,ATL,,TEX,L 4-6,CG,4,3,0,0,0,0,0,0,0,0,1,0,.326,.392,.391,.783,0,0,0,0,0,0,.000,1.20,-0.092,1.41,-0.07%,-0.59,2.00,3.00,7,LF
17,269,21,2024-04-22,ATL,,MIA,W 3-0,8-9,1,0,0,0,0,0,0,0,0,0,1,0,.326,.404,.391,.795,0,0,0,0,0,0,,0.02,0.001,0.02,0.00%,0.12,2.00,3.00,9,PH
18,270,22,2024-04-23,ATL,,MIA,W 5-0,8-9,1,1,0,0,0,0,0,0,0,0,0,1,.319,.396,.383,.779,0,0,0,0,0,0,,0.06,-0.002,0.07,0.00%,-0.69,0.00,0.00,9,PH
19,271,23,2024-04-24,ATL,,MIA,W 4-3 (10),CG(10),4,4,0,1,0,0,0,0,0,0,0,1,.314,.386,.373,.759,1,0,0,0,0,0,.333,1.13,-0.083,1.35,-0.06%,-0.57,3.00,3.00,7,LF
20,272,25,2024-04-27,ATL,,CLE,L 2-4 (11),CG(11),4,4,0,1,0,0,0,1,0,0,0,2,.309,.377,.364,.741,1,0,0,0,0,0,.500,3.06,-0.173,3.58,-0.12%,-1.20,5.00,6.50,9,LF
21,273,26,2024-04-28,ATL,,CLE,W 4-3 (10),CG(10),4,4,1,1,1,0,0,0,0,0,0,2,.305,.369,.373,.742,2,0,0,0,0,0,.500,1.05,-0.028,1.21,-0.02%,-0.02,7.00,9.20,8,LF
22,274,27,2024-04-29,ATL,@,SEA,L 1-2,CG,3,3,0,1,0,0,0,0,0,0,0,0,.306,.368,.371,.739,1,1,0,0,0,0,.333,0.94,-0.065,1.05,-0.04%,-0.20,3.00,3.00,9,LF
23,275,28,2024-04-30,ATL,@,SEA,L 2-3,CG,4,4,1,0,0,0,0,0,0,0,0,1,.288,.347,.348,.696,0,0,0,0,0,0,.000,1.09,-0.009,1.27,-0.01%,-0.09,2.00,3.20,9,LF
24,276,30,2024-05-03,ATL,@,LAD,L 3-4 (11),GS-10,3,3,0,0,0,0,0,0,0,0,0,1,.275,.333,.333,.667,0,0,0,0,0,0,.000,1.53,-0.115,1.88,-0.09%,-0.81,0.00,0.00,9,LF
25,277,31,2024-05-04,ATL,@,LAD,L 2-11,CG,3,3,0,0,0,0,0,0,0,0,0,2,.264,.321,.319,.640,0,0,0,0,0,0,.000,0.25,-0.020,0.32,-0.02%,-0.51,0.00,0.00,9,LF
26,278,32,2024-05-05,ATL,@,LAD,L 1-5,8-8,1,1,0,0,0,0,0,0,0,0,0,1,.260,.316,.315,.632,0,0,0,0,0,0,,0.85,-0.021,1.05,-0.02%,-0.23,0.00,0.00,9,PH
27,279,33,2024-05-07,ATL,,BOS,W 4-2,GS-7,2,2,1,2,0,0,1,2,0,0,0,0,.280,.333,.373,.707,5,0,0,0,0,0,1.000,0.87,0.208,0.97,0.14%,2.00,19.00,25.20,9,LF
