Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,34,27,2022-05-06,BOS,,CHW,L 2-4,CG,5,4,1,1,0,1,0,0,0,0,0,1,.250,.400,.750,1.150,3,0,1,0,0,0,.333,1.18,0.020,0.72,0.01%,0.42,1,CF
2,35,53,2022-06-04,BOS,@,OAK,W 8-0,CG,5,5,0,2,0,0,0,0,0,0,0,1,.333,.400,.556,.956,2,0,0,0,0,0,.500,0.54,-0.065,0.35,-0.03%,-0.25,1,RF
3,36,54,2022-06-05,BOS,@,OAK,W 5-2,CG,4,4,1,1,0,0,0,0,0,0,0,3,.308,.357,.462,.819,1,0,0,0,0,0,1.000,0.82,-0.025,0.59,-0.01%,-0.25,1,DH
4,37,63,2022-06-15,BOS,,OAK,W 10-1,CG,5,4,1,0,0,0,0,0,0,0,1,2,.235,.316,.353,.669,0,0,0,0,0,0,.000,0.46,-0.040,0.39,-0.02%,-0.56,1,CF
5,38,64,2022-06-16,BOS,,OAK,L 3-4,GS-6,3,3,0,2,1,0,0,0,0,0,0,1,.300,.364,.450,.814,3,0,0,0,0,0,1.000,1.24,0.031,1.03,0.02%,0.26,1,CF
6,39,65,2022-06-17,BOS,,STL,W 6-5,GS-7,3,2,1,1,0,1,0,0,0,0,1,0,.318,.400,.545,.945,3,0,0,0,0,0,.500,0.59,0.092,0.48,0.05%,0.89,1,CF
7,40,66,2022-06-18,BOS,,STL,L 2-11,CG,4,4,0,0,0,0,0,0,0,0,0,1,.269,.345,.462,.806,0,0,0,0,0,0,.000,1.62,-0.161,1.36,-0.08%,-1.55,1,CF
8,41,68,2022-06-20,BOS,,DET,W 5-2,GS-9,4,3,2,2,1,0,0,0,2,0,1,0,.310,.394,.517,.911,3,0,0,0,0,0,.667,0.81,0.135,0.70,0.07%,1.22,1,CF
9,42,69,2022-06-21,BOS,,DET,W 5-4,CG,4,4,1,1,0,0,0,0,0,0,0,0,.303,.378,.485,.863,1,0,0,0,0,0,.250,0.72,-0.011,0.62,-0.01%,-0.18,1,CF
10,43,70,2022-06-22,BOS,,DET,W 6-2,CG,4,4,1,1,1,0,0,2,0,0,0,1,.297,.366,.486,.852,2,0,0,0,0,0,.333,1.01,0.221,0.92,0.12%,1.68,1,CF
11,44,71,2022-06-24,BOS,@,CLE,W 6-3,CG,5,5,0,0,0,0,0,0,0,0,0,1,.262,.326,.429,.755,0,0,0,0,0,0,.000,1.14,-0.149,1.07,-0.08%,-1.64,1,CF
12,45,72,2022-06-25,BOS,@,CLE,W 4-2,CG,5,5,0,4,1,0,0,1,2,0,0,0,.319,.373,.489,.862,5,0,0,0,0,0,.800,1.21,0.076,1.17,0.04%,0.59,1,CF
13,46,73,2022-06-26,BOS,@,CLE,W 8-3,CG,6,5,1,2,1,0,0,0,0,1,1,0,.327,.386,.500,.886,3,0,0,0,0,0,.400,0.73,0.043,0.69,0.02%,-0.20,1,CF
14,47,77,2022-07-01,BOS,@,CHC,L 5-6,CG,5,5,1,2,0,0,1,2,0,0,0,0,.333,.387,.544,.931,5,0,0,0,0,0,.250,1.38,0.077,1.11,0.04%,0.38,1,CF
15,48,78,2022-07-02,BOS,@,CHC,L 1-3,CG,4,4,0,2,1,0,0,0,0,0,0,1,.344,.394,.557,.951,3,0,0,0,0,0,.667,1.46,0.175,1.31,0.09%,1.30,1,CF
16,49,79,2022-07-03,BOS,@,CHC,W 4-2 (11),CG(11),6,5,0,1,0,0,0,1,0,0,1,1,.333,.389,.530,.919,1,0,0,0,0,0,.250,2.12,-0.053,1.79,-0.03%,-0.03,1,CF
17,50,80,2022-07-04,BOS,,TBR,W 4-0,GS-7,3,3,0,0,0,0,0,0,0,0,0,1,.319,.373,.507,.881,0,0,0,0,0,0,.000,1.09,-0.107,1.07,-0.06%,-1.07,1,CF
18,51,81,2022-07-05,BOS,,TBR,L 4-8,CG,5,4,1,2,1,0,0,0,1,0,1,1,.329,.388,.521,.908,3,0,0,0,0,0,.667,1.00,0.033,0.95,0.02%,0.87,1,CF
19,52,82,2022-07-06,BOS,,TBR,L 1-7,CG,4,4,1,1,1,0,0,0,0,0,0,1,.325,.381,.519,.900,2,0,0,0,0,0,.333,0.66,-0.056,0.65,-0.03%,-0.29,1,CF
20,53,83,2022-07-07,BOS,,NYY,L 5-6,CG,4,4,0,0,0,0,0,0,0,0,0,4,.309,.364,.494,.857,0,0,0,0,0,0,,1.07,-0.121,0.97,-0.07%,-1.34,1,CF
21,54,84,2022-07-08,BOS,,NYY,L 5-12,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.305,.360,.488,.847,0,0,0,0,0,0,,0.01,0.000,0.01,0.00%,-0.23,8,CF
22,55,85,2022-07-09,BOS,,NYY,W 6-5 (10),CG(10),4,4,1,0,0,0,0,0,0,0,0,2,.291,.344,.465,.809,0,0,0,0,0,0,.000,1.06,-0.113,0.95,-0.06%,-0.69,9,CF
23,56,86,2022-07-10,BOS,,NYY,W 11-6,GS-6,3,3,0,0,0,0,0,0,0,0,0,0,.281,.333,.449,.783,0,0,0,0,0,0,.000,0.94,-0.072,0.86,-0.04%,-0.73,1,CF
24,57,87,2022-07-11,BOS,@,TBR,L 5-10,CG,5,5,1,1,0,0,0,1,1,0,0,2,.277,.327,.436,.763,1,0,0,0,0,0,.333,1.07,-0.003,1.04,0.00%,-0.19,1,CF
25,58,88,2022-07-12,BOS,@,TBR,L 2-3,GS-8,3,2,0,0,0,0,0,0,0,0,1,1,.271,.327,.427,.754,0,0,0,0,0,0,.000,0.85,0.008,0.84,0.00%,-0.06,1,CF
26,59,90,2022-07-14,BOS,@,TBR,L 4-5,GS-8,3,3,1,1,0,0,0,0,1,0,0,0,.273,.327,.424,.751,1,0,0,0,0,0,.333,1.04,0.125,1.05,0.08%,0.93,1,RF
27,60,92,2022-07-16,BOS,@,NYY,L 1-14,CG,4,4,0,0,0,0,0,0,0,0,0,0,.262,.315,.408,.723,0,0,0,0,0,0,.000,0.38,-0.038,0.35,-0.02%,-0.77,1,RF
28,61,93,2022-07-17,BOS,@,NYY,L 2-13,CG,4,4,0,0,0,0,0,0,0,0,0,4,.252,.304,.393,.697,0,0,0,0,0,0,,0.42,-0.042,0.38,-0.02%,-1.05,1,RF
29,62,94,2022-07-22,BOS,,TOR,L 5-28,CG,5,5,0,1,1,0,0,0,0,0,0,3,.250,.300,.393,.693,2,0,0,0,0,0,.500,0.21,-0.024,0.19,-0.01%,-0.20,1,CF
