Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,354,1,2025-03-27,BOS,@,TEX,W 5-2,CG,4,4,0,1,0,0,0,0,1,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,1.47,0.004,1.41,0.00%,-0.33,8.00,9.00,1,LF
2,355,2,2025-03-28,BOS,@,TEX,L 1-4,CG,4,4,0,2,0,0,0,0,1,0,0,0,.375,.375,.375,.750,2,0,0,0,0,0,.500,1.20,0.084,1.20,0.05%,0.70,11.00,12.00,1,LF
3,356,3,2025-03-29,BOS,@,TEX,L 3-4,CG,5,4,0,0,0,0,0,0,0,0,1,1,.250,.308,.250,.558,0,0,0,0,0,0,.000,1.61,-0.156,1.60,-0.09%,-1.05,2.00,3.00,1,CF RF
4,357,4,2025-03-30,BOS,@,TEX,L 2-3,CG,5,4,0,1,1,0,0,0,0,0,0,1,.250,.333,.313,.646,2,0,1,0,0,0,.333,1.11,-0.009,1.02,-0.01%,-0.46,7.00,9.00,1,LF
5,358,5,2025-03-31,BOS,@,BAL,L 5-8,CG,5,5,0,2,0,1,0,3,0,0,0,1,.286,.348,.429,.776,4,0,0,0,0,0,.500,0.72,0.081,0.63,0.04%,2.44,17.00,22.50,1,LF
6,359,6,2025-04-02,BOS,@,BAL,W 3-0,CG,5,5,0,0,0,0,0,0,0,0,0,2,.231,.286,.346,.632,0,1,0,0,0,0,.000,0.58,-0.082,0.49,-0.04%,-2.40,0.00,0.00,1,LF
7,360,7,2025-04-03,BOS,@,BAL,W 8-4,CG,5,4,0,0,0,0,0,1,0,0,0,2,.200,.242,.300,.542,0,0,0,0,1,0,.000,0.71,-0.031,0.65,-0.02%,-0.78,2.00,3.50,1,LF
8,361,8,2025-04-04,BOS,,STL,W 13-9,CG,6,6,1,2,0,0,0,1,1,0,0,0,.222,.256,.306,.562,2,0,0,0,0,0,.333,0.52,0.065,0.44,0.03%,0.64,15.00,18.70,1,LF
9,362,9,2025-04-06 (1),BOS,,STL,W 5-4 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,2,.195,.227,.268,.496,0,0,0,0,0,0,.000,3.16,-0.441,2.89,-0.24%,-2.39,0.00,0.00,1,LF
10,363,10,2025-04-06 (2),BOS,,STL,W 18-7,GS-7,5,5,3,2,0,0,0,2,0,0,0,1,.217,.245,.283,.528,2,0,0,0,0,0,.500,0.50,-0.047,0.47,-0.03%,1.36,16.00,22.60,1,LF
11,364,11,2025-04-07,BOS,,TOR,L 2-6,CG,4,3,0,2,2,0,0,0,0,0,1,0,.245,.283,.347,.630,4,0,0,0,0,0,.667,1.20,0.169,1.33,0.11%,1.64,12.00,15.00,1,LF
12,365,12,2025-04-08,BOS,,TOR,L 1-6,CG,4,3,0,0,0,0,0,0,0,0,1,3,.231,.281,.327,.608,0,0,0,0,0,0,,0.91,-0.052,0.96,-0.03%,-0.61,2.00,3.00,1,LF
13,366,13,2025-04-09,BOS,,TOR,L 1-2 (11),CG(11),5,5,1,1,0,0,0,0,1,0,0,1,.228,.274,.316,.590,1,0,0,0,0,0,.250,1.87,-0.142,2.00,-0.09%,0.11,10.00,12.20,1,LF
14,367,14,2025-04-10,BOS,,TOR,W 4-3 (10),CG(10),5,3,1,2,0,0,0,1,1,1,2,1,.250,.313,.333,.647,2,0,0,0,0,0,1.000,2.26,0.345,2.28,0.21%,1.19,19.00,24.70,1,LF
15,368,15,2025-04-11,BOS,@,CHW,L 1-11,CG,5,5,0,0,0,0,0,0,0,0,0,1,.231,.292,.308,.599,0,0,0,0,0,0,.000,0.44,-0.054,0.44,-0.03%,-1.05,0.00,0.00,1,LF
16,369,17,2025-04-13,BOS,@,CHW,W 3-1,CG,5,5,0,1,0,0,0,0,0,0,0,2,.229,.286,.300,.586,1,0,0,0,0,0,.333,0.80,-0.075,0.70,-0.04%,-1.31,3.00,3.00,1,LF
17,370,18,2025-04-14,BOS,@,TBR,L 1-16,CG,4,4,0,1,0,0,0,0,0,0,0,1,.230,.284,.297,.581,1,0,0,0,0,0,.333,0.28,-0.028,0.29,-0.02%,-0.43,3.00,3.00,1,LF
18,371,19,2025-04-15,BOS,@,TBR,W 7-4,CG,5,3,2,1,0,0,1,2,1,0,2,0,.234,.302,.338,.640,4,0,0,0,0,0,.000,0.45,0.180,0.45,0.11%,2.32,27.00,37.40,1,LF
19,372,20,2025-04-16,BOS,@,TBR,W 1-0,CG,4,4,0,1,1,0,0,0,0,1,0,1,.235,.300,.346,.646,2,0,0,0,0,0,.333,0.78,-0.064,0.80,-0.04%,-0.61,5.00,6.00,1,LF
20,373,21,2025-04-18,BOS,,CHW,W 10-3,CG,5,5,0,1,0,0,0,0,0,0,0,0,.233,.295,.337,.632,1,0,0,0,0,0,.200,0.29,-0.037,0.29,-0.02%,-0.47,3.00,3.00,1,LF
21,374,22,2025-04-19,BOS,,CHW,W 4-3 (10),CG(10),5,4,1,1,0,0,0,0,0,0,0,0,.233,.300,.333,.633,1,0,1,0,0,0,.250,1.71,-0.041,1.75,-0.03%,0.12,7.00,9.20,1,LF
22,375,23,2025-04-20,BOS,,CHW,L 4-8,CG,5,5,0,1,0,0,0,1,0,0,0,1,.232,.295,.326,.622,1,0,0,0,0,0,.250,0.65,0.032,0.69,0.02%,0.10,5.00,6.50,1,LF
23,376,24,2025-04-21,BOS,,CHW,W 4-2,CG,4,4,1,1,1,0,0,0,0,0,0,1,.232,.294,.333,.627,2,0,0,0,0,0,.333,0.61,0.030,0.64,0.02%,-0.03,7.00,9.20,1,CF LF
24,377,25,2025-04-22,BOS,,SEA,W 8-3,CG,5,4,1,2,0,1,0,0,0,0,1,1,.243,.307,.359,.666,4,0,0,0,0,0,.667,1.10,0.074,1.21,0.05%,1.77,15.00,18.20,1,LF
25,378,26,2025-04-23,BOS,,SEA,L 5-8,CG,5,5,0,2,1,0,0,0,1,0,0,1,.250,.311,.370,.681,3,0,0,0,0,0,.500,0.74,0.124,0.85,0.09%,0.88,13.00,15.00,1,LF
26,379,27,2025-04-24,BOS,,SEA,L 3-4,CG,4,4,1,1,1,0,0,0,0,0,0,1,.250,.309,.375,.684,2,0,0,0,0,0,.333,1.14,-0.060,1.27,-0.04%,-0.16,7.00,9.20,1,LF
