Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,725,1,2021-04-01,CHC,,PIT,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.65,-0.174,1.68,-0.11%,-1.28,6,SS
2,726,2,2021-04-03,CHC,,PIT,W 5-1,CG,4,4,1,2,0,0,0,1,2,0,0,1,.250,.250,.250,.500,2,0,0,0,0,0,.667,1.00,0.056,1.01,0.03%,0.76,4,SS
3,727,3,2021-04-04,CHC,,PIT,W 4-3,CG,4,4,0,0,0,0,0,1,0,0,0,1,.167,.167,.167,.333,0,0,0,0,0,0,.000,0.87,0.003,0.96,0.00%,-0.35,6,SS
4,728,4,2021-04-05,CHC,,MIL,W 5-3,CG,4,3,1,1,0,0,1,1,0,0,0,0,.200,.250,.400,.650,4,0,1,0,0,0,.000,0.35,0.068,0.38,0.05%,1.07,5,SS
5,729,5,2021-04-06,CHC,,MIL,L 0-4,CG,3,3,0,0,0,0,0,0,0,0,0,3,.167,.211,.333,.544,0,0,0,0,0,0,,0.79,-0.065,0.86,-0.04%,-0.83,6,SS
6,730,6,2021-04-07,CHC,,MIL,L 2-4 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,2,.136,.174,.273,.447,0,0,0,0,0,0,.000,1.01,-0.106,1.11,-0.07%,-0.77,6,SS
7,731,7,2021-04-08,CHC,@,PIT,W 4-2,CG,4,3,1,2,0,0,1,2,1,0,1,1,.200,.259,.440,.699,5,0,0,0,0,0,1.000,0.94,0.292,0.96,0.18%,1.92,4,SS
8,732,8,2021-04-10,CHC,@,PIT,L 2-8,CG,4,4,0,2,0,0,0,0,0,0,0,1,.241,.290,.448,.739,2,0,0,0,0,0,.667,0.33,0.027,0.34,0.02%,-0.02,6,SS
,,,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets,Player went from Chicago Cubs to New York Mets
9,733,6,2021-04-11,NYM,,MIA,W 6-5,8-GF,2,1,1,1,0,0,0,1,0,0,0,0,.267,.333,.467,.800,1,0,1,0,0,0,1.000,2.80,0.086,2.92,0.05%,1.28,5,PH 2B
