Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,4,2015-10-12,CHC,,STL,W 8-6,NLDS G3,4-GF,2,2,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1.000,0.42,0.007,8.73,0.08%,0.09,7,PR SS
2,2,5,2015-10-13,CHC,,STL,W 6-4,NLDS G4,CG,3,3,1,2,0,0,1,3,0,0,0,0,5,0,0,0,0,0,.500,0.81,0.304,18.02,3.93%,2.66,9,SS
3,3,6,2015-10-17,CHC,@,NYM,L 2-4,NLCS G1,GS-7,3,3,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,.500,1.76,-0.136,46.04,-2.04%,-0.96,7,SS
4,4,7,2015-10-18,CHC,@,NYM,L 1-4,NLCS G2,GS-6,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0.51,-0.025,13.51,-0.37%,-0.31,8,SS
5,5,8,2015-10-20,CHC,,NYM,L 2-5,NLCS G3,GS-8,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.80,-0.040,16.57,-0.46%,-0.31,9,SS
6,6,9,2015-10-21,CHC,,NYM,L 3-8,NLCS G4,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.59,-0.050,5.67,-0.30%,-1.00,7,SS
7,7,1,2016-10-07,CHC,,SFG,W 1-0,NLDS G1,CG,3,3,1,2,0,0,1,1,0,0,0,0,5,0,0,0,0,0,.500,0.99,0.286,15.47,2.51%,0.89,7,2B 1B
8,8,2,2016-10-08,CHC,,SFG,W 5-2,NLDS G2,CG,4,3,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1.000,0.41,0.009,6.56,0.09%,0.00,7,2B
9,9,3,2016-10-10,CHC,@,SFG,L 5-6 (13),NLDS G3,CG(13),6,6,1,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,.500,1.24,0.037,12.82,0.23%,0.03,7,2B
10,10,4,2016-10-11,CHC,@,SFG,W 6-5,NLDS G4,CG,4,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.250,1.19,0.345,23.14,4.20%,1.32,7,SS 2B
11,11,5,2016-10-15,CHC,,LAD,W 8-4,NLCS G1,CG,4,4,1,2,2,0,0,1,1,0,0,0,4,0,0,0,0,0,.500,1.19,0.035,31.12,0.50%,0.99,7,2B
12,12,6,2016-10-16,CHC,,LAD,L 0-1,NLCS G2,CG,3,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.500,0.98,-0.044,25.84,-0.75%,-0.21,6,2B
13,13,7,2016-10-18,CHC,@,LAD,L 0-6,NLCS G3,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.75,-0.071,23.51,-1.33%,-1.02,5,SS 2B
14,14,8,2016-10-19,CHC,@,LAD,W 10-2,NLCS G4,CG,5,3,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,.250,0.56,0.097,17.87,1.93%,1.04,5,2B
15,15,9,2016-10-20,CHC,@,LAD,W 8-4,NLCS G5,CG,5,5,1,3,2,0,0,3,1,0,0,1,5,0,0,0,0,0,.750,1.29,0.118,53.43,3.13%,2.86,5,2B
16,16,10,2016-10-22,CHC,,LAD,W 5-0,NLCS G6,CG,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.60,-0.064,23.41,-1.40%,-1.18,5,2B
17,17,11,2016-10-25,CHC,@,CLE,L 0-6,WS G1,CG,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,1.28,0.029,66.99,0.85%,-0.15,6,2B
18,18,12,2016-10-26,CHC,@,CLE,W 5-1,WS G2,CG,5,5,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.333,0.64,-0.034,33.75,-1.16%,-1.10,6,2B
19,19,13,2016-10-28,CHC,,CLE,L 0-1,WS G3,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,3.61,-0.381,226.18,-15.02%,-1.49,7,2B
20,20,14,2016-10-29,CHC,,CLE,L 2-7,WS G4,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.000,0.63,-0.091,38.53,-3.55%,-1.14,8,2B
21,21,15,2016-10-30,CHC,,CLE,W 3-2,WS G5,CG,4,4,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1.000,1.01,-0.009,36.51,-0.24%,-0.09,7,2B
22,22,16,2016-11-01,CHC,@,CLE,W 9-3,WS G6,CG,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,0.16,-0.012,12.42,-0.62%,-0.42,9,2B
23,23,17,2016-11-02,CHC,@,CLE,W 8-7 (10),WS G7,CG(10),5,5,1,1,0,0,1,1,0,0,0,2,4,0,0,0,0,0,.000,1.43,-0.159,238.34,-16.65%,-0.78,9,2B
24,24,1,2017-10-06,CHC,@,WSN,W 3-0,NLDS G1,CG,4,4,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,.000,0.90,-0.010,14.15,-0.07%,-0.75,8,2B
25,25,2,2017-10-07,CHC,@,WSN,L 3-6,NLDS G2,CG,3,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,.000,0.78,-0.003,11.92,-0.02%,-0.05,7,2B
26,26,3,2017-10-09,CHC,,WSN,W 2-1,NLDS G3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,9,2B
27,27,4,2017-10-11,CHC,,WSN,L 0-5,NLDS G4,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,1.45,-0.174,32.25,-2.39%,-1.58,8,2B
28,28,5,2017-10-12,CHC,@,WSN,W 9-8,NLDS G5,CG,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.99,0.044,41.25,1.30%,0.24,8,2B
29,29,6,2017-10-14,CHC,@,LAD,L 2-5,NLCS G1,GS-7,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.52,-0.040,13.58,-0.61%,-0.31,8,2B
30,30,7,2017-10-15,CHC,@,LAD,L 1-4,NLCS G2,CG,3,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,.000,1.25,0.027,33.08,0.56%,0.41,8,2B
31,31,8,2017-10-17,CHC,,LAD,L 1-6,NLCS G3,7-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.74,-0.019,15.42,-0.25%,-0.17,8,PH 2B
