Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,611,1,2024-03-28,WSN,@,CIN,L 2-8,CG,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,0.17,-0.018,0.17,-0.01%,-0.65,3.00,3.00,3,LF
2,612,2,2024-03-30,WSN,@,CIN,W 7-6,GS-9,5,4,1,2,0,0,0,1,0,0,1,2,.375,.444,.375,.819,2,0,0,0,0,0,1.000,1.64,0.130,1.47,0.07%,1.36,12.00,15.70,3,LF
3,613,3,2024-03-31,WSN,@,CIN,L 5-6,GS-8,5,3,0,2,1,0,0,0,0,0,1,0,.455,.571,.545,1.117,3,0,1,0,0,0,.667,0.83,0.041,0.81,0.02%,0.10,12.00,15.00,3,LF
4,614,4,2024-04-01,WSN,,PIT,L 4-8,GS-2,0,0,0,0,0,0,0,0,0,0,0,0,.455,.571,.545,1.117,0,,0,0,,,,,,,,,0.00,0.00,5,LF
5,615,6,2024-04-04,WSN,,PIT,L 4-7,CG,4,3,1,1,0,0,0,1,0,0,1,1,.429,.556,.500,1.056,1,1,0,0,0,0,.500,0.79,-0.017,0.75,-0.01%,-0.14,9.00,12.70,6,LF
6,616,7,2024-04-05,WSN,,PHI,L 0-4,CG,4,2,0,0,0,0,0,0,0,0,2,0,.375,.545,.438,.983,0,0,0,0,0,0,.000,0.62,0.017,0.58,0.01%,0.31,4.00,6.00,3,LF
7,617,8,2024-04-06,WSN,,PHI,L 2-5,CG,4,2,0,0,0,0,0,0,0,0,1,1,.333,.538,.389,.927,0,0,1,0,0,0,.000,1.03,0.040,0.91,0.02%,0.18,4.00,6.00,5,LF
8,618,9,2024-04-07,WSN,,PHI,W 3-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.273,.467,.318,.785,0,0,0,0,0,0,.000,1.53,-0.165,1.33,-0.09%,-1.66,0.00,0.00,2,LF
9,619,10,2024-04-08,WSN,@,SFG,W 8-1,CG,5,4,2,1,0,0,0,0,0,0,1,0,.269,.457,.308,.765,1,0,0,0,0,0,.250,0.46,-0.025,0.38,-0.01%,0.62,9.00,12.40,2,LF
10,620,11,2024-04-09,WSN,@,SFG,W 5-3,CG,4,3,2,2,1,0,0,0,0,0,0,1,.310,.487,.379,.866,3,0,1,0,0,0,1.000,0.80,0.101,0.71,0.05%,0.96,14.00,18.40,5,LF
11,621,12,2024-04-10,WSN,@,SFG,L 1-7,CG,4,3,0,0,0,0,0,0,1,0,1,1,.281,.465,.344,.809,0,0,0,0,0,0,.000,0.69,0.055,0.64,0.03%,0.27,7.00,9.00,3,DH
12,622,13,2024-04-12,WSN,@,OAK,L 1-2 (10),CG(10),4,4,1,4,1,0,1,1,0,0,0,0,.361,.511,.528,1.038,8,0,0,0,0,0,1.000,1.66,0.505,1.37,0.25%,2.19,25.00,30.70,5,LF
13,623,14,2024-04-13,WSN,@,OAK,W 3-1,CG,4,4,1,1,1,0,0,0,1,0,0,1,.350,.490,.525,1.015,2,1,0,0,0,0,.333,1.24,-0.054,0.95,-0.03%,-0.75,12.00,15.20,3,DH
