Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,75,1,2022-04-08,MIA,@,SFG,L 5-6 (10),CG(10),5,4,0,0,0,0,0,0,0,0,1,0,.000,.200,.000,.200,0,1,0,0,0,0,.000,1.81,-0.117,1.73,-0.07%,-0.95,3,CF
2,76,2,2022-04-09,MIA,@,SFG,W 2-1,CG,4,4,0,1,0,0,0,1,0,0,0,3,.125,.222,.125,.347,1,0,0,0,0,0,1.000,1.28,0.047,1.17,0.03%,-0.14,7,CF
3,77,3,2022-04-10,MIA,@,SFG,L 2-3,CG,4,4,0,2,0,0,0,0,0,0,0,1,.250,.308,.250,.558,2,0,0,0,0,0,.667,2.26,-0.048,2.12,-0.03%,-0.90,3,CF
4,78,4,2022-04-11,MIA,@,LAA,L 2-6,CG,4,4,2,2,0,0,2,2,0,0,0,0,.313,.353,.688,1.040,8,0,0,0,0,0,.000,0.40,0.039,0.34,0.02%,1.74,2,CF
5,79,5,2022-04-12,MIA,@,LAA,L 3-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,.250,.286,.550,.836,0,1,0,0,0,0,.000,1.94,-0.266,1.58,-0.13%,-1.99,5,CF
6,80,6,2022-04-14,MIA,,PHI,W 4-3,CG,4,4,1,2,0,1,0,1,0,0,0,1,.292,.320,.625,.945,4,0,0,0,0,0,.667,0.67,0.141,0.58,0.07%,1.47,3,CF
7,81,7,2022-04-15,MIA,,PHI,W 7-1,CG,5,5,2,2,1,1,0,2,0,0,0,0,.310,.333,.690,1.023,5,0,0,0,0,0,.400,0.46,0.108,0.43,0.06%,0.78,3,CF
8,82,9,2022-04-17,MIA,,PHI,W 11-3,CG,6,6,1,3,0,0,0,2,0,0,0,1,.343,.361,.657,1.018,3,0,0,0,0,0,.600,0.42,0.033,0.39,0.02%,1.86,2,CF
9,83,10,2022-04-19,MIA,,STL,L 1-5,CG,4,4,0,2,0,0,0,0,0,0,0,2,.359,.375,.641,1.016,2,0,0,0,0,0,1.000,0.66,-0.051,0.59,-0.03%,-0.50,1,CF
10,84,11,2022-04-20,MIA,,STL,L 0-2,CG,4,3,0,0,0,0,0,0,0,0,0,2,.333,.364,.595,.959,0,0,1,0,0,0,.000,1.26,-0.079,1.05,-0.04%,-0.43,3,CF
