Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,78,2024-06-26,CLE,@,BAL,L 2-4,CG,4,4,1,1,0,0,1,1,0,0,0,2,.250,.250,1.000,1.250,4,0,0,0,0,0,.000,0.90,0.034,0.64,0.01%,0.48,14.00,18.70,6,1B
2,2,79,2024-06-27,CLE,@,KCR,L 1-2,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.200,.200,.800,1.000,0,0,0,0,0,0,,1.73,-0.044,1.64,-0.03%,-0.24,0.00,0.00,2,PH RF
3,3,80,2024-06-28,CLE,@,KCR,L 3-10,6-GF,1,1,0,1,1,0,0,0,0,0,0,0,.333,.333,1.000,1.333,2,0,0,0,0,0,1.000,0.11,0.007,0.12,0.01%,0.22,5.00,6.00,3,RF
4,4,81,2024-06-29,CLE,@,KCR,W 7-2,CG,4,3,1,1,0,0,1,2,0,0,1,1,.333,.400,1.111,1.511,4,0,0,0,0,0,.000,0.68,0.259,0.80,0.18%,1.42,18.00,25.20,7,RF
5,5,82,2024-06-30,CLE,@,KCR,L 2-6,CG,4,4,0,0,0,0,0,0,0,0,0,3,.231,.286,.769,1.055,0,0,0,0,0,0,.000,0.62,-0.065,0.71,-0.05%,-0.86,0.00,0.00,5,RF
6,6,84,2024-07-03,CLE,,CHW,L 2-8,CG,4,4,0,1,0,0,0,0,0,0,0,1,.235,.278,.647,.925,1,0,0,0,0,0,.333,0.47,-0.046,0.42,-0.03%,-0.49,3.00,3.00,7,RF
7,7,85,2024-07-04,CLE,,CHW,W 8-4,CG,5,3,1,1,0,0,0,0,0,0,1,1,.250,.348,.600,.948,1,0,1,0,0,0,.500,0.60,-0.027,0.55,-0.02%,0.11,9.00,12.20,5,RF
8,8,87,2024-07-06,CLE,,SFG,W 5-4,CG,4,3,1,1,0,0,1,2,0,0,0,1,.261,.333,.696,1.029,4,0,0,0,1,0,.000,0.86,0.103,0.79,0.06%,0.55,16.00,22.20,6,RF
9,9,88,2024-07-07,CLE,,SFG,W 5-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.250,.321,.667,.988,0,0,0,0,0,0,,0.22,-0.006,0.18,0.00%,-0.23,0.00,0.00,5,PH RF
10,10,90,2024-07-09,CLE,@,DET,W 9-8 (10),GS-8,4,4,0,1,0,0,0,0,0,0,0,2,.250,.313,.607,.920,1,0,0,0,0,0,.500,0.61,-0.049,0.58,-0.03%,-1.51,3.00,3.00,5,RF
11,11,91,2024-07-10,CLE,@,DET,L 4-5,7-7,1,1,0,0,0,0,0,0,0,0,0,0,.241,.303,.586,.889,0,0,0,0,0,0,.000,1.61,-0.045,1.34,-0.02%,-0.23,0.00,0.00,9,PH
