Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,162,64,2023-06-08,LAA,,CHC,W 3-1,CG,4,3,1,1,0,0,1,1,0,0,1,1,.333,.500,1.333,1.833,4,0,0,0,0,0,.000,0.73,0.078,0.63,0.04%,0.79,6,RF
2,163,88,2023-07-04,LAA,@,SDP,L 5-8,9-GF,1,1,1,1,0,1,0,1,0,0,0,0,.500,.600,1.750,2.350,3,0,0,0,0,0,1.000,0.04,0.004,0.04,0.00%,1.54,3,PH DH
3,164,89,2023-07-05,LAA,@,SDP,L 3-5,CG,4,4,0,1,1,0,0,1,0,0,0,2,.375,.444,1.125,1.569,2,0,0,0,0,0,.500,1.35,0.011,1.23,0.01%,0.31,4,LF
4,165,90,2023-07-07,LAA,@,LAD,L 4-11,CG,4,4,0,0,0,0,0,0,0,0,0,2,.250,.308,.750,1.058,0,0,0,0,0,0,.000,1.10,-0.116,0.99,-0.06%,-1.04,5,CF
5,166,91,2023-07-08,LAA,@,LAD,L 5-10,GS-1,1,1,0,0,0,0,0,0,0,0,0,1,.231,.286,.692,.978,0,0,0,0,0,0,,0.79,-0.023,0.63,-0.01%,-0.24,4,LF
6,167,151,2023-09-19,LAA,@,TBR,L 2-6,CG,4,4,0,1,1,0,0,0,0,0,0,1,.235,.278,.647,.925,2,0,0,0,0,0,.333,0.76,-0.037,0.00,0.00%,-0.34,6,RF
7,168,152,2023-09-20,LAA,@,TBR,W 8-3,CG,5,5,0,0,0,0,0,0,0,0,0,4,.182,.217,.500,.717,0,0,0,0,0,0,.000,0.24,-0.032,0.00,0.00%,-1.10,6,LF
8,169,153,2023-09-21,LAA,@,TBR,L 4-5,CG,4,3,2,2,0,0,1,2,0,0,1,0,.240,.296,.640,.936,5,1,0,0,0,0,.500,1.11,0.247,0.00,0.00%,1.54,7,CF RF
9,170,154,2023-09-22,LAA,@,MIN,L 6-8,CG,4,3,1,0,0,0,0,0,0,0,1,2,.214,.290,.571,.862,0,0,0,0,0,0,.000,0.78,-0.016,0.00,0.00%,-0.13,5,CF
10,171,155,2023-09-23,LAA,@,MIN,W 1-0,CG,4,3,1,1,0,0,1,1,0,0,1,1,.226,.314,.645,.959,4,0,0,0,0,0,.000,0.76,0.103,0.00,0.00%,0.91,5,CF RF
11,172,156,2023-09-24,LAA,@,MIN,L 3-9,CG,4,4,0,1,1,0,0,0,0,0,0,2,.229,.308,.629,.936,2,0,0,0,0,0,.500,0.72,-0.036,0.00,0.00%,-0.70,6,RF
12,173,157,2023-09-25,LAA,,TEX,L 1-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.231,.302,.590,.892,1,0,0,0,0,0,.333,0.73,0.014,0.00,0.00%,-0.13,7,CF
13,174,158,2023-09-26,LAA,,TEX,W 9-3,CG,4,4,1,2,0,0,0,0,0,0,0,2,.256,.319,.581,.901,2,0,0,0,0,0,1.000,0.39,0.037,0.00,0.00%,0.91,5,CF RF
14,175,159,2023-09-27,LAA,,TEX,L 0-5,CG,3,3,0,0,0,0,0,0,0,0,0,0,.239,.300,.543,.843,0,0,0,0,0,0,.000,1.21,-0.094,0.00,0.00%,-0.73,6,CF
15,176,160,2023-09-29,LAA,,OAK,W 5-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.220,.278,.500,.778,0,0,0,0,0,0,.000,1.01,-0.100,0.00,0.00%,-1.22,6,RF
16,177,161,2023-09-30,LAA,,OAK,L 3-7,CG,3,3,0,0,0,0,0,0,0,0,0,2,.208,.263,.472,.735,0,0,0,0,0,0,.000,0.44,-0.034,0.00,0.00%,-0.33,6,RF
17,178,162,2023-10-01,LAA,,OAK,W 7-3,CG,5,5,0,1,0,0,0,0,1,0,0,3,.207,.258,.448,.706,1,0,0,0,0,0,.500,0.46,0.050,0.00,0.00%,-0.10,5,RF
,,,,,,,6-11,,62,58,7,12,3,1,3,6,1,0,4,25,.207,.258,.448,.706,26,1,0,0,0,0,.300,0.75,0.056,0.21,-0.02%,-0.05,,
