Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1141,2,2024-03-29,ARI,,COL,W 7-3,CG,4,4,1,4,1,0,0,1,0,0,0,0,1.000,1.000,1.250,2.250,5,0,0,0,0,0,1.000,0.54,0.132,0.54,0.08%,1.95,18.00,21.70,5,DH
2,1142,3,2024-03-30,ARI,,COL,L 4-9,6-GF,2,0,0,0,0,0,0,0,0,0,2,0,1.000,1.000,1.250,2.250,0,0,0,0,0,0,,1.11,0.093,1.18,0.06%,1.00,4.00,6.00,7,PH DH
3,1143,4,2024-03-31,ARI,,COL,W 5-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,.714,.778,.857,1.635,1,0,0,0,0,0,.333,0.32,-0.002,0.32,0.00%,-0.22,3.00,3.00,5,DH
4,1144,5,2024-04-01,ARI,,NYY,L 2-5,CG,4,2,0,0,0,0,0,0,0,0,2,0,.556,.692,.667,1.359,0,0,0,0,0,0,.000,0.61,-0.010,0.59,-0.01%,-0.01,4.00,6.00,5,DH
5,1145,7,2024-04-03,ARI,,NYY,L 5-6 (11),10-11,1,1,0,0,0,0,0,0,0,0,0,0,.500,.643,.600,1.243,0,0,0,0,0,0,.000,3.23,-0.079,3.17,-0.05%,-0.19,0.00,0.00,8,PH
6,1146,8,2024-04-05,ARI,@,ATL,L 5-6 (10),CG(10),5,4,1,2,0,0,0,0,0,0,1,0,.500,.632,.571,1.203,2,0,0,0,0,0,.500,0.46,0.028,0.45,0.02%,0.42,10.00,12.20,5,DH
7,1147,9,2024-04-06,ARI,@,ATL,L 8-9,9-GF,1,0,0,0,0,0,0,0,0,0,0,0,.500,.632,.571,1.203,0,0,0,1,0,0,,3.88,-0.060,3.70,-0.03%,-0.21,0.00,0.00,6,PH DH
8,1148,11,2024-04-08,ARI,@,COL,L 5-7,8-8,1,1,0,0,0,0,0,0,0,0,0,0,.467,.600,.533,1.133,0,0,0,0,0,0,.000,1.26,-0.037,1.14,-0.02%,-0.25,0.00,0.00,7,PH
9,1149,12,2024-04-09,ARI,@,COL,W 3-2,GS-9,4,4,0,0,0,0,0,0,0,0,0,0,.368,.500,.421,.921,0,1,0,0,0,0,.000,1.33,-0.171,1.16,-0.09%,-2.01,0.00,0.00,3,DH
10,1150,13,2024-04-10,ARI,@,COL,W 5-3,8-8,1,0,0,0,0,0,0,0,0,0,1,0,.368,.520,.421,.941,0,0,0,0,0,0,,1.01,0.026,0.93,0.01%,0.13,2.00,3.00,7,PH
11,1151,14,2024-04-12,ARI,,STL,L 6-9,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.350,.500,.400,.900,0,0,0,0,0,0,.000,0.93,-0.024,0.87,-0.01%,-0.24,0.00,0.00,8,PH DH
12,1152,15,2024-04-13,ARI,,STL,W 4-2,CG,4,3,0,1,0,0,0,1,0,0,0,0,.348,.467,.391,.858,1,0,0,0,1,0,.250,0.92,0.001,0.81,0.00%,0.26,5.00,6.50,5,DH
13,1153,16,2024-04-14,ARI,,STL,W 5-0,CG,4,3,1,1,1,0,0,0,0,0,1,0,.346,.471,.423,.894,2,0,0,0,0,0,.333,0.88,0.093,0.80,0.05%,0.50,9.00,12.20,5,DH
14,1154,17,2024-04-15,ARI,,CHC,L 2-3 (11),GS-9,4,3,0,0,0,0,0,0,0,0,1,1,.310,.447,.379,.827,0,0,0,0,0,0,.000,1.35,-0.031,1.28,-0.02%,-0.43,2.00,3.00,5,DH
15,1155,18,2024-04-16,ARI,,CHC,W 12-11 (10),GS-10,5,2,3,1,0,0,1,2,0,0,1,0,.323,.465,.484,.949,4,0,1,0,1,0,.000,1.61,0.008,1.51,0.00%,0.75,24.00,34.60,5,DH
16,1156,19,2024-04-17,ARI,,CHC,L 3-5,6-GF,2,2,1,1,0,0,1,1,0,0,0,0,.333,.467,.576,1.042,4,0,0,0,0,0,.000,1.35,-0.034,1.30,-0.02%,0.64,14.00,18.70,7,PH DH
17,1157,20,2024-04-18,ARI,@,SFG,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.297,.429,.514,.942,0,0,0,0,0,0,.000,1.21,-0.096,1.14,-0.05%,-0.84,0.00,0.00,3,DH
18,1158,22,2024-04-20,ARI,@,SFG,L 3-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.289,.420,.500,.920,0,0,0,0,0,0,,0.04,-0.001,0.04,0.00%,-0.10,0.00,0.00,8,PH
19,1159,23,2024-04-21,ARI,@,SFG,W 5-3,CG,4,2,1,1,1,0,0,0,0,0,1,0,.300,.444,.525,.969,2,0,1,0,0,0,.500,1.23,0.117,1.18,0.07%,0.75,11.00,15.20,4,DH
20,1160,24,2024-04-22,ARI,@,STL,L 3-5,CG,4,3,1,2,1,0,0,0,0,0,1,1,.326,.466,.558,1.024,3,0,0,0,0,0,1.000,0.72,0.090,0.68,0.05%,0.98,12.00,15.20,5,DH
21,1161,26,2024-04-24,ARI,@,STL,L 1-5,CG,4,3,0,1,0,0,0,0,0,0,0,1,.326,.468,.543,1.011,1,0,1,0,0,0,.500,1.44,0.082,1.33,0.05%,0.65,5.00,6.00,3,DH
22,1162,27,2024-04-26,ARI,@,SEA,L 1-6,CG,4,1,0,0,0,0,0,0,0,0,2,1,.319,.485,.532,1.017,0,0,1,0,0,0,,0.83,0.088,0.68,0.04%,1.12,6.00,9.00,2,DH
23,1163,28,2024-04-27,ARI,@,SEA,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,3,.294,.457,.490,.947,0,0,0,0,0,0,.000,0.99,-0.093,0.76,-0.04%,-0.71,0.00,0.00,5,DH
24,1164,29,2024-04-28,ARI,@,SEA,W 3-2,GS-9,3,3,1,1,1,0,0,0,0,0,0,1,.296,.452,.500,.952,2,0,0,0,0,0,.500,1.21,0.019,0.86,0.01%,-0.11,7.00,9.20,5,DH
25,1165,30,2024-04-29,ARI,,LAD,L 4-8,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.291,.446,.491,.937,0,0,0,0,0,0,,0.45,-0.012,0.41,-0.01%,-0.24,0.00,0.00,1,PH DH
26,1166,31,2024-04-30,ARI,,LAD,W 4-3 (10),CG(10),4,4,1,1,1,0,0,0,0,0,0,2,.288,.436,.492,.927,2,0,0,0,0,0,.500,1.57,0.012,1.34,0.01%,-0.49,7.00,9.20,5,DH
27,1167,32,2024-05-01,ARI,,LAD,L 0-8,CG,4,4,0,3,0,0,0,0,0,0,0,0,.317,.451,.508,.959,3,0,0,0,0,0,.750,0.25,0.036,0.23,0.02%,0.28,9.00,9.00,5,DH
28,1168,33,2024-05-03,ARI,,SDP,L 1-7,CG,3,3,1,1,1,0,0,0,0,0,0,1,.318,.447,.515,.962,2,0,0,0,0,0,.500,0.41,-0.011,0.33,-0.01%,0.28,7.00,9.20,5,DH
29,1169,34,2024-05-04,ARI,,SDP,L 1-13,CG,4,4,0,0,0,0,0,0,0,0,0,0,.300,.427,.486,.913,0,0,0,0,0,0,.000,0.67,-0.047,0.51,-0.02%,-0.99,0.00,0.00,5,DH
30,1170,35,2024-05-05,ARI,,SDP,W 11-4,CG,4,4,1,1,0,0,1,2,0,0,0,1,.297,.419,.514,.933,4,0,0,0,0,0,.000,0.54,0.005,0.36,0.00%,0.85,16.00,22.20,5,DH
31,1171,36,2024-05-07,ARI,@,CIN,W 6-2,CG,4,4,0,1,1,0,0,0,0,0,0,3,.295,.412,.513,.925,2,0,0,0,0,0,1.000,0.43,-0.009,0.29,0.00%,-0.37,5.00,6.00,5,DH
32,1172,37,2024-05-08,ARI,@,CIN,W 4-3,CG,4,3,0,0,0,0,0,0,0,0,1,2,.284,.406,.494,.900,0,0,0,0,0,0,.000,1.32,-0.081,0.98,-0.04%,-0.80,2.00,3.00,3,DH
33,1173,38,2024-05-09,ARI,@,CIN,W 5-4,CG,5,5,2,3,0,0,1,1,1,0,0,2,.302,.415,.535,.950,6,0,0,0,0,0,1.000,0.93,0.111,0.73,0.05%,1.01,27.00,33.90,3,DH
34,1174,39,2024-05-10,ARI,@,BAL,L 2-4,8-8,1,0,0,0,0,0,0,0,0,0,0,0,.302,.421,.535,.955,0,0,1,0,0,0,,1.17,0.034,0.94,0.02%,0.20,2.00,3.00,5,PH
35,1175,40,2024-05-11,ARI,@,BAL,L 4-5 (11),9-9,1,1,0,0,0,0,0,0,0,0,0,0,.299,.417,.529,.945,0,0,0,0,0,0,.000,2.26,-0.056,1.68,-0.03%,-0.22,0.00,0.00,5,PH
36,1176,41,2024-05-12,ARI,@,BAL,W 9-2,GS-6,3,2,0,0,0,0,0,0,0,0,1,2,.292,.414,.517,.931,0,0,0,0,0,0,,1.07,-0.015,0.72,-0.01%,-0.43,2.00,3.00,3,DH
37,1177,42,2024-05-13,ARI,,CIN,W 6-5,CG,5,5,1,2,0,0,1,1,0,0,0,3,.298,.414,.543,.956,5,0,0,0,0,0,1.000,1.81,0.022,1.38,0.01%,0.91,17.00,21.70,3,DH
38,1178,43,2024-05-14,ARI,,CIN,L 2-6,CG,4,4,0,1,1,0,0,0,0,0,0,2,.296,.408,.541,.949,2,0,0,0,0,0,.500,0.41,-0.001,0.33,0.00%,-0.03,5.00,6.00,3,DH
39,1179,46,2024-05-18,ARI,,DET,L 3-8,GS-8,3,3,0,1,0,0,0,1,0,0,0,1,.297,.407,.535,.941,1,0,0,0,0,0,.500,1.17,-0.028,0.90,-0.01%,-0.11,5.00,6.50,3,DH
40,1180,47,2024-05-19,ARI,,DET,W 6-4,GS-7,3,3,0,3,1,0,0,2,0,0,0,0,.317,.421,.558,.978,4,0,0,0,0,0,1.000,1.17,0.216,0.79,0.09%,2.87,15.00,19.00,3,DH
41,1181,48,2024-05-20,ARI,@,LAD,L 4-6,GS-7,3,3,0,1,0,0,0,1,0,0,0,2,.318,.419,.551,.970,1,0,0,0,0,0,1.000,1.12,0.097,0.94,0.05%,0.66,5.00,6.50,3,DH
42,1182,49,2024-05-21,ARI,@,LAD,W 7-3,CG,5,5,1,2,0,0,1,3,0,0,0,1,.321,.418,.571,.989,5,0,0,0,0,0,.333,0.79,0.119,0.61,0.06%,1.66,21.00,28.70,3,DH
43,1183,50,2024-05-22,ARI,@,LAD,W 6-0,GS-8,3,3,0,0,0,0,0,0,0,0,0,1,.313,.409,.557,.965,0,0,0,0,0,0,.000,0.90,-0.070,0.75,-0.04%,-0.70,0.00,0.00,3,DH
44,1184,52,2024-05-25,ARI,,MIA,W 3-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.303,.397,.538,.935,0,0,0,0,0,0,.000,0.65,-0.070,0.48,-0.03%,-0.87,0.00,0.00,3,DH
45,1185,54,2024-05-28,ARI,@,TEX,L 2-4,CG,4,3,0,1,0,0,0,0,0,0,1,1,.303,.400,.533,.933,1,0,0,0,0,0,.500,0.72,0.030,0.55,0.01%,0.25,5.00,6.00,3,DH
46,1186,55,2024-05-29,ARI,@,TEX,L 1-6,GS-9,4,2,0,1,0,0,0,0,0,0,2,0,.306,.409,.532,.942,1,0,0,0,0,0,.500,0.79,0.044,0.55,0.02%,0.27,7.00,9.00,3,DH
47,1187,56,2024-05-30,ARI,@,NYM,L 2-3,GS-8,3,2,0,0,0,0,0,0,0,0,0,0,.302,.404,.524,.928,0,0,0,0,0,0,.000,0.77,-0.039,0.52,-0.02%,-0.45,0.00,0.00,3,DH
48,1188,57,2024-05-31,ARI,@,NYM,L 9-10,CG,5,4,2,2,0,0,1,4,1,0,0,2,.308,.406,.546,.953,5,0,0,0,0,0,1.000,1.16,0.164,0.68,0.06%,4.02,30.00,41.40,3,DH
49,1189,59,2024-06-02,ARI,@,NYM,W 5-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.305,.404,.542,.946,0,0,0,0,0,0,,2.15,-0.054,1.30,-0.02%,-0.23,0.00,0.00,6,PH DH
50,1190,60,2024-06-03,ARI,,SFG,W 4-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.296,.394,.526,.920,0,0,0,0,0,0,.000,1.13,-0.119,0.79,-0.05%,-1.16,0.00,0.00,3,DH
51,1191,62,2024-06-05,ARI,,SFG,L 3-9,CG,5,4,0,0,0,0,0,1,0,0,1,3,.288,.388,.511,.899,0,0,0,0,0,0,.000,1.06,-0.030,0.89,-0.02%,-0.13,4.00,6.50,3,DH
52,1192,63,2024-06-06,ARI,@,SDP,W 4-3,GS-9,4,3,0,0,0,0,0,0,0,0,1,0,.282,.385,.500,.885,0,0,0,0,0,0,.000,1.06,-0.087,0.86,-0.04%,-1.13,2.00,3.00,3,DH
53,1193,64,2024-06-07,ARI,@,SDP,L 3-10,GS-7,3,3,0,2,1,0,0,0,1,0,0,1,.290,.390,.510,.900,3,0,0,0,0,0,1.000,1.20,0.087,1.06,0.05%,0.89,13.00,15.00,3,DH
54,1194,65,2024-06-08,ARI,@,SDP,L 1-13,GS-8,3,3,0,0,0,0,0,0,0,0,0,1,.284,.383,.500,.883,0,0,0,0,0,0,.000,0.23,-0.018,0.18,-0.01%,-0.57,0.00,0.00,3,DH
55,1195,66,2024-06-09,ARI,@,SDP,W 9-3,CG,5,4,1,1,0,0,0,2,0,0,1,2,.283,.383,.493,.877,1,0,0,0,0,0,.500,0.93,0.164,0.62,0.07%,0.91,11.00,16.20,3,DH
56,1196,67,2024-06-11,ARI,,LAA,W 9-4,7-GF,2,2,0,1,0,0,0,0,0,0,0,1,.286,.385,.494,.878,1,0,0,0,0,0,1.000,0.18,-0.008,0.13,0.00%,-0.24,3.00,3.00,8,PH DH
57,1197,68,2024-06-12,ARI,,LAA,L 3-8,GS-9,3,3,0,0,0,0,0,0,0,0,0,0,.280,.378,.484,.862,0,1,0,0,0,0,.000,0.26,-0.025,0.20,-0.01%,-0.75,0.00,0.00,3,DH
58,1198,69,2024-06-13,ARI,,LAA,W 11-1,CG,5,4,2,2,0,0,1,5,0,0,1,1,.286,.384,.503,.887,5,0,0,0,0,0,.500,0.35,0.011,0.24,0.01%,3.18,29.00,41.90,3,DH
59,1199,70,2024-06-14,ARI,,CHW,W 7-1,CG,4,4,2,2,0,0,1,2,1,0,0,0,.291,.387,.521,.908,5,0,0,0,0,0,.333,0.51,0.069,0.39,0.03%,1.52,26.00,34.40,3,DH
60,1200,71,2024-06-15,ARI,,CHW,L 2-9,CG,4,3,0,0,0,0,0,1,0,0,0,0,.286,.379,.512,.891,0,0,0,0,1,0,.000,1.24,-0.112,0.96,-0.05%,-1.17,2.00,3.50,3,DH
61,1201,72,2024-06-16,ARI,,CHW,W 12-5,CG,5,2,3,1,1,0,0,2,0,0,2,1,.288,.386,.518,.904,2,0,0,0,0,0,1.000,0.54,0.089,0.40,0.04%,1.48,19.00,28.60,3,DH
62,1202,73,2024-06-18,ARI,@,WSN,W 5-0,CG,5,4,0,3,0,0,0,0,0,0,0,0,.299,.396,.523,.919,3,0,1,0,0,0,.750,0.37,-0.002,0.31,0.00%,0.49,11.00,12.00,3,DH
63,1203,74,2024-06-19,ARI,@,WSN,L 1-3,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.297,.394,.520,.914,0,0,0,0,0,0,.000,1.47,-0.037,1.29,-0.02%,-0.23,0.00,0.00,5,PH
64,1204,76,2024-06-21,ARI,@,PHI,W 5-4,CG,5,4,1,2,0,0,1,1,0,0,1,1,.302,.399,.536,.935,5,0,0,0,0,0,.500,0.45,0.067,0.37,0.03%,1.05,19.00,24.70,3,DH
65,1205,77,2024-06-22,ARI,@,PHI,L 1-12,GS-8,3,3,0,0,0,0,0,0,0,0,0,3,.297,.394,.527,.921,0,0,0,0,0,0,,0.20,-0.016,0.19,-0.01%,-0.31,0.00,0.00,3,DH
