Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,133,1,2023-03-30,SFG,@,NYY,L 0-5,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,,,,,9,C
2,134,10,2023-04-10,SFG,,LAD,L 1-9,CG,4,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,1,0,0,0,0,0,.500,0.81,-0.075,0.80,-0.04%,-0.39,7,C
3,135,12,2023-04-12,SFG,,LAD,L 5-10,CG,4,4,2,2,0,0,0,0,0,0,0,1,.375,.375,.375,.750,2,0,0,0,0,0,.667,0.33,0.006,0.32,0.00%,0.25,8,C
4,136,13,2023-04-14,SFG,@,DET,L 5-7 (11),GS-9,3,3,0,1,0,0,0,0,0,0,0,1,.364,.364,.364,.727,1,0,0,0,0,0,.500,0.95,-0.031,0.79,-0.02%,-0.22,8,C
5,137,14,2023-04-15,SFG,@,DET,L 6-7 (11),CG(11),5,5,1,2,0,0,0,0,0,0,0,1,.375,.375,.375,.750,2,0,0,0,0,0,.500,1.01,-0.091,0.81,-0.04%,-0.32,8,C
6,138,15,2023-04-17,SFG,@,MIA,L 3-4,CG,4,4,1,2,1,0,0,0,0,0,0,1,.400,.400,.450,.850,3,0,0,0,0,0,.667,1.12,0.108,0.90,0.05%,0.25,7,C
7,139,16,2023-04-18,SFG,@,MIA,L 2-4,7-GF,2,2,0,0,0,0,0,0,0,0,0,1,.364,.364,.409,.773,0,0,0,0,0,0,.000,1.34,-0.075,1.02,-0.03%,-0.52,8,PH C
8,140,17,2023-04-19,SFG,@,MIA,W 5-2 (11),CG(11),5,2,0,0,0,0,0,0,0,0,1,0,.333,.407,.375,.782,0,0,2,0,0,0,.000,1.07,0.017,0.70,0.01%,0.45,7,C
9,141,19,2023-04-21,SFG,,NYM,L 0-7,CG,3,3,0,1,0,0,0,0,0,0,0,0,.333,.400,.370,.770,1,0,0,0,0,0,.333,0.81,-0.025,0.55,-0.01%,-0.27,7,C
10,142,20,2023-04-22,SFG,,NYM,W 7-4,CG,4,3,0,0,0,0,0,0,0,0,0,1,.300,.382,.333,.716,0,0,1,0,0,0,.000,0.13,-0.011,0.08,0.00%,-0.11,7,C
11,143,21,2023-04-23,SFG,,NYM,W 5-4,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.300,.382,.333,.716,0,,0,0,,,,,,,,,9,C
12,144,22,2023-04-24,SFG,,STL,W 4-0,GS-7,3,3,0,1,1,0,0,0,0,0,0,2,.303,.378,.364,.742,2,0,0,0,0,0,1.000,1.95,0.080,1.40,0.04%,0.33,9,C
13,145,27,2023-04-30,SFG,@,SDP,L 4-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.270,.341,.324,.666,0,0,0,0,0,0,.000,0.88,-0.097,0.67,-0.04%,-1.20,8,C
14,146,29,2023-05-02,SFG,@,HOU,W 2-0,CG,4,3,0,1,0,0,0,0,0,0,1,1,.275,.356,.325,.681,1,0,0,0,0,0,.500,0.68,0.011,0.41,0.00%,0.22,7,C
15,147,30,2023-05-03,SFG,@,HOU,W 4-2,CG,3,3,1,2,1,0,0,1,0,0,0,0,.302,.375,.372,.747,3,0,0,0,0,0,.667,0.88,0.125,0.59,0.05%,1.32,8,C
16,148,31,2023-05-05,SFG,,MIL,W 6-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.277,.346,.340,.687,0,0,0,0,0,0,.000,0.67,-0.067,0.51,-0.03%,-0.80,7,C
17,149,32,2023-05-06,SFG,,MIL,W 4-1,CG,3,3,0,1,1,0,0,1,0,0,0,1,.280,.345,.360,.705,2,0,0,0,0,0,.500,0.43,0.108,0.37,0.06%,0.77,7,C
18,150,35,2023-05-09,SFG,,WSN,W 4-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.278,.339,.352,.691,1,0,0,0,0,0,.333,0.47,-0.040,0.33,-0.02%,-0.54,8,C
