Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,474,1,2021-04-01,TEX,@,KCR,L 10-14,CG,6,3,1,2,0,0,0,2,1,0,3,0,.667,.833,.667,1.500,2,0,0,0,0,0,.667,1.05,0.204,1.03,0.12%,2.97,3,RF
2,475,2,2021-04-03,TEX,@,KCR,L 4-11,CG,4,2,2,1,0,0,1,2,0,0,2,1,.600,.800,1.200,2.000,4,0,0,0,0,0,,0.51,0.168,0.47,0.09%,2.44,3,RF
3,476,3,2021-04-04,TEX,@,KCR,W 7-3,CG,5,5,1,2,0,0,0,0,0,0,0,1,.500,.667,.800,1.467,2,0,0,0,0,0,.500,0.52,0.043,0.43,0.02%,-0.14,3,RF
4,477,4,2021-04-05,TEX,,TOR,L 2-6,CG,4,3,0,0,0,0,0,0,0,0,0,3,.385,.579,.615,1.194,0,0,1,0,0,0,,0.61,-0.012,0.53,-0.01%,-0.49,3,RF
5,478,5,2021-04-06,TEX,,TOR,W 7-4,CG,4,3,0,0,0,0,0,0,0,0,1,0,.313,.522,.500,1.022,0,0,0,0,0,0,.000,0.67,-0.067,0.59,-0.04%,-0.57,3,RF
6,479,6,2021-04-07,TEX,,TOR,W 2-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.300,.481,.450,.931,1,0,0,0,0,0,.333,0.45,-0.021,0.41,-0.01%,-0.26,3,DH
7,480,7,2021-04-09,TEX,,SDP,L 0-3,CG,3,2,0,0,0,0,0,0,0,0,0,1,.273,.467,.409,.876,0,0,1,0,0,0,.000,0.51,-0.016,0.44,-0.01%,-0.15,3,RF
8,481,8,2021-04-10,TEX,,SDP,L 4-7,CG,4,4,0,1,0,0,0,0,0,0,0,3,.269,.441,.385,.826,1,0,0,0,0,0,1.000,0.79,-0.056,0.68,-0.03%,-0.33,3,RF
9,482,9,2021-04-11,TEX,,SDP,L 0-2,CG,4,2,0,0,0,0,0,0,1,0,1,0,.250,.447,.357,.805,0,0,1,0,0,0,.000,1.67,-0.039,1.32,-0.02%,0.00,3,RF
10,483,10,2021-04-12,TEX,@,TBR,L 0-1,CG,4,2,0,0,0,0,0,0,0,0,2,1,.233,.452,.333,.786,0,0,0,0,0,0,.000,1.21,0.038,0.95,0.02%,0.07,3,RF
