Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,16,1,2024-03-29,MIL,@,NYM,W 3-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,0.54,-0.034,0.52,-0.02%,-0.43,3.00,3.00,7,2B 3B
2,17,2,2024-03-30,MIL,@,NYM,W 7-6,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,.400,0,0,0,0,0,0,.000,0.22,-0.005,0.22,0.00%,-0.15,0.00,0.00,7,3B
3,18,3,2024-03-31,MIL,@,NYM,W 4-1,CG,4,3,0,0,0,0,0,0,0,0,1,1,.125,.222,.125,.347,0,0,0,0,0,0,.000,0.96,-0.080,0.94,-0.05%,-0.76,2.00,3.00,7,3B
4,19,5,2024-04-03,MIL,,MIN,L 3-7,GS-7,2,1,0,1,0,0,0,0,0,0,1,0,.222,.364,.222,.586,1,0,0,0,0,0,1.000,0.79,0.058,0.79,0.04%,0.64,5.00,6.00,8,3B
5,20,6,2024-04-05,MIL,,SEA,W 6-5,GS-9,3,2,0,1,1,0,0,1,0,0,1,0,.273,.429,.364,.792,2,0,0,0,0,0,.500,0.61,0.095,0.59,0.06%,0.89,9.00,12.50,8,3B
6,21,7,2024-04-06,MIL,,SEA,L 3-5,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.250,.400,.333,.733,0,0,0,0,0,0,.000,4.73,-0.123,4.86,-0.08%,-0.45,0.00,0.00,6,PH 3B
7,22,8,2024-04-07,MIL,,SEA,W 12-4,8-GF,1,0,1,0,0,0,0,0,0,0,1,0,.250,.438,.333,.771,0,0,0,0,0,0,,0.00,0.000,0.00,0.00%,0.39,4.00,6.20,1,2B
8,23,9,2024-04-08,MIL,@,CIN,L 8-10,CG,4,4,1,2,0,0,0,0,0,0,0,1,.313,.450,.375,.825,2,0,0,0,0,0,.667,0.61,0.012,0.70,0.01%,0.79,8.00,9.20,9,3B
9,24,10,2024-04-09,MIL,@,CIN,W 9-5,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.313,.450,.375,.825,0,,0,0,,,,,,,,,0.00,0.00,1,3B
10,25,11,2024-04-10,MIL,@,CIN,W 7-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.300,.417,.350,.767,1,0,0,0,0,0,.333,0.36,-0.012,0.42,-0.01%,-0.08,3.00,3.00,8,3B
11,26,12,2024-04-12,MIL,@,BAL,W 11-1,CG,5,5,1,3,0,1,0,2,0,0,0,1,.360,.448,.480,.928,5,0,0,0,0,0,.750,0.24,0.109,0.26,0.07%,2.50,20.00,25.20,9,3B
12,27,13,2024-04-13,MIL,@,BAL,W 11-5,6-GF,3,2,1,0,0,0,0,0,0,0,1,0,.333,.438,.444,.882,0,0,0,0,0,0,.000,0.20,-0.004,0.21,0.00%,-0.18,4.00,6.20,1,PH 3B
13,28,14,2024-04-14,MIL,@,BAL,L 4-6,CG,4,4,0,1,0,0,0,0,0,1,0,1,.323,.417,.419,.836,1,0,0,0,0,0,.333,2.03,-0.177,2.22,-0.12%,-1.16,3.00,3.00,7,3B
14,29,15,2024-04-15,MIL,,SDP,L 3-7,GS-9,3,3,1,1,0,0,0,0,0,0,0,0,.324,.410,.412,.822,1,0,0,0,0,0,.333,0.73,-0.055,0.81,-0.04%,-0.71,5.00,6.20,9,3B
15,30,16,2024-04-16,MIL,,SDP,L 3-6,GS-5,1,0,0,0,0,0,0,0,0,0,1,0,.324,.425,.412,.837,0,0,0,0,0,0,,0.92,0.039,1.01,0.03%,0.39,2.00,3.00,9,3B
16,31,17,2024-04-17,MIL,,SDP,W 1-0,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.324,.425,.412,.837,0,,0,0,,,,,,,,,0.00,0.00,5,3B
17,32,18,2024-04-19,MIL,@,STL,W 2-1 (10),8-GF(10),1,0,0,0,0,0,0,0,0,0,1,0,.324,.439,.412,.851,0,0,0,0,0,0,,0.48,0.013,0.57,0.01%,0.13,2.00,3.00,4,PH 3B
18,33,20,2024-04-21,MIL,@,STL,W 2-0,CG,3,2,0,0,0,0,0,0,0,0,1,1,.306,.432,.389,.821,0,0,0,0,0,0,.000,0.86,-0.037,1.06,-0.03%,-0.49,2.00,3.00,8,3B
19,34,21,2024-04-22,MIL,@,PIT,L 2-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.300,.417,.375,.792,1,0,0,0,0,0,.333,1.00,-0.076,1.28,-0.06%,-0.51,3.00,3.00,9,3B
20,35,22,2024-04-23,MIL,@,PIT,L 1-2,CG,3,3,0,0,0,0,0,0,0,0,0,0,.279,.392,.349,.741,0,0,0,0,0,0,.000,0.58,-0.044,0.74,-0.03%,-0.38,0.00,0.00,6,3B
21,36,23,2024-04-24,MIL,@,PIT,W 3-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.255,.364,.319,.683,0,0,0,0,0,0,.000,1.18,-0.121,1.48,-0.09%,-1.55,0.00,0.00,6,3B
22,37,24,2024-04-25,MIL,@,PIT,W 7-5,8-GF,2,2,0,0,0,0,0,0,0,0,0,0,.245,.351,.306,.657,0,0,0,0,0,0,.000,1.85,-0.149,2.27,-0.11%,-2.03,0.00,0.00,8,PH 2B
23,38,25,2024-04-26,MIL,,NYY,W 7-6 (11),CG(11),5,4,1,2,0,0,1,4,0,0,0,1,.264,.355,.377,.732,5,0,0,0,1,0,.333,2.43,0.297,2.84,0.21%,1.87,23.00,32.20,8,3B
