Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,115,58,2023-06-03,MIL,@,CIN,W 10-8,CG,4,4,1,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,.250,0.59,0.005,0.78,0.00%,-0.01,6,1B
2,116,59,2023-06-04,MIL,@,CIN,W 5-1,CG,4,3,1,0,0,0,0,0,0,0,1,2,.143,.250,.143,.393,0,0,0,0,0,0,.000,0.50,-0.019,0.68,-0.02%,-1.12,4,DH
3,117,60,2023-06-05,MIL,@,CIN,L 0-2,7-7,1,1,0,0,0,0,0,0,0,0,0,0,.125,.222,.125,.347,0,0,0,0,0,0,.000,1.51,-0.045,2.05,-0.04%,-0.35,9,PH
4,118,61,2023-06-06,MIL,,BAL,W 4-3 (10),GS-7,3,3,0,0,0,0,0,0,0,0,0,2,.091,.167,.091,.258,0,0,0,0,0,0,.000,1.20,-0.107,1.47,-0.08%,-1.07,2,1B
5,119,62,2023-06-07,MIL,,BAL,W 10-2,GS-7,3,3,1,1,1,0,0,1,0,0,0,0,.143,.200,.214,.414,2,0,0,0,0,0,.333,0.48,0.003,0.59,0.00%,0.60,5,DH
6,120,63,2023-06-08,MIL,,BAL,L 3-6,CG,4,4,0,1,0,0,0,1,0,0,0,2,.167,.211,.222,.433,1,0,0,0,0,0,.500,0.81,0.007,1.03,0.01%,-0.08,6,1B
7,121,64,2023-06-09,MIL,,OAK,L 2-5,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.158,.200,.211,.411,0,0,0,0,0,0,.000,0.20,-0.005,0.25,0.00%,-0.11,7,PH
8,122,65,2023-06-10,MIL,,OAK,L 1-2 (10),GS-9,3,3,0,0,0,0,0,0,0,0,0,0,.136,.174,.182,.356,0,0,0,0,0,0,.000,1.47,-0.118,1.74,-0.08%,-0.93,5,1B
9,123,66,2023-06-11,MIL,,OAK,L 6-8,8-8,1,0,0,0,0,0,0,0,0,0,1,0,.136,.208,.182,.390,0,0,0,0,0,0,,2.38,0.079,2.71,0.05%,0.39,7,PH
10,124,67,2023-06-13,MIL,@,MIN,L 5-7,CG,4,4,0,0,0,0,0,0,0,0,0,3,.115,.179,.154,.332,0,0,0,0,0,0,.000,0.82,-0.082,0.93,-0.06%,-0.88,5,DH
