Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,151,1,2024-03-28,HOU,,NYY,L 4-5,6-7,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,2.75,-0.075,2.68,-0.04%,-0.49,0.00,0.00,9,PH
2,152,4,2024-03-31,HOU,,NYY,L 3-4,GS-8,3,3,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,1,0,0,0,0,0,1.000,1.28,-0.034,0.99,-0.02%,-0.31,3.00,3.00,6,1B
3,153,7,2024-04-03,HOU,,TOR,W 8-0,CG,5,5,0,1,0,0,0,0,0,0,0,1,.222,.222,.222,.444,1,0,0,0,0,0,.250,1.06,-0.083,0.78,-0.04%,-1.54,3.00,3.00,6,1B
4,154,8,2024-04-05,HOU,@,TEX,L 2-10,9-GF,1,0,0,0,0,0,0,0,0,0,1,0,.222,.300,.222,.522,0,0,0,0,0,0,,0.01,0.001,0.01,0.00%,0.54,2.00,3.00,2,PH DH
5,155,9,2024-04-06,HOU,@,TEX,L 2-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.200,.273,.200,.473,0,0,0,0,0,0,.000,0.06,-0.002,0.05,0.00%,-0.15,0.00,0.00,9,PH
6,156,10,2024-04-07,HOU,@,TEX,W 3-1,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,.154,.214,.154,.368,0,0,0,0,0,0,.000,0.40,-0.030,0.29,-0.01%,-0.41,0.00,0.00,6,1B
7,157,12,2024-04-09,HOU,@,KCR,L 3-4 (10),8-8,1,1,0,0,0,0,0,0,0,0,0,0,.143,.200,.143,.343,0,0,0,0,0,0,.000,1.85,-0.047,1.44,-0.02%,-0.24,0.00,0.00,9,PH
8,158,13,2024-04-10,HOU,@,KCR,L 2-11,7-GF,2,2,0,1,0,0,0,0,0,0,0,1,.188,.235,.188,.423,1,0,0,0,0,0,1.000,0.03,-0.001,0.03,0.00%,0.05,3.00,3.00,2,PH DH
9,159,14,2024-04-11,HOU,@,KCR,L 3-13,CG,5,3,0,1,1,0,0,0,0,0,2,1,.211,.318,.263,.581,2,0,0,0,0,0,.500,0.15,-0.008,0.11,0.00%,-0.08,9.00,12.00,6,1B
10,160,15,2024-04-12,HOU,,TEX,L 8-12,CG,5,4,1,1,1,0,0,0,0,0,1,2,.217,.333,.304,.638,2,0,0,0,0,0,.500,0.36,-0.022,0.26,-0.01%,-0.34,9.00,12.20,5,1B
11,161,16,2024-04-13,HOU,,TEX,W 9-2,CG,5,5,1,2,0,0,0,0,0,0,0,1,.250,.344,.321,.665,2,0,0,0,0,0,.500,1.72,-0.093,1.10,-0.04%,-1.23,8.00,9.20,6,DH
12,162,19,2024-04-16,HOU,,ATL,L 2-6,GS-9,3,3,0,1,0,0,0,0,0,0,0,1,.258,.343,.323,.665,1,0,0,0,0,0,.500,1.18,-0.033,0.72,-0.01%,-0.26,3.00,3.00,7,1B
13,163,20,2024-04-17,HOU,,ATL,L 4-5 (10),8-GF(10),1,1,0,0,0,0,0,0,0,0,0,1,.250,.333,.313,.646,0,0,0,0,0,0,,1.37,-0.034,0.77,-0.01%,-0.15,0.00,0.00,8,PH 1B
14,164,23,2024-04-21,HOU,@,WSN,L 0-6,CG,3,3,0,0,0,0,0,0,0,0,0,0,.229,.308,.286,.593,0,0,0,0,0,0,.000,0.66,-0.051,0.36,-0.02%,-0.74,0.00,0.00,7,1B
15,165,25,2024-04-24,HOU,@,CHC,L 3-4,GS-8,4,4,1,2,0,0,0,0,0,0,0,1,.256,.326,.308,.633,2,0,0,0,0,0,.667,1.45,-0.048,0.67,-0.01%,0.05,8.00,9.20,7,1B
16,166,26,2024-04-25,HOU,@,CHC,L 1-3,CG,4,3,0,0,0,0,0,0,0,0,1,1,.238,.319,.286,.605,0,0,0,0,0,0,.000,1.24,-0.088,0.52,-0.02%,-0.55,2.00,3.00,7,1B
17,167,29,2024-04-30,HOU,,CLE,W 10-9 (10),CG(10),5,4,2,1,0,0,1,3,0,0,1,0,.239,.327,.348,.675,4,0,0,0,0,0,.000,1.76,-0.044,0.81,-0.01%,0.98,22.00,31.90,8,1B
18,168,30,2024-05-01,HOU,,CLE,L 2-3 (10),GS-9,3,2,0,1,0,0,0,0,0,0,1,0,.250,.345,.354,.700,1,0,0,0,0,0,.500,0.81,0.065,0.40,0.02%,0.41,5.00,6.00,6,1B
19,169,31,2024-05-02,HOU,,CLE,W 8-2,CG,4,3,2,2,0,0,1,3,0,0,0,0,.275,.356,.431,.787,5,0,0,0,1,0,.333,1.78,0.436,0.80,0.12%,2.66,23.00,31.90,7,1B
20,170,32,2024-05-03,HOU,,SEA,W 5-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.255,.333,.400,.733,0,0,0,0,0,0,.000,1.60,-0.083,0.84,-0.03%,-0.89,0.00,0.00,7,1B
