Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,59,56,2023-05-29,OAK,,ATL,W 7-2,GS-8,3,3,1,2,0,0,0,0,0,0,0,0,.667,.667,.667,1.333,2,0,0,0,0,0,.667,0.93,0.080,0.00,0.00%,0.41,9,3B
2,60,57,2023-05-30,OAK,,ATL,W 2-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.286,.286,.286,.571,0,0,0,0,0,0,.000,2.66,0.050,0.00,0.00%,0.13,7,3B
3,61,58,2023-05-31,OAK,,ATL,L 2-4,CG,3,3,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,.400,0,0,0,0,0,0,.000,0.98,-0.074,0.00,0.00%,-0.56,7,3B
4,62,59,2023-06-02,OAK,@,MIA,L 0-4,CG,3,2,0,0,0,0,0,0,0,0,1,2,.167,.231,.167,.397,0,0,0,0,0,0,,0.75,-0.056,0.00,0.00%,-0.45,7,3B
5,63,61,2023-06-04,OAK,@,MIA,L 5-7,9-9,0,0,0,0,0,0,0,0,0,0,0,0,.167,.231,.167,.397,0,,0,0,,,,,,,,,4,PH
6,64,62,2023-06-05,OAK,@,PIT,L 4-5,CG,4,3,0,1,0,0,0,0,0,0,0,1,.200,.294,.200,.494,1,0,1,0,0,0,.500,1.38,0.034,0.00,0.00%,0.24,7,3B
7,65,63,2023-06-06,OAK,@,PIT,W 11-2,CG,5,4,1,2,1,0,0,1,0,0,0,0,.263,.364,.316,.679,3,1,1,0,0,0,.500,0.95,-0.029,0.00,0.00%,0.36,9,3B
8,66,64,2023-06-07,OAK,@,PIT,W 9-5,CG,5,4,1,2,0,0,0,1,0,0,1,0,.304,.407,.348,.755,2,0,0,0,0,0,.500,0.33,0.043,0.00,0.00%,1.40,6,3B
9,67,65,2023-06-09,OAK,@,MIL,W 5-2,CG,4,3,0,1,0,0,0,2,0,0,0,1,.308,.387,.346,.733,1,0,0,0,1,0,.333,0.75,0.058,0.00,0.00%,0.43,6,3B
10,68,66,2023-06-10,OAK,@,MIL,W 2-1 (10),GS-10,4,2,0,0,0,0,0,0,0,0,1,1,.286,.400,.321,.721,0,0,1,0,0,0,.000,1.63,-0.123,0.00,0.00%,-0.44,6,3B
11,69,68,2023-06-12,OAK,,TBR,W 4-3,CG,3,2,1,1,0,0,0,0,0,0,1,0,.300,.421,.333,.754,1,0,0,0,0,0,.500,0.91,0.071,0.00,0.00%,0.63,6,3B
12,70,69,2023-06-13,OAK,,TBR,W 2-1,CG,4,3,0,0,0,0,0,0,0,0,0,1,.273,.390,.303,.693,0,0,0,1,0,0,.000,1.75,-0.134,0.00,0.00%,-1.17,5,3B
13,71,70,2023-06-14,OAK,,TBR,L 3-6,CG,4,2,1,0,0,0,0,0,0,0,2,0,.257,.400,.286,.686,0,0,0,0,0,0,.000,1.91,-0.003,0.00,0.00%,-0.03,6,3B
14,72,71,2023-06-15,OAK,,TBR,L 3-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.250,.391,.278,.669,0,0,0,0,0,0,.000,3.43,-0.087,0.01,0.00%,-0.23,8,PH
15,73,72,2023-06-16,OAK,,PHI,L 1-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.225,.360,.250,.610,0,0,0,0,0,0,.000,0.54,-0.055,0.00,0.00%,-0.64,5,3B
16,74,73,2023-06-17,OAK,,PHI,L 2-3 (12),GS-9,3,3,0,0,0,0,0,0,0,0,0,2,.209,.340,.233,.572,0,0,0,0,0,0,.000,1.53,-0.125,0.00,0.00%,-0.98,5,3B
17,75,74,2023-06-18,OAK,,PHI,L 2-3,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.205,.333,.227,.561,0,0,0,0,0,0,,2.41,-0.068,0.00,0.00%,-0.22,7,PH 3B
18,76,77,2023-06-22,OAK,@,CLE,L 1-6,GS-7,2,1,0,1,0,0,0,0,0,0,1,0,.222,.357,.244,.602,1,0,0,0,0,0,1.000,1.30,0.040,0.00,0.00%,0.40,7,3B
19,77,80,2023-06-25,OAK,@,TOR,L 1-12,GS-8,2,2,0,0,0,0,0,0,0,0,0,0,.213,.345,.234,.579,0,0,0,0,0,0,.000,0.55,-0.030,0.00,0.00%,-0.40,8,3B
20,78,82,2023-06-28,OAK,,NYY,L 0-11,CG,3,3,0,0,0,0,0,0,0,0,0,2,.200,.328,.220,.548,0,0,0,0,0,0,.000,0.16,-0.013,0.00,0.00%,-0.30,6,3B
21,79,83,2023-06-29,OAK,,NYY,L 4-10,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.196,.323,.216,.538,0,0,0,0,0,0,.000,0.21,-0.005,0.00,0.00%,-0.41,6,PH 3B
22,80,100,2023-07-21,OAK,,HOU,L 4-6,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,.189,.313,.208,.520,0,0,0,0,0,0,.000,0.99,-0.047,0.00,0.00%,-0.39,7,DH
23,81,110,2023-08-03,OAK,@,LAD,L 2-8,GS-6,2,2,0,1,1,0,0,0,0,0,0,0,.200,.318,.236,.555,2,0,0,0,0,0,.500,0.67,0.002,0.00,0.00%,-0.02,1,DH
24,82,111,2023-08-05,OAK,,SFG,W 2-1,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.196,.313,.232,.546,0,0,0,0,0,0,.000,3.18,-0.163,0.00,0.00%,-0.80,2,PH 1B
25,83,113,2023-08-07,OAK,,TEX,L 3-5,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.193,.309,.228,.537,0,0,0,0,0,0,.000,1.53,-0.044,0.00,0.00%,-0.22,1,PH DH
26,84,114,2023-08-08,OAK,,TEX,L 1-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.190,.304,.224,.528,0,0,0,0,0,0,.000,0.08,-0.002,0.00,0.00%,-0.16,4,PH
27,85,115,2023-08-09,OAK,,TEX,W 2-0,GS-7,3,2,0,0,0,0,0,1,0,0,0,0,.183,.292,.217,.508,0,0,0,0,1,0,.000,1.14,-0.020,0.00,0.00%,-0.30,2,3B
28,86,118,2023-08-13,OAK,@,WSN,L 7-8,GS-8,4,4,0,0,0,0,0,0,0,0,0,2,.172,.276,.203,.479,0,0,0,0,0,0,.000,0.33,-0.041,0.00,0.00%,-0.82,8,3B 1B
29,87,121,2023-08-16,OAK,@,STL,W 8-0,GS-5,2,1,0,0,0,0,0,0,0,0,1,0,.169,.282,.200,.482,0,1,0,0,0,0,.000,0.79,-0.033,0.00,0.00%,-0.83,7,1B
30,88,123,2023-08-19,OAK,,BAL,L 2-7 (10),GS-6,2,2,0,0,0,0,0,0,0,0,0,0,.164,.275,.194,.469,0,0,0,0,0,0,.000,0.71,-0.035,0.00,0.00%,-0.31,7,3B
31,89,124,2023-08-20,OAK,,BAL,L 1-12,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.162,.272,.191,.463,0,1,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.77,3,1B
32,90,126,2023-08-22,OAK,,KCR,W 5-4,GS-4,2,1,1,0,0,0,0,0,0,0,0,1,.159,.277,.188,.466,0,0,1,0,0,0,,0.62,0.026,0.00,0.00%,0.28,1,DH
33,91,127,2023-08-23,OAK,,KCR,L 0-4,GS-8,3,3,0,1,0,0,0,0,0,0,0,1,.167,.279,.194,.474,1,0,0,0,0,0,.500,0.92,0.001,0.00,0.00%,0.03,1,DH
34,92,128,2023-08-24,OAK,@,CHW,W 8-5,CG,4,3,0,0,0,0,0,0,0,1,1,1,.160,.278,.187,.464,0,0,0,0,0,0,.000,0.86,-0.085,0.00,0.00%,-0.93,8,3B
35,93,129,2023-08-25,OAK,@,CHW,W 12-4,CG,5,4,2,1,1,0,0,0,0,0,1,1,.165,.284,.203,.487,2,0,0,0,0,0,.333,0.67,0.009,0.00,0.00%,-0.17,8,3B
36,94,130,2023-08-26,OAK,@,CHW,L 2-6,CG,4,4,0,1,0,0,0,1,0,0,0,1,.169,.283,.205,.488,1,0,0,0,0,0,.333,0.51,-0.025,0.00,0.00%,0.21,8,3B
37,95,134,2023-08-30,OAK,@,SEA,L 4-5,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.169,.283,.205,.488,0,,0,0,,,,,,,,,5,3B
38,96,135,2023-09-01,OAK,,LAA,W 9-2,GS-6,2,2,1,1,0,0,0,1,0,0,0,1,.176,.287,.212,.499,1,0,0,0,0,0,1.000,1.73,0.021,0.00,0.00%,0.32,8,3B
39,97,137,2023-09-03,OAK,,LAA,W 10-6,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.174,.284,.209,.494,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.10,5,PH DH
40,98,140,2023-09-06,OAK,,TOR,W 5-2,GS-8,3,2,0,0,0,0,0,0,0,0,1,1,.170,.286,.205,.490,0,0,0,0,0,0,.000,0.67,-0.013,0.00,0.00%,-0.25,7,1B
,,,,,,,17-23,,106,88,9,15,3,0,0,7,0,1,11,22,.170,.286,.205,.490,18,3,4,1,2,0,.221,1.02,-0.875,0.00,0.00%,-7.07,,
