Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,56,1,2025-03-28,COL,@,TBR,L 2-3,CG,4,3,1,0,0,0,0,0,2,0,1,1,.000,.250,.000,.250,0,0,0,0,0,0,.000,1.24,0.107,1.06,0.06%,0.39,14.00,18.20,9,LF
2,57,2,2025-03-29,COL,@,TBR,W 2-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,.167,.286,.167,.452,1,0,0,0,0,0,.333,0.88,0.006,0.72,0.00%,-0.03,3.00,3.00,9,LF
3,58,3,2025-03-30,COL,@,TBR,L 4-6,GS-7,3,3,0,0,0,0,0,0,0,0,0,1,.111,.200,.111,.311,0,1,0,0,0,0,.000,1.18,-0.144,1.05,-0.08%,-1.28,0.00,0.00,7,LF
4,59,4,2025-03-31,COL,@,PHI,L 1-6,CG,4,3,0,1,0,0,0,0,0,0,1,2,.167,.286,.167,.452,1,0,0,0,0,0,1.000,0.55,0.022,0.46,0.01%,-0.07,5.00,6.00,9,LF
5,60,5,2025-04-02,COL,@,PHI,L 1-5,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.154,.267,.154,.421,0,0,0,0,0,0,,1.99,-0.048,1.64,-0.02%,-0.30,0.00,0.00,9,PH LF
6,61,6,2025-04-03,COL,@,PHI,L 1-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.154,.267,.154,.421,0,,0,0,,,,,,,,,0.00,0.00,8,PR
7,62,7,2025-04-04,COL,,ATH,L 3-6 (11),CG(11),5,4,0,1,0,0,0,1,1,0,1,3,.176,.300,.176,.476,1,0,0,0,0,0,1.000,2.73,0.073,1.84,0.03%,-0.20,12.00,15.50,8,LF
8,63,8,2025-04-05,COL,,ATH,L 4-7,GS-9,3,3,0,0,0,0,0,0,0,0,0,0,.150,.261,.150,.411,0,0,0,0,0,0,.000,0.92,-0.067,0.57,-0.03%,-0.87,0.00,0.00,9,LF
9,64,9,2025-04-06,COL,,ATH,W 12-5,8-GF,0,0,1,0,0,0,0,0,0,0,0,0,.150,.261,.150,.411,0,,0,0,,,,,0.000,,0.00%,0.00,2.00,3.20,7,PR LF
10,65,19,2025-04-19,COL,,WSN,L 11-12,CG,5,4,1,1,0,1,0,3,0,0,1,3,.167,.286,.250,.536,3,0,0,0,0,0,1.000,1.73,-0.057,0.52,-0.01%,2.12,18.00,25.70,8,LF
11,66,21,2025-04-20 (2),COL,,WSN,W 3-1,CG,4,4,1,1,0,0,0,0,0,0,0,2,.179,.281,.250,.531,1,0,0,0,0,0,.500,0.90,-0.059,0.21,-0.01%,-0.37,5.00,6.20,6,LF
12,67,22,2025-04-22,COL,@,KCR,L 3-4 (11),GS-8,2,2,0,0,0,0,0,0,0,0,0,1,.167,.265,.233,.498,0,0,0,0,0,0,.000,1.10,-0.052,0.26,-0.01%,-0.47,0.00,0.00,8,LF
13,68,23,2025-04-24 (1),COL,@,KCR,L 4-7,CG,3,3,1,2,0,0,1,1,0,0,0,0,.212,.297,.364,.661,5,0,0,0,0,0,.500,0.61,0.101,0.13,0.01%,0.97,17.00,21.70,8,LF
14,69,24,2025-04-24 (2),COL,@,KCR,L 2-6,CG,4,3,2,2,0,0,2,2,0,0,1,1,.250,.341,.556,.897,8,0,0,0,0,0,,0.48,0.048,0.10,0.01%,2.03,30.00,40.40,5,LF
15,70,25,2025-04-25,COL,,CIN,L 7-8,CG,5,3,2,2,0,0,2,2,1,0,2,1,.282,.391,.718,1.109,8,0,0,0,0,0,,1.03,0.283,0.19,0.03%,2.51,37.00,49.40,1,LF
16,71,26,2025-04-26,COL,,CIN,L 4-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.256,.360,.651,1.011,0,0,0,0,0,0,.000,1.34,-0.143,0.23,-0.02%,-0.98,0.00,0.00,2,LF
17,72,27,2025-04-27,COL,,CIN,L 1-8,CG,4,3,0,1,0,0,0,1,0,0,0,2,.261,.352,.630,.982,1,0,0,0,1,0,.500,0.48,-0.044,0.07,0.00%,-0.28,5.00,6.50,2,LF
18,73,28,2025-04-28,COL,,ATL,L 3-6,CG,4,4,1,2,2,0,0,0,0,0,0,0,.280,.362,.660,1.022,4,0,0,0,0,0,.500,0.82,0.122,0.09,0.01%,1.31,12.00,15.20,2,LF
19,74,29,2025-04-29,COL,,ATL,L 2-8,CG,4,3,1,1,0,0,0,0,0,0,1,0,.283,.371,.642,1.012,1,0,0,0,0,0,.333,0.61,0.009,0.06,0.00%,0.16,7.00,9.20,2,LF
20,75,30,2025-04-30,COL,,ATL,W 2-1,CG,3,3,0,0,0,0,0,0,0,0,0,3,.268,.354,.607,.961,0,0,0,0,0,0,,0.70,-0.074,0.05,0.00%,-0.85,0.00,0.00,2,LF
21,76,31,2025-05-01,COL,@,SFG,W 4-3,CG,4,4,1,1,1,0,0,1,0,1,0,0,.267,.348,.600,.948,2,0,0,0,0,0,.250,1.50,0.176,0.13,0.01%,0.35,9.00,12.70,2,LF
22,77,32,2025-05-02,COL,@,SFG,L 0-4,CG,4,4,0,1,0,0,0,0,0,0,0,2,.266,.342,.578,.921,1,0,0,0,0,0,.500,0.41,-0.012,0.04,0.00%,-0.19,3.00,3.00,2,LF
23,78,33,2025-05-03,COL,@,SFG,L 3-6,CG,4,4,1,1,0,0,0,0,0,0,0,2,.265,.338,.559,.896,1,0,0,0,0,0,.500,1.07,0.045,0.09,0.00%,0.14,5.00,6.20,2,LF
24,79,34,2025-05-04,COL,@,SFG,L 3-9,CG,5,5,1,1,0,1,0,0,0,0,0,1,.260,.329,.562,.891,3,0,0,0,0,0,.250,0.56,-0.072,0.04,0.00%,-0.23,10.00,12.20,2,LF
25,80,35,2025-05-07,COL,,DET,L 6-8 (10),CG(10),5,5,1,2,0,0,0,1,0,1,0,0,.269,.333,.551,.885,2,0,0,0,0,0,.400,1.22,0.004,0.06,0.00%,0.21,10.00,12.70,2,LF
26,81,36,2025-05-08 (1),COL,,DET,L 2-10,CG,4,4,1,1,0,1,0,0,0,0,0,2,.268,.330,.561,.891,3,0,0,0,0,0,.500,0.43,-0.040,0.01,0.00%,0.12,10.00,12.20,2,LF
27,82,37,2025-05-08 (2),COL,,DET,L 1-11,CG,4,4,0,1,0,0,0,0,0,0,0,0,.267,.326,.547,.873,1,0,0,0,0,0,.250,0.50,-0.021,0.02,0.00%,-0.33,3.00,3.00,2,LF
28,83,38,2025-05-09,COL,,SDP,L 9-13,CG,5,5,1,1,0,0,1,1,0,0,0,0,.264,.320,.560,.880,4,0,0,0,0,0,.000,0.35,-0.041,0.01,0.00%,-0.20,14.00,18.70,2,LF
29,84,39,2025-05-10,COL,,SDP,L 0-21,CG,4,4,0,1,0,0,0,0,0,0,0,1,.263,.317,.547,.865,1,0,0,0,0,0,.333,0.14,-0.013,0.00,0.00%,-0.27,3.00,3.00,2,LF
30,85,40,2025-05-11,COL,,SDP,W 9-3,CG,5,4,2,2,1,0,0,0,0,0,0,1,.273,.330,.556,.886,3,0,1,0,0,0,.667,0.47,0.083,0.01,0.00%,0.82,14.00,18.40,2,LF
31,86,41,2025-05-12,COL,@,TEX,L 1-2,CG,4,3,0,0,0,0,0,0,0,0,1,2,.265,.327,.539,.867,0,0,0,0,0,0,.000,0.87,-0.024,0.02,0.00%,-0.02,2.00,3.00,2,LF
32,87,42,2025-05-13,COL,@,TEX,L 1-4,CG,4,4,1,1,0,0,0,0,1,0,0,0,.264,.325,.528,.853,1,0,0,0,0,0,.250,0.69,-0.017,0.01,0.00%,-0.06,10.00,12.20,2,LF
33,88,43,2025-05-14,COL,@,TEX,L 3-8,CG,4,3,0,0,0,0,0,0,0,0,1,1,.257,.322,.514,.836,0,0,0,0,0,0,.000,0.71,-0.067,0.01,0.00%,-0.60,2.00,3.00,3,LF
34,89,44,2025-05-16,COL,@,ARI,L 0-8,CG,4,3,0,0,0,0,0,0,0,0,1,1,.250,.320,.500,.820,0,0,0,0,0,0,.000,0.38,-0.029,0.00,0.00%,-0.46,2.00,3.00,1,LF
35,90,45,2025-05-17,COL,@,ARI,W 14-12,CG,6,5,4,3,0,1,2,3,0,0,1,0,.265,.336,.573,.909,11,0,0,0,0,0,.333,0.95,0.400,0.01,0.00%,3.25,44.00,59.30,1,LF
36,91,46,2025-05-18,COL,@,ARI,L 0-1,CG,4,4,0,1,1,0,0,0,0,0,0,2,.264,.333,.570,.904,2,0,0,0,0,0,.500,1.65,-0.032,0.01,0.00%,-0.16,5.00,6.00,1,LF
37,92,47,2025-05-19,COL,,PHI,L 3-9,CG,4,4,1,1,1,0,0,0,0,0,0,1,.264,.331,.568,.899,2,0,0,0,0,0,.333,0.77,-0.052,0.00,0.00%,-0.53,7.00,9.20,1,LF
38,93,48,2025-05-20,COL,,PHI,L 4-7,CG,5,5,0,0,0,0,0,0,0,0,0,3,.254,.319,.546,.866,0,0,0,0,0,0,.000,0.64,-0.087,0.00,0.00%,-1.29,0.00,0.00,1,LF
39,94,49,2025-05-21,COL,,PHI,L 5-9,CG,5,5,1,2,0,0,0,0,0,0,0,1,.259,.322,.541,.863,2,0,0,0,0,0,.500,0.71,0.027,0.00,0.00%,-0.30,8.00,9.20,1,LF
40,95,50,2025-05-22,COL,,PHI,L 0-2,CG,5,5,0,2,1,0,0,0,1,0,0,1,.264,.325,.543,.868,3,0,0,0,0,0,.500,0.90,-0.011,0.00,0.00%,-0.15,13.00,15.00,1,LF
41,96,51,2025-05-23,COL,,NYY,W 3-2,CG,4,4,0,2,0,0,0,0,0,1,0,2,.271,.329,.542,.871,2,0,0,0,0,0,1.000,0.93,0.003,0.00,0.00%,0.15,6.00,6.00,1,LF
42,97,52,2025-05-24,COL,,NYY,L 1-13,CG,4,4,0,1,0,0,0,0,0,1,0,2,.270,.327,.534,.861,1,0,0,0,0,0,.500,0.72,-0.056,0.00,0.00%,-1.08,3.00,3.00,1,LF
43,98,53,2025-05-25,COL,,NYY,L 4-5,CG,5,5,1,2,1,0,0,0,0,0,0,1,.275,.329,.536,.865,3,0,0,0,0,0,.500,1.73,0.180,0.00,0.00%,1.19,10.00,12.20,1,LF
44,99,54,2025-05-26,COL,@,CHC,L 1-3,CG,4,3,0,1,0,0,0,0,0,0,1,2,.276,.333,.532,.865,1,0,0,0,0,0,1.000,1.25,0.063,0.00,0.00%,0.28,5.00,6.00,1,LF
45,100,55,2025-05-27,COL,@,CHC,L 3-4 (11),CG(11),5,4,1,0,0,0,0,0,1,0,0,2,.269,.330,.519,.848,0,0,1,0,0,0,.000,1.78,-0.132,0.00,0.00%,-0.46,9.00,12.20,1,LF
46,101,56,2025-05-28,COL,@,CHC,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.262,.322,.506,.828,0,0,0,0,0,0,.000,1.50,-0.152,0.00,0.00%,-1.00,0.00,0.00,1,LF
47,102,57,2025-05-30,COL,@,NYM,L 2-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,.262,.321,.500,.821,1,0,0,0,0,0,.250,0.96,-0.016,0.00,0.00%,-0.09,3.00,3.00,1,LF
48,103,58,2025-05-31,COL,@,NYM,L 2-8,CG,4,3,0,0,0,0,0,0,0,0,1,2,.257,.319,.491,.810,0,0,0,0,0,0,.000,0.37,-0.025,0.00,0.00%,-0.16,2.00,3.00,1,DH
49,104,59,2025-06-01,COL,@,NYM,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.251,.313,.480,.793,0,0,0,0,0,0,.000,1.41,-0.149,0.00,0.00%,-0.85,0.00,0.00,1,LF
50,105,60,2025-06-02,COL,@,MIA,W 6-4,9-9,1,1,0,0,0,0,0,0,0,0,0,0,.250,.311,.477,.788,0,0,0,0,0,0,.000,0.44,-0.012,0.00,0.00%,-0.37,0.00,0.00,2,PH
51,106,61,2025-06-03,COL,@,MIA,W 3-2,CG,5,5,0,2,0,0,0,1,1,0,0,1,.254,.313,.475,.788,2,0,0,0,0,0,.500,1.33,0.063,0.00,0.00%,0.38,13.00,15.50,1,LF
52,107,62,2025-06-04,COL,@,MIA,W 3-2,CG,4,4,0,1,1,0,0,1,0,0,0,1,.254,.312,.476,.788,2,0,0,0,0,0,.333,0.99,0.050,0.00,0.00%,0.27,7.00,9.50,1,LF
53,108,63,2025-06-06,COL,,NYM,L 2-4,CG,4,3,0,1,0,0,0,0,0,0,1,0,.255,.316,.473,.789,1,0,0,0,0,0,.333,1.36,0.014,0.00,0.00%,-0.08,5.00,6.00,1,LF
54,109,64,2025-06-07,COL,,NYM,L 1-8,CG,4,4,0,2,0,0,0,0,0,0,0,1,.260,.319,.474,.793,2,0,0,0,0,0,.667,0.94,0.069,0.00,0.00%,0.58,6.00,6.00,1,DH
55,110,65,2025-06-08,COL,,NYM,L 5-13,CG,5,5,1,2,2,0,0,2,0,0,0,1,.264,.321,.482,.803,4,0,0,0,0,0,.500,0.37,0.008,0.00,0.00%,1.60,16.00,22.20,1,LF
56,111,66,2025-06-10,COL,,SFG,L 5-6,CG,5,5,0,0,0,0,0,0,0,0,0,1,.257,.314,.470,.784,0,1,0,0,0,0,.000,2.05,-0.429,0.00,0.00%,-2.11,0.00,0.00,1,LF
57,112,67,2025-06-11,COL,,SFG,L 7-10,CG,5,4,1,2,0,0,0,0,0,0,1,0,.262,.320,.471,.791,2,0,0,0,0,0,.500,0.77,0.089,0.00,0.00%,0.95,10.00,12.20,1,LF
58,113,68,2025-06-12,COL,,SFG,W 8-7,CG,5,5,1,2,0,0,0,0,0,0,0,0,.265,.322,.469,.791,2,0,0,0,0,0,.400,0.84,-0.057,0.00,0.00%,-0.36,8.00,9.20,1,DH
59,114,69,2025-06-13,COL,@,ATL,L 4-12,CG,5,4,0,1,0,0,0,0,0,0,1,2,.265,.323,.465,.789,1,0,0,0,0,0,.500,1.26,-0.043,0.00,0.00%,-0.71,5.00,6.00,1,LF
60,115,70,2025-06-14,COL,@,ATL,L 1-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.264,.322,.463,.785,0,0,0,0,0,0,,0.39,-0.012,0.00,0.00%,-0.23,0.00,0.00,6,PH DH
61,116,71,2025-06-15,COL,@,ATL,W 10-1,CG,5,4,1,1,1,0,0,2,0,0,0,3,.264,.324,.464,.787,2,0,1,0,0,0,1.000,0.73,0.028,0.00,0.00%,1.93,13.00,19.20,1,LF
62,117,72,2025-06-16,COL,@,WSN,W 6-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.260,.322,.457,.780,0,0,0,0,0,0,.000,0.95,-0.046,0.00,0.00%,-0.15,2.00,3.00,1,LF
63,118,74,2025-06-18,COL,@,WSN,W 3-1,CG,4,4,1,2,1,0,1,1,0,0,0,1,.264,.325,.476,.801,6,0,0,0,0,0,.500,0.89,0.117,0.00,0.00%,0.87,19.00,24.70,3,LF
64,119,75,2025-06-19,COL,@,WSN,L 3-4 (11),CG(11),5,5,1,1,1,0,0,1,0,0,0,2,.263,.323,.474,.797,2,1,0,0,0,0,.333,1.97,-0.170,0.00,0.00%,-0.68,9.00,12.70,1,LF
65,120,76,2025-06-20,COL,,ARI,L 8-14,CG,5,5,1,1,0,0,0,0,0,0,0,1,.262,.320,.468,.789,1,0,0,0,0,0,.250,0.80,-0.048,0.00,0.00%,-0.87,5.00,6.20,1,LF
66,121,77,2025-06-21,COL,,ARI,L 3-5,CG,4,4,1,1,0,0,1,2,0,0,0,1,.261,.319,.477,.797,4,1,0,0,0,0,.000,1.22,0.008,0.00,0.00%,0.29,16.00,22.20,2,LF
67,122,78,2025-06-22,COL,,ARI,W 4-2,CG,4,3,0,1,0,0,0,0,1,0,1,1,.262,.322,.475,.798,1,0,0,0,0,0,.500,0.63,0.026,0.00,0.00%,0.02,10.00,12.00,3,LF
68,123,79,2025-06-24,COL,,LAD,L 7-9,CG,5,5,2,3,1,0,0,2,0,0,0,1,.269,.327,.482,.809,4,0,0,0,0,0,.750,1.11,0.154,0.00,0.00%,1.37,19.00,25.40,3,LF
