Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,77,2023-06-26,BAL,,CIN,W 10-3,CG,5,4,1,1,0,0,0,1,0,1,1,0,.250,.400,.250,.650,1,0,0,0,0,0,.250,0.51,0.081,0.53,0.05%,0.05,7,2B
2,2,78,2023-06-27,BAL,,CIN,L 1-3,CG,4,3,0,2,0,0,0,0,0,0,1,0,.429,.556,.429,.984,2,0,0,0,0,0,.667,1.08,0.108,1.12,0.07%,0.89,7,2B 3B
3,3,79,2023-06-28,BAL,,CIN,L 7-11 (10),CG(10),5,5,1,2,1,0,0,1,0,0,0,1,.417,.500,.500,1.000,3,1,0,0,0,0,.500,1.27,-0.130,1.37,-0.09%,-0.49,8,3B
4,4,80,2023-06-30,BAL,,MIN,L 1-8,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.385,.467,.462,.928,0,0,0,0,0,0,,0.07,-0.002,0.07,0.00%,-0.16,8,PH 2B
5,5,81,2023-07-01,BAL,,MIN,L 0-1,CG,3,3,0,0,0,0,0,0,0,0,0,0,.313,.389,.375,.764,0,0,0,0,0,0,.000,1.16,-0.086,1.19,-0.05%,-0.49,8,3B
6,6,82,2023-07-02,BAL,,MIN,W 2-1,CG,4,3,0,0,0,0,0,1,0,0,0,0,.263,.364,.316,.679,0,0,1,0,0,0,.000,2.54,0.109,2.61,0.07%,0.10,7,2B
7,7,84,2023-07-04,BAL,@,NYY,L 4-8,CG,4,4,2,1,1,0,0,0,0,0,0,0,.261,.346,.348,.694,2,0,0,0,0,0,.250,1.64,-0.094,2.04,-0.07%,-0.31,7,3B
8,8,85,2023-07-05,BAL,@,NYY,W 6-3,CG,4,3,1,1,0,1,0,2,0,0,1,0,.269,.367,.423,.790,3,0,0,0,0,0,.333,1.16,0.249,1.52,0.20%,1.40,8,3B
9,9,86,2023-07-06,BAL,@,NYY,W 14-1,CG,6,5,2,2,1,0,0,1,0,0,1,0,.290,.389,.452,.841,3,0,0,0,0,0,.400,0.30,0.024,0.39,0.02%,0.34,7,2B
10,10,87,2023-07-07,BAL,@,MIN,W 3-1 (10),CG(10),4,4,0,1,0,0,0,0,0,0,0,2,.286,.375,.429,.804,1,0,0,0,0,0,.500,1.08,-0.079,1.23,-0.06%,-0.51,5,2B
11,11,89,2023-07-09,BAL,@,MIN,W 15-2,CG,5,5,1,2,0,1,0,0,0,0,0,2,.300,.378,.475,.853,4,0,0,0,0,0,.667,0.33,0.038,0.39,0.03%,-0.19,8,2B
12,12,90,2023-07-14,BAL,,MIA,W 5-2,GS-9,4,4,0,0,0,0,0,0,0,0,0,2,.273,.347,.432,.779,0,0,0,0,0,0,.000,0.60,-0.060,0.67,-0.04%,-0.91,9,3B
