Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,176,1,2025-03-27,BAL,@,TOR,W 12-2,GS-9,5,4,1,2,0,0,1,1,0,0,1,1,.500,.600,1.250,1.850,5,0,0,0,0,0,.500,0.47,-0.015,0.47,-0.01%,0.90,19.00,24.70,3,2B
2,177,2,2025-03-28,BAL,@,TOR,L 2-8,CG,4,4,0,0,0,0,0,0,0,0,0,1,.250,.333,.625,.958,0,0,0,0,0,0,.000,0.52,-0.062,0.54,-0.04%,-0.66,0.00,0.00,3,3B
3,178,3,2025-03-29,BAL,@,TOR,W 9-5,CG,5,5,3,4,0,0,2,2,0,0,0,1,.462,.500,1.154,1.654,10,0,0,0,0,0,1.000,0.63,0.135,0.64,0.08%,2.19,36.00,46.60,4,2B
4,179,5,2025-03-31,BAL,,BOS,W 8-5,CG,5,4,1,1,0,0,0,0,0,0,1,0,.412,.474,.941,1.415,1,0,0,0,0,0,.250,0.61,0.010,0.59,0.01%,-0.27,7.00,9.20,1,2B
5,180,6,2025-04-02,BAL,,BOS,L 0-3,CG,4,4,0,1,0,0,0,0,0,0,0,1,.381,.435,.810,1.244,1,0,0,0,0,0,.333,0.87,-0.038,0.89,-0.02%,-0.42,3.00,3.00,1,2B
6,181,7,2025-04-03,BAL,,BOS,L 4-8,CG,4,3,0,1,0,0,0,1,0,0,1,0,.375,.444,.750,1.194,1,1,0,0,0,0,.333,1.08,0.028,1.07,0.02%,0.55,7.00,9.50,3,2B
7,182,8,2025-04-04,BAL,@,KCR,L 2-8,CG,4,4,0,0,0,0,0,0,0,0,0,1,.321,.387,.643,1.030,0,0,0,0,0,0,.000,0.82,-0.081,0.74,-0.04%,-0.90,0.00,0.00,3,3B
8,183,9,2025-04-05,BAL,@,KCR,W 8-1,CG,5,5,1,1,0,0,0,0,0,0,0,0,.303,.361,.576,.937,1,0,0,0,0,0,.200,0.38,-0.041,0.34,-0.02%,-0.41,5.00,6.20,2,2B
9,184,10,2025-04-06,BAL,@,KCR,L 1-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.297,.350,.541,.891,1,0,0,0,0,0,.333,0.59,-0.046,0.53,-0.02%,-0.51,3.00,3.00,3,2B
10,185,11,2025-04-07,BAL,@,ARI,W 5-1,CG,4,3,1,0,0,0,0,0,0,0,1,1,.275,.341,.500,.841,0,0,0,0,0,0,.000,0.82,-0.073,0.69,-0.04%,-1.01,4.00,6.20,4,DH
11,186,12,2025-04-08,BAL,@,ARI,L 3-4,CG,4,3,0,0,0,0,0,0,0,0,0,2,.256,.333,.465,.798,0,0,1,0,0,0,.000,1.56,-0.091,1.46,-0.05%,-0.28,2.00,3.00,4,3B
12,187,14,2025-04-12,BAL,,TOR,W 5-4,CG,4,4,1,0,0,0,0,0,0,0,0,2,.234,.308,.426,.733,0,0,0,0,0,0,.000,1.03,-0.033,1.00,-0.02%,-0.37,2.00,3.20,4,3B
13,188,15,2025-04-13,BAL,,TOR,L 6-7 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,2,.212,.281,.385,.665,0,0,0,0,0,0,.000,1.45,-0.207,1.41,-0.12%,-1.54,0.00,0.00,4,3B
14,189,16,2025-04-15,BAL,,CLE,L 3-6,CG,5,4,0,0,0,0,0,0,0,0,1,1,.196,.274,.357,.631,0,0,0,0,0,0,.000,0.89,-0.056,0.81,-0.03%,-0.88,2.00,3.00,1,3B
15,190,18,2025-04-17,BAL,,CLE,W 6-2,CG,4,4,1,0,0,0,0,0,0,0,0,1,.183,.258,.333,.591,0,0,0,0,0,0,.000,0.43,-0.042,0.38,-0.02%,-0.69,2.00,3.20,5,DH
16,191,19,2025-04-18,BAL,,CIN,L 3-8,CG,3,3,0,0,0,0,0,0,0,0,0,0,.175,.246,.317,.564,0,0,0,0,0,0,.000,0.37,-0.028,0.32,-0.01%,-0.54,0.00,0.00,6,3B
17,192,20,2025-04-19,BAL,,CIN,W 9-5,CG,5,5,1,1,0,0,1,1,0,0,0,1,.176,.243,.353,.596,4,0,0,0,0,0,.000,0.54,0.002,0.42,0.00%,-0.29,14.00,18.70,7,DH
18,193,21,2025-04-20,BAL,,CIN,L 2-24,CG,4,4,1,2,2,0,0,0,0,0,0,1,.194,.256,.389,.645,4,0,0,0,0,0,.667,0.22,0.042,0.18,0.02%,0.50,12.00,15.20,6,DH
19,194,22,2025-04-22,BAL,@,WSN,L 0-7,CG,3,3,0,0,0,0,0,0,0,0,0,0,.187,.247,.373,.620,0,0,0,0,0,0,.000,0.45,-0.034,0.35,-0.02%,-0.56,0.00,0.00,7,3B
20,195,23,2025-04-23,BAL,@,WSN,L 3-4,CG,4,4,1,1,0,1,0,0,0,0,0,1,.190,.247,.392,.639,3,0,0,0,0,0,.333,1.37,0.151,1.09,0.07%,0.25,10.00,12.20,7,DH
21,196,24,2025-04-24,BAL,@,WSN,W 2-1,CG,4,4,0,1,0,0,0,0,0,0,0,2,.193,.247,.386,.633,1,0,0,0,0,0,.500,0.79,0.019,0.57,0.01%,0.18,3.00,3.00,5,3B
22,197,25,2025-04-26 (1),BAL,@,DET,L 3-4,CG,5,5,0,3,0,0,0,1,0,1,0,1,.216,.266,.398,.664,3,0,0,0,0,0,.750,1.24,0.093,1.04,0.05%,0.89,11.00,12.50,3,DH
23,198,26,2025-04-26 (2),BAL,@,DET,L 2-6,CG,4,4,0,1,0,0,0,0,0,0,0,1,.217,.265,.391,.657,1,0,0,0,0,0,.333,1.33,0.008,1.01,0.00%,-0.01,3.00,3.00,5,3B
24,199,65,2025-06-10,BAL,,DET,L 3-5,CG,4,3,1,1,0,0,1,1,0,0,0,0,.221,.275,.421,.696,4,0,1,0,0,0,.000,1.01,0.037,0.23,0.01%,1.04,16.00,21.70,6,3B
