Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,112,1,2022-04-08,BAL,@,TBR,L 1-2,CG,4,3,0,1,0,0,0,0,0,0,1,1,.333,.500,.333,.833,1,0,0,0,0,0,.500,1.50,-0.020,1.44,-0.01%,0.28,7,SS
2,113,2,2022-04-09,BAL,@,TBR,L 3-5,CG,4,3,1,1,1,0,0,1,1,0,1,1,.333,.500,.500,1.000,2,0,0,0,0,0,.500,0.64,0.051,0.59,0.03%,1.29,8,SS
3,114,3,2022-04-10,BAL,@,TBR,L 0-8,CG,4,3,0,0,0,0,0,0,0,0,1,2,.222,.417,.333,.750,0,0,0,0,0,0,.000,0.50,0.012,0.44,0.01%,-0.10,8,SS
4,115,4,2022-04-11,BAL,,MIL,W 2-0,CG,4,3,1,1,0,0,0,0,1,0,1,1,.250,.438,.333,.771,1,0,0,0,0,0,.500,0.94,0.016,0.71,0.01%,-0.08,8,SS
5,116,5,2022-04-12,BAL,,MIL,L 4-5,6-GF,2,2,0,0,0,0,0,0,0,0,0,1,.214,.389,.286,.675,0,0,0,0,0,0,.000,4.64,-0.260,3.75,-0.13%,-1.21,8,PH SS
6,117,6,2022-04-13,BAL,,MIL,L 2-4,CG,4,4,1,1,0,0,0,0,0,0,0,2,.222,.364,.278,.641,1,0,0,0,0,0,.500,1.73,-0.054,1.30,-0.02%,-0.47,8,SS
7,118,7,2022-04-15,BAL,,NYY,W 2-1 (11),CG(11),5,5,0,1,0,0,0,1,0,0,0,1,.217,.333,.261,.594,1,0,0,0,0,0,.250,2.44,-0.299,1.98,-0.15%,-1.67,7,SS
8,119,8,2022-04-16,BAL,,NYY,L 2-5,CG,4,3,0,0,0,0,0,0,0,0,0,2,.192,.300,.231,.531,0,0,0,1,0,0,.000,1.95,-0.170,1.69,-0.09%,-1.44,8,SS
9,120,9,2022-04-17,BAL,,NYY,W 5-0,CG,4,4,0,3,0,0,0,1,1,0,0,1,.267,.353,.300,.653,3,0,0,0,0,0,1.000,1.28,0.089,1.01,0.04%,1.55,9,SS
10,121,10,2022-04-18,BAL,@,OAK,L 1-5,CG,3,3,0,1,1,0,0,0,0,0,0,1,.273,.351,.333,.685,2,0,0,0,0,0,.500,0.67,0.080,0.56,0.04%,0.38,9,SS
11,122,11,2022-04-19,BAL,@,OAK,L 1-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.270,.341,.324,.666,1,0,0,0,0,0,.333,1.32,-0.006,1.03,0.00%,-0.38,9,SS
12,123,13,2022-04-21,BAL,@,OAK,L 4-6,CG,3,3,0,0,0,0,0,0,0,0,0,2,.250,.318,.300,.618,0,0,0,0,0,0,.000,1.81,-0.150,1.41,-0.07%,-0.86,9,SS
13,124,14,2022-04-22,BAL,@,LAA,W 5-3,CG,4,4,0,1,0,0,0,0,2,0,0,0,.250,.313,.295,.608,1,0,0,0,0,0,.250,0.50,-0.062,0.38,-0.03%,-0.43,9,SS
14,125,15,2022-04-23,BAL,@,LAA,W 5-4,CG,4,4,0,0,0,0,0,0,1,0,0,0,.229,.288,.271,.559,0,0,0,0,0,0,.000,1.06,-0.054,0.87,-0.03%,-0.47,9,SS
15,126,16,2022-04-24,BAL,@,LAA,L 6-7,CG,4,4,0,1,1,0,0,0,1,0,0,2,.231,.286,.288,.574,2,0,0,0,0,0,.500,0.93,-0.038,0.76,-0.02%,-0.14,7,SS
16,127,17,2022-04-26,BAL,@,NYY,L 8-12,CG,4,4,1,1,0,0,0,0,0,0,0,2,.232,.283,.286,.569,1,0,0,0,0,0,.500,0.63,-0.054,0.51,-0.03%,-0.42,9,SS
17,128,18,2022-04-27,BAL,@,NYY,L 2-5,CG,3,3,0,1,1,0,0,0,0,1,0,0,.237,.286,.305,.591,2,0,0,0,0,0,.333,1.23,-0.040,0.96,-0.02%,-0.21,8,SS
18,129,19,2022-04-28,BAL,@,NYY,L 5-10,CG,5,4,0,1,0,0,0,0,0,0,1,2,.238,.294,.302,.596,1,0,0,0,0,0,.500,0.88,-0.018,0.66,-0.01%,-0.54,6,SS
19,130,20,2022-04-29,BAL,,BOS,L 1-3,GS-7,2,2,0,0,0,0,0,0,0,0,0,2,.231,.286,.292,.578,0,0,0,0,0,0,,1.26,-0.067,0.81,-0.03%,-0.63,8,SS
20,131,21,2022-04-30,BAL,,BOS,W 2-1 (10),10-GF(10),0,0,1,0,0,0,0,0,0,0,0,0,.231,.286,.292,.578,0,,0,0,,,,,0.000,,0.00%,0.00,6,PR
21,132,22,2022-05-01,BAL,,BOS,W 9-5,CG,4,4,1,2,1,0,0,2,0,0,0,0,.246,.297,.319,.616,3,0,0,0,0,0,.500,0.51,0.045,0.32,0.02%,1.47,9,SS
22,133,23,2022-05-02,BAL,,MIN,L 1-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.236,.286,.306,.591,0,0,0,0,0,0,.000,1.76,-0.122,1.15,-0.05%,-0.59,9,SS
23,134,24,2022-05-03,BAL,,MIN,L 2-7,CG,4,4,0,0,0,0,0,0,0,0,0,1,.224,.272,.289,.561,0,0,0,0,0,0,.000,0.79,-0.085,0.47,-0.03%,-0.94,9,SS
