Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1148,1,2025-03-27,WSN,,PHI,L 3-7 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.84,-0.222,1.86,-0.13%,-1.21,0.00,0.00,4,DH
2,1149,2,2025-03-29,WSN,,PHI,L 6-11,CG,5,4,1,0,0,0,0,0,0,0,1,1,.000,.111,.000,.111,0,0,0,0,0,0,.000,0.66,-0.102,0.64,-0.06%,-0.78,4.00,6.20,4,DH
3,1150,3,2025-03-30,WSN,,PHI,W 5-1,CG,4,4,1,1,0,0,1,3,0,0,0,2,.083,.154,.333,.487,4,0,0,0,0,0,.000,0.65,0.287,0.58,0.15%,1.77,18.00,25.70,6,DH
4,1151,4,2025-03-31,WSN,@,TOR,L 2-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,.063,.118,.250,.368,0,0,0,0,0,0,.000,1.37,-0.143,1.16,-0.07%,-1.07,0.00,0.00,5,DH
5,1152,5,2025-04-01,WSN,@,TOR,L 3-5,CG,4,3,0,0,0,0,0,0,0,0,1,3,.053,.143,.211,.353,0,0,0,0,0,0,,1.32,-0.013,1.09,-0.01%,-0.15,2.00,3.00,5,DH
6,1153,6,2025-04-02,WSN,@,TOR,L 2-4,GS-9,4,3,0,1,0,0,0,0,0,0,1,0,.091,.200,.227,.427,1,0,0,0,0,0,.333,0.93,0.057,0.72,0.03%,0.24,5.00,6.00,6,DH
7,1154,7,2025-04-04,WSN,,ARI,L 4-6,CG,4,4,0,1,0,0,0,0,0,0,0,0,.115,.207,.231,.438,1,0,0,0,0,0,.250,0.68,-0.026,0.50,-0.01%,-0.30,3.00,3.00,6,DH
8,1155,8,2025-04-05,WSN,,ARI,W 4-3,CG,3,2,2,1,0,1,0,0,0,0,1,1,.143,.250,.321,.571,3,0,0,0,0,0,1.000,0.59,0.049,0.41,0.02%,0.88,14.00,18.40,4,DH
9,1156,9,2025-04-06,WSN,,ARI,W 5-4,CG,4,2,1,0,0,0,0,0,0,0,1,1,.133,.278,.300,.578,0,0,1,0,0,0,.000,0.96,-0.066,0.69,-0.03%,-0.57,6.00,9.20,6,DH
10,1157,10,2025-04-07,WSN,,LAD,W 6-4,CG,4,3,0,1,0,0,0,0,0,0,1,0,.152,.300,.303,.603,1,0,0,0,0,0,.333,0.72,0.000,0.54,0.00%,0.25,5.00,6.00,6,DH
11,1158,12,2025-04-09,WSN,,LAD,L 5-6,GS-8,4,3,1,1,0,0,0,1,0,0,1,0,.167,.318,.306,.624,1,0,0,0,0,0,.333,1.62,0.105,1.38,0.05%,0.55,9.00,12.70,5,DH
12,1159,13,2025-04-11,WSN,@,MIA,W 7-4,CG,5,4,2,1,0,0,1,2,0,0,1,1,.175,.327,.375,.702,4,0,0,0,0,0,.000,1.36,-0.024,1.16,-0.01%,1.07,20.00,28.40,5,1B
13,1160,14,2025-04-12,WSN,@,MIA,L 6-7,CG,4,4,0,1,0,0,0,2,0,0,0,0,.182,.321,.364,.684,1,0,0,0,0,0,.250,1.92,0.003,1.76,0.00%,0.17,7.00,10.00,5,1B
14,1161,15,2025-04-13,WSN,@,MIA,L 4-11,CG,5,4,0,0,0,0,0,0,0,0,1,3,.167,.310,.333,.644,0,1,0,0,0,0,.000,0.92,-0.162,0.79,-0.08%,-1.84,2.00,3.00,5,1B
15,1162,16,2025-04-14,WSN,@,PIT,L 3-10,CG,4,4,0,0,0,0,0,0,0,0,0,1,.154,.290,.308,.598,0,0,0,0,0,0,.000,0.61,-0.065,0.45,-0.03%,-0.92,0.00,0.00,5,DH
16,1163,17,2025-04-15,WSN,@,PIT,W 3-0,CG,5,5,0,0,0,0,0,0,0,0,0,1,.140,.269,.281,.549,0,0,0,0,0,0,.000,0.90,-0.113,0.66,-0.05%,-1.74,0.00,0.00,4,DH
17,1164,18,2025-04-16,WSN,@,PIT,L 1-6,CG,3,3,0,0,0,0,0,0,0,0,0,0,.133,.257,.267,.524,0,1,0,0,0,0,.000,0.88,-0.117,0.67,-0.05%,-1.11,0.00,0.00,5,DH
18,1165,20,2025-04-19,WSN,@,COL,W 12-11,CG,5,5,1,1,0,0,1,1,0,0,0,1,.138,.253,.308,.561,4,0,0,0,0,0,.000,0.59,0.070,0.40,0.03%,-0.15,14.00,18.70,4,DH
19,1166,21,2025-04-20 (1),WSN,@,COL,W 3-2,CG,4,2,0,0,0,0,0,0,0,1,2,0,.134,.266,.299,.564,0,0,0,0,0,0,.000,0.48,-0.018,0.34,-0.01%,-0.27,4.00,6.00,3,DH
