Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1073,1,2020-07-23,LAD,,SFG,W 8-1,CG,5,4,2,1,1,0,0,1,0,0,0,0,.250,.400,.500,.900,2,0,1,0,0,0,.250,1.35,0.079,1.57,0.06%,0.99,4,3B
2,1074,2,2020-07-24,LAD,,SFG,W 9-1,GS-8,5,4,0,2,1,0,0,2,0,0,1,1,.375,.500,.625,1.125,3,0,0,0,0,0,.667,0.67,0.202,0.79,0.14%,2.49,3,3B
3,1075,3,2020-07-25,LAD,,SFG,L 4-5,CG,4,4,1,2,2,0,0,1,0,0,0,1,.417,.500,.750,1.250,4,0,0,0,0,0,.667,0.62,0.166,0.74,0.12%,1.73,4,3B
4,1076,4,2020-07-26,LAD,,SFG,L 1-3,CG,4,3,0,2,0,0,0,0,0,0,1,0,.467,.556,.733,1.289,2,0,0,0,0,0,.667,1.14,0.033,1.37,0.02%,0.18,3,3B
5,1077,5,2020-07-28,LAD,@,HOU,W 5-2,CG,5,4,0,1,0,0,0,1,0,0,1,0,.421,.522,.632,1.153,1,0,0,0,0,0,.250,1.11,0.053,1.19,0.03%,0.43,3,3B
6,1078,6,2020-07-29,LAD,@,HOU,W 4-2 (13),CG(13),5,5,0,0,0,0,0,0,0,0,0,0,.333,.429,.500,.929,0,0,0,0,0,0,.000,1.65,-0.231,1.82,-0.15%,-1.54,4,3B
7,1079,7,2020-07-30,LAD,@,ARI,W 6-3,CG,5,2,0,0,0,0,0,1,0,0,2,0,.308,.424,.462,.886,0,0,0,0,1,0,.000,0.65,-0.014,0.80,-0.01%,-0.38,3,3B
8,1080,8,2020-07-31,LAD,@,ARI,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.267,.378,.400,.778,0,0,0,0,0,0,.000,0.99,-0.108,1.20,-0.08%,-1.24,4,3B
9,1081,9,2020-08-01,LAD,@,ARI,W 11-2,CG,5,5,1,1,0,1,0,2,0,0,0,1,.257,.357,.429,.786,3,0,0,0,0,0,.250,0.80,0.047,0.98,0.03%,0.63,4,DH
10,1082,10,2020-08-02,LAD,@,ARI,W 3-0,CG,4,4,1,2,0,0,0,0,0,0,0,1,.282,.370,.436,.805,2,0,0,0,0,0,.667,0.57,-0.002,0.66,0.00%,0.07,3,3B
11,1083,11,2020-08-03,LAD,@,SDP,L 4-5,CG,4,4,0,0,0,0,0,0,0,0,0,3,.256,.340,.395,.735,0,0,0,0,0,0,.000,0.96,-0.102,1.13,-0.07%,-0.80,3,3B
12,1084,12,2020-08-04,LAD,@,SDP,W 5-2,CG,5,4,1,0,0,0,0,0,0,0,0,2,.234,.327,.362,.689,0,0,1,0,0,0,.000,0.94,-0.092,1.17,-0.07%,-1.20,3,3B
