Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,477,1,2025-03-27,PIT,@,MIA,L 4-5,CG,4,4,1,1,0,0,0,0,2,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,1.07,-0.004,1.02,0.00%,-0.34,15.00,18.20,8,3B
2,478,2,2025-03-28,PIT,@,MIA,W 4-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,.250,0.78,-0.026,0.70,-0.01%,-0.43,3.00,3.00,6,3B
3,479,3,2025-03-29,PIT,@,MIA,L 4-5 (12),CG(12),5,5,1,0,0,0,0,0,0,0,0,0,.154,.154,.154,.308,0,0,0,0,0,0,.000,2.38,-0.305,2.26,-0.17%,-1.81,2.00,3.20,6,3B
4,480,4,2025-03-30,PIT,@,MIA,L 2-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.154,.154,.154,.308,0,,0,0,,,,,,,,,0.00,0.00,7,3B
5,481,5,2025-03-31,PIT,@,TBR,L 1-6,CG,3,3,0,0,0,0,0,0,0,0,0,0,.125,.125,.125,.250,0,0,0,0,0,0,.000,0.51,-0.038,0.43,-0.02%,-0.61,0.00,0.00,6,3B
6,482,6,2025-04-01,PIT,@,TBR,L 0-7,CG,4,4,0,2,0,0,0,0,0,0,0,1,.200,.200,.200,.400,2,0,0,0,0,0,.667,0.29,0.041,0.23,0.02%,0.26,6.00,6.00,7,3B
7,483,7,2025-04-02,PIT,@,TBR,W 4-2,CG,4,4,0,1,0,1,0,0,0,0,0,0,.208,.208,.292,.500,3,0,0,0,0,0,.250,0.97,0.036,0.77,0.02%,0.19,8.00,9.00,6,3B
8,484,8,2025-04-04,PIT,,NYY,L 4-9,CG,5,4,1,1,0,0,1,3,0,0,1,0,.214,.241,.393,.634,4,0,0,0,0,0,.000,0.38,-0.032,0.28,-0.01%,1.53,20.00,28.70,1,3B
9,485,9,2025-04-05,PIT,,NYY,L 4-10,CG,4,3,1,2,1,0,0,1,0,0,1,0,.258,.303,.452,.755,3,0,0,0,0,0,.667,1.14,0.188,0.84,0.08%,1.94,14.00,18.70,4,3B
10,486,10,2025-04-06,PIT,,NYY,W 5-4 (11),CG(11),5,4,1,1,0,0,0,0,0,0,1,2,.257,.316,.429,.744,1,0,0,0,0,0,.500,1.05,-0.123,0.73,-0.05%,-0.54,7.00,9.20,1,3B
11,487,11,2025-04-07,PIT,,STL,W 8-4,CG,4,3,1,1,0,0,0,1,0,0,1,1,.263,.333,.421,.754,1,0,0,0,0,0,.500,0.59,0.041,0.47,0.02%,0.89,9.00,12.70,1,3B
12,488,12,2025-04-08,PIT,,STL,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.238,.304,.381,.685,0,0,0,0,0,0,.000,1.07,-0.100,0.93,-0.05%,-0.98,0.00,0.00,4,3B
13,489,13,2025-04-09,PIT,,STL,W 2-1 (13),CG(13),5,4,1,1,0,0,0,0,0,0,1,1,.239,.314,.370,.683,1,0,0,0,0,0,.333,2.03,-0.133,1.52,-0.06%,-0.64,7.00,9.20,5,3B
14,490,14,2025-04-11,PIT,@,CIN,L 3-5,CG,4,2,0,0,0,0,0,0,0,0,2,1,.229,.327,.354,.681,0,0,0,0,0,0,.000,0.87,0.043,0.70,0.02%,0.24,4.00,6.00,5,3B
