Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,481,1,2023-03-30,MIN,@,KCR,W 2-0,6-GF,2,1,0,1,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,1.000,1.25,0.056,1.26,0.03%,0.73,6,PH 2B
2,482,2,2023-04-01,MIN,@,KCR,W 2-0,6-GF,2,1,0,0,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,0,0,0,0,1,0,.000,1.14,0.018,1.21,0.01%,-0.14,6,PH 2B
3,483,3,2023-04-02,MIN,@,KCR,W 7-4,5-GF,3,3,1,0,0,0,0,0,0,0,0,0,.200,.286,.200,.486,0,0,0,0,0,0,.000,1.45,-0.103,1.55,-0.07%,-1.46,6,PH 2B
4,484,4,2023-04-03,MIN,@,MIA,W 11-1,4-GF,2,2,1,0,0,0,0,0,0,0,0,0,.143,.222,.143,.365,0,0,0,0,0,0,.000,0.02,-0.001,0.02,0.00%,-0.38,1,PR SS 2B
5,485,6,2023-04-05,MIN,@,MIA,L 2-5,CG,4,4,1,1,0,0,0,0,0,0,0,1,.182,.231,.182,.413,1,0,0,0,0,0,.333,0.87,-0.084,0.89,-0.05%,0.38,5,2B
6,486,7,2023-04-07,MIN,,HOU,W 3-2 (10),CG(10),5,5,0,2,0,0,0,1,0,0,0,1,.250,.278,.250,.528,2,0,0,0,0,0,.500,2.61,0.098,2.79,0.06%,0.49,6,2B
7,487,8,2023-04-08,MIN,,HOU,W 9-6,CG,4,4,3,3,1,0,1,3,0,0,0,0,.350,.364,.550,.914,7,0,0,0,0,0,.667,1.43,0.209,1.56,0.14%,2.33,7,2B
8,488,9,2023-04-09,MIN,,HOU,L 1-5,CG,3,2,0,0,0,0,0,0,0,0,1,0,.318,.360,.500,.860,0,0,0,0,0,0,.000,0.62,0.023,0.71,0.02%,0.17,6,SS
9,489,10,2023-04-10,MIN,,CHW,L 3-4,CG,4,4,0,0,0,0,0,0,0,0,0,3,.269,.310,.423,.733,0,0,0,0,0,0,.000,1.68,-0.175,1.91,-0.12%,-1.50,5,SS
10,490,11,2023-04-11,MIN,,CHW,W 4-3 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,4,.233,.273,.367,.639,0,0,0,0,0,0,,1.20,-0.129,1.39,-0.09%,-0.98,6,SS
11,491,12,2023-04-12,MIN,,CHW,W 3-1,GS-4,2,1,0,0,0,0,0,0,0,0,0,1,.226,.286,.355,.641,0,0,1,0,0,0,,1.06,0.010,1.25,0.01%,0.14,7,SS
12,492,37,2023-05-10,MIN,,SDP,W 4-3 (11),GS-9,3,3,0,1,0,0,0,0,0,0,0,1,.235,.289,.353,.642,1,0,0,0,0,0,.500,0.76,-0.020,0.79,-0.01%,-0.23,6,3B
