Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,62,2022-06-13,BAL,@,TOR,L 1-11,CG,4,3,0,1,1,0,0,1,0,0,0,1,.333,.500,.667,1.167,2,0,1,0,0,0,.500,0.39,-0.038,0.13,-0.01%,0.98,8,LF
2,2,64,2022-06-15,BAL,@,TOR,L 6-7 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,3,.143,.250,.286,.536,0,0,0,0,0,0,.000,0.94,-0.096,0.33,-0.02%,-0.78,7,LF
3,3,119,2022-08-19,BAL,,BOS,W 15-10,CG,5,5,1,2,0,0,0,0,0,0,0,1,.250,.308,.333,.641,2,0,0,0,0,0,.500,0.35,-0.006,0.36,0.00%,-0.29,5,RF
4,4,120,2022-08-20,BAL,,BOS,L 3-4,7-GF,2,2,0,0,0,0,0,2,0,0,0,0,.214,.267,.286,.552,0,0,0,0,0,0,.000,2.65,-0.105,2.89,-0.07%,0.16,7,PH LF
5,5,121,2022-08-21,BAL,,BOS,W 5-3,GS-9,4,4,0,0,0,0,0,0,0,0,0,4,.167,.211,.222,.433,0,0,0,0,0,0,,1.24,-0.143,1.27,-0.09%,-1.34,5,LF
6,6,122,2022-08-23,BAL,,CHW,W 5-3,GS-7,2,2,0,0,0,0,0,0,0,0,0,1,.150,.190,.200,.390,0,0,0,0,0,0,.000,0.38,-0.019,0.41,-0.01%,-0.19,6,RF
7,7,124,2022-08-25,BAL,,CHW,W 4-3 (11),CG(11),4,4,1,1,0,0,1,1,0,0,0,1,.167,.200,.333,.533,4,0,0,0,0,0,.000,1.11,0.426,1.17,0.27%,0.28,5,RF
8,8,125,2022-08-26,BAL,@,HOU,W 2-0,GS-8,4,3,1,2,0,0,0,0,0,0,1,0,.222,.276,.370,.646,2,0,0,0,0,0,.667,0.81,0.065,0.78,0.04%,0.69,6,LF
9,9,127,2022-08-28,BAL,@,HOU,L 1-3,9-GF,1,1,0,1,0,0,0,0,0,0,0,0,.250,.300,.393,.693,1,0,0,0,0,0,1.000,1.19,0.037,1.28,0.02%,0.20,6,PH
10,10,128,2022-08-30,BAL,@,CLE,L 1-5,CG,4,3,0,0,0,0,0,0,0,0,1,2,.226,.294,.355,.649,0,1,0,0,0,0,.000,0.84,0.010,1.00,0.01%,-0.33,5,LF
11,11,132,2022-09-03,BAL,,OAK,W 8-1,GS-7,3,3,0,1,0,0,0,0,0,0,0,0,.235,.297,.353,.650,1,0,0,0,0,0,.333,0.43,-0.014,0.47,-0.01%,-0.33,7,RF
12,12,134,2022-09-05 (1),BAL,,TOR,L 3-7,8-9,1,1,0,0,0,0,0,0,0,0,0,0,.229,.289,.343,.632,0,0,0,0,0,0,.000,1.22,-0.031,1.81,-0.03%,-0.10,5,PH
13,13,135,2022-09-05 (2),BAL,,TOR,L 4-8,CG,4,4,1,2,0,0,0,0,0,0,0,0,.256,.310,.359,.668,2,0,0,0,0,0,.500,0.45,-0.010,0.59,-0.01%,0.29,8,LF
14,14,137,2022-09-07,BAL,,TOR,L 1-4,CG,3,3,0,0,0,0,0,0,0,0,0,0,.238,.289,.333,.622,0,0,0,0,0,0,.000,0.90,-0.071,1.18,-0.06%,-0.73,6,LF
15,15,138,2022-09-09,BAL,,BOS,W 3-2,CG,3,2,0,0,0,0,0,0,0,0,1,2,.227,.292,.318,.610,0,0,0,0,0,0,,0.78,-0.026,0.55,-0.01%,-0.07,9,RF
16,16,139,2022-09-10,BAL,,BOS,L 4-17,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.227,.292,.318,.610,0,,0,0,,,,,,,,,5,RF
17,17,141,2022-09-13,BAL,@,WSN,W 4-3,GS-7,4,4,0,1,1,0,0,0,0,0,0,2,.229,.288,.333,.622,2,0,0,0,0,0,.500,1.31,-0.063,0.67,-0.02%,-0.52,7,LF
18,18,144,2022-09-17,BAL,@,TOR,L 3-6,CG,4,3,0,0,0,0,0,0,0,0,1,1,.216,.286,.314,.599,0,0,0,0,0,0,.000,1.24,-0.071,0.95,-0.03%,-0.82,9,DH
19,19,145,2022-09-18,BAL,@,TOR,W 5-4,9-GF,1,1,1,1,0,0,0,0,0,0,0,0,.231,.298,.327,.625,1,0,0,0,0,0,1.000,2.82,0.115,1.47,0.04%,0.38,8,PH LF
20,20,146,2022-09-19,BAL,,DET,L 0-11,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.226,.293,.321,.614,0,0,0,0,0,0,,0.00,0.000,0.00,0.00%,-0.46,4,RF
21,21,147,2022-09-20,BAL,,DET,L 2-3,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.226,.293,.321,.614,0,,0,0,,,,,,,,,5,PR DH
22,22,148,2022-09-21,BAL,,DET,W 8-1,CG,4,4,2,2,0,0,1,3,0,0,0,0,.246,.306,.386,.692,5,0,0,0,0,0,.333,0.30,0.037,0.08,0.01%,2.07,7,RF
23,23,149,2022-09-22,BAL,,HOU,W 2-0,GS-8,3,3,0,1,0,0,0,0,0,0,0,1,.250,.308,.383,.691,1,0,0,0,0,0,.500,0.91,-0.039,0.48,-0.01%,-0.39,7,RF
24,24,150,2022-09-23,BAL,,HOU,W 6-0,7-GF,1,1,1,0,0,0,0,0,0,0,0,1,.246,.303,.377,.680,0,0,0,0,0,0,,0.00,0.000,0.00,0.00%,-0.22,6,PR DH
25,25,151,2022-09-24,BAL,,HOU,L 10-11,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.242,.299,.371,.669,0,0,0,0,0,0,.000,1.73,-0.044,1.27,-0.02%,-0.10,1,PH
26,26,152,2022-09-25,BAL,,HOU,L 3-6 (11),CG(11),4,4,0,1,0,0,0,0,0,0,0,2,.242,.296,.364,.659,1,0,0,0,0,0,.500,2.26,-0.196,0.87,-0.05%,-0.77,8,RF
27,27,153,2022-09-26,BAL,@,BOS,W 14-8,GS-8,5,5,1,3,0,1,0,2,0,0,0,0,.268,.316,.408,.724,5,0,0,0,0,0,.600,0.60,0.180,0.15,0.03%,2.64,8,LF
28,28,154,2022-09-27,BAL,@,BOS,L 9-13,GS-5,2,2,0,0,0,0,0,0,0,0,0,1,.260,.308,.397,.705,0,0,0,0,0,0,.000,1.17,-0.077,0.43,-0.02%,-0.81,9,DH
29,29,155,2022-09-28,BAL,@,BOS,L 1-3,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.257,.304,.392,.696,0,0,0,0,0,0,.000,1.46,-0.037,0.31,-0.01%,-0.24,1,PH LF
30,30,156,2022-09-29,BAL,@,BOS,L 3-5,CG,4,4,2,2,0,0,1,1,0,0,0,1,.269,.313,.436,.749,5,0,0,0,0,0,.500,1.11,0.180,0.07,0.01%,0.91,8,LF
31,31,157,2022-09-30,BAL,@,NYY,W 2-1,CG,4,3,0,0,0,0,0,0,0,0,1,3,.259,.310,.420,.730,0,0,0,0,0,0,,1.40,-0.121,0.02,0.00%,-1.17,8,DH
32,32,159,2022-10-02,BAL,@,NYY,W 3-1,CG,4,3,0,1,1,0,0,0,0,0,0,0,.262,.319,.429,.747,2,1,1,0,0,0,.333,1.32,0.028,0.00,0.00%,-0.04,8,DH
33,33,160,2022-10-03,BAL,,TOR,L 1-5 (8),CG(8),3,3,0,0,0,0,0,0,0,0,0,1,.253,.309,.414,.722,0,0,0,0,0,0,.000,0.85,-0.066,0.00,0.00%,-0.59,8,RF
34,34,162,2022-10-05 (2),BAL,,TOR,L 1-5,CG,4,4,0,1,1,0,0,1,0,0,0,0,.253,.306,.418,.724,2,1,0,0,0,0,.250,1.43,0.062,0.00,0.00%,-0.20,4,RF
,,,,,,,15-19,,98,91,11,23,4,1,3,11,0,0,5,29,.253,.306,.418,.724,38,3,2,0,0,0,.339,1.00,-0.133,0.66,-0.05%,-1.90,,
